Mwidth,h,snapshot,cell,t,center_index,relative_center_cells,A,A_over_h2,profile_relL2,correlation,hp_peak
420,0.029919930034188507,196,392,11.728612573401895,73.27793608747264,532.0279360874727,6.469002901648989e-06,0.007226303516563244,0.9808087708872786,0.19497219019795098,1.6963764437605278e-05
420,0.029919930034188507,197,394,11.788452433470272,70.99999800687563,529.7499980068757,7.639527234266132e-06,0.00853385650882701,0.9733047549715766,0.22951656574138438,3.634444745159726e-07
420,0.029919930034188507,198,396,11.848292293538648,71.42974833479806,530.1797483347981,1.1868775276091072e-05,0.013258205911927041,0.9352232013426778,0.3540587008821464,3.145701748508145e-05
420,0.029919930034188507,198,396,11.848292293538648,76.32851091476522,535.0785109147653,9.812153683887241e-06,0.010960823754285082,0.9574916381622495,0.2884610248358914,2.5847805773082655e-05
420,0.029919930034188507,198,396,11.848292293538648,71.42974632886981,530.1797463288698,1.1868764082984035e-05,0.01325819340848718,0.9351462328875537,0.3542619413883133,4.208817642847862e-06
420,0.029919930034188507,199,398,11.908132153607026,70.48914146166881,529.2391414616689,1.2460131478561656e-05,0.013918789848960887,0.9262843140507502,0.376825383358832,3.315501248835062e-05
420,0.029919930034188507,199,398,11.908132153607026,75.41693592527565,534.1669359252757,6.3506326950538725e-06,0.007094076177484982,0.9837654371819127,0.17945908894865228,1.735627461130207e-05
420,0.029919930034188507,199,398,11.908132153607026,70.48913014339983,529.2391301433998,1.2460068199034649e-05,0.013918719161549629,0.9256264513835488,0.37843846593481895,1.0455944021714458e-05
420,0.029919930034188507,199,398,11.908132153607026,62.999998941349936,521.74999894135,1.9116495152074136e-06,0.0021354387722810324,0.9983075029723272,0.05815607886676256,1.2343615196641622e-06
420,0.029919930034188507,200,400,11.967972013675404,69.54990512665836,528.2999051266584,1.2379320463665524e-05,0.01382851860778211,0.9275519774976249,0.3736941651139944,3.359914990141988e-05
420,0.029919930034188507,200,400,11.967972013675404,64.68346754081897,523.4334675408189,7.1495501875752175e-06,0.007986519784857496,0.9764091696500738,0.21592853776945087,2.0155183847236913e-05
420,0.029919930034188507,200,400,11.967972013675404,69.54994199034381,528.2999419903438,1.2379435471621522e-05,0.013828647079265196,0.9490619319149814,0.31508958946592086,8.62138051616057e-06
420,0.029919930034188507,200,400,11.967972013675404,60.99999891168514,519.7499989116851,1.970304023660512e-06,0.002200959732333295,0.9982187997467382,0.05965926442876928,1.1937314354781847e-06
420,0.029919930034188507,201,402,12.02781187374378,68.59517359236897,527.345173592369,1.1348482910206202e-05,0.012677004974101451,0.9415981409415367,0.3367386835150401,2.929722336375562e-05
420,0.029919930034188507,201,402,12.02781187374378,63.73551235816142,522.4855123581614,1.0230220987959022e-05,0.011427832546135204,0.95225126022574,0.305315471927791,2.7096836447526584e-05
