Mwidth,h,V_h,FWHM_cells,profile_residual
2514,0.0049985563302940225,20.661785032604243,5.44921875,2.5160417675484256e-13
2094,0.006001132098547838,20.661747880539217,5.44921875,2.515582511550034e-13
1676,0.007497834495441034,20.661679815930164,5.44921875,2.516275555501752e-13
1256,0.010005072145190424,20.661531976231522,5.44921875,2.5156963803864e-13
1006,0.012491422081867964,20.661343540824312,5.44921875,2.5160669203207525e-13
838,0.014995668990882068,20.66111164583294,5.44921875,2.516641344340846e-13
628,0.02001014429038085,20.660520286898596,5.44921875,2.5160102068327295e-13
420,0.029919930034188507,20.65885337702763,5.44921875,2.5160409542131696e-13
