quantity,observed_exponent,stderr,expected_exponent,R2,prefactor
A_median,2.1846266107147008,0.16116852055253492,2.0,0.9735079535328358,0.19756917801956447
A_over_h2_median,0.18462661071470657,0.16116852055253494,0.0,0.2078938100282116,0.1975691780195686
FWHM_x,0.999999999999998,9.686812869566803e-16,1.0,1.0,5.449218749999961
fitted_L1,3.1846341388288995,0.16116869400490738,3.0,0.987355954940517,1.1826400737931448
fitted_L2,2.684630823772916,0.16116861762264167,2.5,0.9822986908570183,0.4011539598049045
observed_Linf,2.1873432798232173,0.14819554929753787,2.0,0.9775636867846278,0.20014942293609536
observed_L1_local,3.1541460372613797,0.13421923483246326,3.0,0.9910273328072396,1.1040675393112147
observed_L2_local,2.683007722070916,0.13061605324852985,2.5,0.9882887534011828,0.4115312240048906
