Mwidth,h,snapshot,cell,t,center_index,relative_center_cells,A,A_over_h2,profile_relL2,correlation
628,0.02001014429038085,100,200,4.002028858076169,1385.2539291156559,71.00392911565586,4.1070826304974597e-05,0.1025729863579517,0.008089505166792731,0.9999672794177602
628,0.02001014429038085,101,202,4.0420491466569315,1387.47191676012,73.22191676011994,4.1070845489312864e-05,0.10257303427018148,0.003784318404000259,0.9999928394414721
628,0.02001014429038085,102,204,4.082069435237693,1389.6899075181468,75.43990751814681,4.107085219163229e-05,0.1025730510089954,0.0015278406728539888,0.9999988328507581
628,0.02001014429038085,103,206,4.122089723818455,1391.9078996402498,77.65789964024975,4.107085443320514e-05,0.10257305660724707,0.0014049695555838088,0.9999990130297871
628,0.02001014429038085,104,208,4.162110012399216,1394.1258922471554,79.87589224715543,4.107085569951468e-05,0.1025730597698119,0.0013803417028585643,0.9999990473279382
628,0.02001014429038085,105,210,4.202130300979978,1396.3438849067516,82.09388490675155,4.107085636243289e-05,0.10257306142542749,0.0013756221414793427,0.9999990538314143
628,0.02001014429038085,106,212,4.242150589560739,1398.5618776753306,84.3118776753306,4.107085609769384e-05,0.10257306076425075,0.0013745633140166541,0.9999990552874019
628,0.02001014429038085,107,214,4.2821708781415015,1400.7798705055259,86.52987050552588,4.1070856748437255e-05,0.1025730623894602,0.0013745471611426247,0.9999990553096048
628,0.02001014429038085,108,216,4.322191166722264,1402.9978632905427,88.74786329054268,4.107085592589407e-05,0.10257306033518669,0.0013745540142961487,0.9999990553001844
628,0.02001014429038085,109,218,4.362211455303025,1405.21585606462,90.96585606462008,4.107085609259566e-05,0.10257306075151823,0.0013745417285202014,0.9999990553170718
628,0.02001014429038085,110,220,4.402231743883787,1407.4338489044019,93.18384890440188,4.107085573141088e-05,0.10257305984947157,0.0013745505869580384,0.9999990553048954
628,0.02001014429038085,111,222,4.442252032464548,1409.6518416978756,95.40184169787562,4.107085767655402e-05,0.10257306470740016,0.0013745222635646603,0.9999990553438275
628,0.02001014429038085,112,224,4.48227232104531,1411.8698344990225,97.61983449902255,4.107085727092833e-05,0.10257306369436384,0.0013745310090322552,0.9999990553318062
628,0.02001014429038085,113,226,4.522292609626072,1414.087827301672,99.83782730167195,4.107085641894445e-05,0.10257306156656318,0.0013745341573396872,0.9999990553274785
628,0.02001014429038085,114,228,4.562312898206834,1416.305820089237,102.05582008923693,4.107085631148512e-05,0.10257306129818716,0.0013745390190799509,0.9999990553207964
628,0.02001014429038085,115,230,4.602333186787595,1418.5238128914598,104.27381289145978,4.1070855981208553e-05,0.10257306047333273,0.0013745398242570224,0.9999990553196894
628,0.02001014429038085,116,232,4.642353475368357,1420.7418056413783,106.49180564137828,4.10708572202779e-05,0.10257306356786611,0.0013745339338167811,0.9999990553277863
628,0.02001014429038085,117,234,4.682373763949118,1422.959798459885,108.70979845988495,4.1070857070227565e-05,0.10257306319312053,0.001374525974503622,0.9999990553387267
628,0.02001014429038085,118,236,4.72239405252988,1425.1777913195315,110.92779131953148,4.107085618974604e-05,0.10257306099414798,0.0013745392627745726,0.9999990553204614
628,0.02001014429038085,119,238,4.762414341110642,1427.3957841140984,113.14578411409843,4.107085620825487e-05,0.10257306104037314,0.0013745399284243595,0.9999990553195464
628,0.02001014429038085,120,240,4.802434629691404,1429.6137769291543,115.36377692915426,4.107085595220187e-05,0.10257306040088952,0.0013745469243627657,0.9999990553099297
628,0.02001014429038085,121,242,4.842454918272165,1431.8317696672837,117.58176966728365,4.1070856951243824e-05,0.1025730628959627,0.0013745330276771339,0.9999990553290315
628,0.02001014429038085,122,244,4.882475206852927,1434.0497624604131,119.79976246041315,4.1070856538274435e-05,0.10257306186458574,0.0013745390742035534,0.9999990553207201
628,0.02001014429038085,123,246,4.922495495433688,1436.267755286357,122.01775528635699,4.107085717966596e-05,0.10257306346643917,0.0013745407256369317,0.9999990553184507
628,0.02001014429038085,124,248,4.9625157840144505,1438.4857481156737,124.23574811567369,4.1070855896387514e-05,0.10257306026149508,0.0013745438636505354,0.9999990553141368
628,0.02001014429038085,125,250,5.002536072595212,1440.7037409095296,126.45374090952964,4.1070857497067796e-05,0.10257306425913942,0.0013745219498134396,0.9999990553442588
628,0.02001014429038085,126,252,5.042556361175974,1442.9217336805539,128.67173368055387,4.10708570177772e-05,0.10257306306212752,0.0013745322970769556,0.999999055330036
628,0.02001014429038085,127,254,5.082576649756735,1445.1397264365455,130.88972643654552,4.107085621452919e-05,0.10257306105604305,0.0013745392445058849,0.9999990553204865
628,0.02001014429038085,128,256,5.122596938337497,1447.3577192767184,133.1077192767184,4.107085648739151e-05,0.10257306173750738,0.0013745306836286972,0.9999990553322534
628,0.02001014429038085,129,258,5.162617226918259,1449.5757121554257,135.32571215542566,4.107085638133351e-05,0.10257306147263114,0.0013745296213420262,0.9999990553337138
628,0.02001014429038085,130,260,5.2026375154990205,1451.7937048829601,137.54370488296013,4.1070856822029713e-05,0.10257306257325487,0.0013745283674706534,0.9999990553354371
628,0.02001014429038085,131,262,5.242657804079783,1454.0116977012797,139.76169770127967,4.107085678939507e-05,0.10257306249175097,0.0013745391358082227,0.9999990553206359
628,0.02001014429038085,132,264,5.282678092660544,1456.2296904851837,141.9796904851837,4.107085543864206e-05,0.10257305911829144,0.0013745529104882317,0.9999990553017014
628,0.02001014429038085,133,266,5.322698381241306,1458.4476832857324,144.1976832857324,4.107085632678715e-05,0.10257306133640347,0.0013745315159143098,0.99999905533111
628,0.02001014429038085,134,268,5.362718669822067,1460.6656760973567,146.4156760973567,4.107085771312406e-05,0.10257306479873257,0.0013745251888798657,0.9999990553398063
628,0.02001014429038085,135,270,5.402738958402829,1462.8836688994422,148.63366889944223,4.107085692569621e-05,0.1025730628321584,0.001374541000350352,0.9999990553180732
628,0.02001014429038085,136,272,5.442759246983591,1465.1016616761342,150.8516616761342,4.1070856272115534e-05,0.10257306119986298,0.0013745296234931846,0.9999990553337107
628,0.02001014429038085,137,274,5.482779535564353,1467.3196544803377,153.0696544803377,4.107085632906198e-05,0.10257306134208478,0.0013745363988228387,0.9999990553243978
628,0.02001014429038085,138,276,5.522799824145114,1469.5376473030751,155.28764730307512,4.1070856707834195e-05,0.10257306228805546,0.0013745350655664866,0.9999990553262308
628,0.02001014429038085,139,278,5.562820112725876,1471.7556401158333,157.50564011583333,4.107085703192184e-05,0.10257306309745329,0.001374527005685702,0.9999990553373094
628,0.02001014429038085,140,280,5.602840401306637,1473.9736328909796,159.72363289097962,4.107085725087037e-05,0.10257306364426977,0.0013745279973343871,0.9999990553359461
628,0.02001014429038085,141,282,5.642860689887399,1476.1916257119672,161.94162571196716,4.10708567119668e-05,0.1025730622983765,0.0013745431345706307,0.9999990553151398
628,0.02001014429038085,142,284,5.682880978468161,1478.409618491365,164.1596184913651,4.1070855350522885e-05,0.1025730588982168,0.0013745496815347992,0.9999990553061403
628,0.02001014429038085,143,286,5.722901267048923,1480.6276113160748,166.37761131607476,4.1070856606784743e-05,0.1025730620356879,0.0013745309065085628,0.9999990553319474
628,0.02001014429038085,144,288,5.762921555629684,1482.8456040975177,168.5956040975177,4.1070856049678265e-05,0.1025730606443335,0.00137453770959394,0.9999990553225967
628,0.02001014429038085,145,290,5.802941844210446,1485.063596890267,170.81359689026704,4.1070856335013226e-05,0.10257306135694781,0.0013745440691223451,0.9999990553138546
628,0.02001014429038085,146,292,5.842962132791207,1487.28158973385,173.03158973385007,4.107085650065278e-05,0.10257306177062696,0.0013745268677880455,0.9999990553374987
628,0.02001014429038085,147,294,5.8829824213719695,1489.4995825140227,175.24958251402268,4.107085602470057e-05,0.10257306058195256,0.001374550948917997,0.9999990553043979
628,0.02001014429038085,148,296,5.923002709952731,1491.7175753087513,177.4675753087513,4.1070856805583586e-05,0.10257306253218122,0.0013745334817512863,0.9999990553284075
628,0.02001014429038085,149,298,5.963022998533493,1493.935568130622,179.68556813062196,4.107085682370473e-05,0.10257306257743816,0.001374525545448933,0.9999990553393167
628,0.02001014429038085,150,300,6.003043287114255,1496.15356083972,181.90356083972006,4.107085640804428e-05,0.10257306153934037,0.0013745400722276245,0.9999990553193491
628,0.02001014429038085,151,302,6.043063575695016,1498.3715536951865,184.12155369518655,4.107085747071921e-05,0.10257306419333473,0.0013745323843579048,0.999999055329916
628,0.02001014429038085,152,304,6.083083864275778,1500.589546473072,186.339546473072,4.107085734784177e-05,0.10257306388645253,0.0013745275554781257,0.9999990553365534
628,0.02001014429038085,153,306,6.1231041528565395,1502.8075392965115,188.55753929651155,4.107085647972626e-05,0.10257306171836367,0.0013745308930335903,0.9999990553319655
628,0.02001014429038085,154,308,6.163124441437302,1505.0255321730463,190.77553217304626,4.107085684881898e-05,0.10257306264016014,0.0013745402653538,0.9999990553190837
628,0.02001014429038085,155,310,6.203144730018063,1507.2435248657246,192.99352486572457,4.107085644867615e-05,0.10257306164081709,0.0013745449325299598,0.9999990553126678
628,0.02001014429038085,156,312,6.243165018598825,1509.4615176575994,195.21151765759942,4.1070856620638686e-05,0.10257306207028764,0.0013745802175718423,0.9999990552641671
628,0.02001014429038085,157,314,6.283185307179586,1511.679510542815,197.42951054281502,4.107085646987578e-05,0.10257306169376244,0.001374594486702993,0.9999990552445523
628,0.02001014429038085,158,316,6.323205595760348,1513.8975033595057,199.64750335950566,4.107085611513276e-05,0.10257306080780387,0.0013750268355459568,0.9999990546501535
628,0.02001014429038085,159,318,6.36322588434111,1516.115496211005,201.86549621100494,4.1070855767461016e-05,0.10257305993950555,0.0013783363137564637,0.9999990500940519
838,0.014995668990882068,129,258,3.8688825996475735,1834.082116466738,80.83211646673794,1.67460408517366e-05,0.07446984596584318,0.0054484029191717055,0.9999851573426628
838,0.014995668990882068,130,260,3.8988739376293378,1835.1514841698026,81.90148416980264,1.6746107547949874e-05,0.07447014256470931,0.002136194461400934,0.9999977183340084
838,0.014995668990882068,131,262,3.9288652756111015,1836.2208723796355,82.97087237963547,1.674613419062574e-05,0.07447026104501074,0.001038917994697001,0.9999994603245549
838,0.014995668990882068,132,264,3.958856613592866,1837.2902685097183,84.04026850971832,1.6746144167305357e-05,0.07447030541142552,0.0007753450704318373,0.9999996994199658
838,0.014995668990882068,133,266,3.98884795157463,1838.35966746164,85.1096674616399,1.6746147024767054e-05,0.07447031811859221,0.0007322496908085895,0.9999997319051593
838,0.014995668990882068,134,268,4.018839289556394,1839.4290673309808,86.17906733098084,1.6746148504694553e-05,0.07447032469984767,0.0007262511354989679,0.999999736279609
838,0.014995668990882068,135,270,4.048830627538158,1840.4984673141298,87.24846731412981,1.6746148194753763e-05,0.07447032332153723,0.0007260484583216999,0.9999997364267831
838,0.014995668990882068,136,272,4.078821965519922,1841.5678673571092,88.31786735710921,1.6746148148332467e-05,0.07447032311510117,0.0007253998575066293,0.999999736897489
838,0.014995668990882068,137,274,4.1088133035016865,1842.6372672877449,89.38726728774486,1.674614819852566e-05,0.07447032333831091,0.0007252866794857954,0.9999997369795818
838,0.014995668990882068,138,276,4.138804641483451,1843.7066671863743,90.45666718637426,1.674614810722975e-05,0.0744703229323169,0.0007252584257574822,0.999999737000073
838,0.014995668990882068,139,278,4.168795979465215,1844.7760670227394,91.52606702273943,1.6746147850772914e-05,0.07447032179185024,0.0007252338976930859,0.9999997370178625
838,0.014995668990882068,140,280,4.198787317446979,1845.8454668417426,92.59546684174256,1.6746147903600044e-05,0.07447032202677313,0.0007252225134836858,0.9999997370261189
838,0.014995668990882068,141,282,4.228778655428743,1846.914866612661,93.66486661266094,1.6746147922918115e-05,0.07447032211268083,0.0007252349579501597,0.9999997370170931
838,0.014995668990882068,142,284,4.258769993410507,1847.9842664190442,94.73426641904416,1.6746147996553884e-05,0.07447032244013999,0.0007252328503168203,0.9999997370186215
838,0.014995668990882068,143,286,4.288761331392271,1849.0536662056365,95.80366620563655,1.674614735188209e-05,0.07447031957327674,0.0007252407625318104,0.9999997370128836
838,0.014995668990882068,144,288,4.318752669374035,1850.1230659936818,96.87306599368185,1.6746147800164118e-05,0.07447032156679231,0.0007252231471984549,0.999999737025659
838,0.014995668990882068,145,290,4.3487440073557995,1851.1924657604795,97.94246576047954,1.6746147704724264e-05,0.07447032114237014,0.0007252304535715256,0.9999997370203606
838,0.014995668990882068,146,292,4.378735345337564,1852.2618655345577,99.01186553455773,1.674614800404834e-05,0.07447032247346792,0.0007252223551546181,0.9999997370262331
838,0.014995668990882068,147,294,4.408726683319328,1853.331265305676,100.08126530567597,1.6746147712474517e-05,0.07447032117683561,0.000725225985865998,0.9999997370236002
