Mwidth,h,L,status,V_h,best_candidate_residual,FWHM_cells,FWHM_x,first_clean_cell,last_track_cell,n_track,A_median,A_over_h2_median,A_over_h2_std,profile_relL2_median,profile_relL2_max,correlation_median,velocity,velocity_stderr,v_over_Ah2,relative_velocity_vs_semidiscrete,observed_Linf,observed_L1_local,observed_L2_local,fitted_Linf,fitted_L1,fitted_L2
2514,0.0049985563302940225,32.00075762654233,clean,20.661785032604243,0.0005619359666598219,5.44921875,0.027238226877969382,1102.0,1220.0,60.0,1.8747667275023294e-06,0.0750339925655068,1.171297632591294e-09,0.0007363143927961386,0.006839242951511837,0.9999997289205202,1.5463064124415793,1.6786825478714945e-09,20.60807854642161,-0.0025993149235597804,1.8514618886911194e-06,6.110856891051514e-08,2.7232466209154437e-07,1.8747667275023294e-06,5.60929834668164e-08,2.691237866653215e-07
2094,0.006001132098547838,31.99803634945707,clean,20.661747880539217,0.00023577746483977854,5.44921875,0.03270148155263372,348.0,466.0,60.0,2.7528503083560877e-06,0.07643921582458868,5.896127015233191e-09,0.0007641034725399812,0.004899781934479625,0.9999997080728988,1.5751087298520734,2.8698114546810925e-09,20.60602941645299,-0.002696696543214786,2.7510118343343493e-06,9.893646906755241e-08,4.3299406973926987e-07,2.7528503083560877e-06,9.888550602435144e-08,4.329939451008795e-07
1676,0.007497834495441034,40.008444867673354,clean,20.661679815930164,0.0004043086457345037,5.44921875,0.04085734031695407,148.0,266.0,60.0,4.906500237555685e-06,0.0872770633147604,9.415099935610834e-09,0.0009958189827703886,0.006902715388212791,0.9999995041721539,1.7969681963960533,4.012515795263039e-09,20.58923763183205,-0.003506112994852489,4.856666237174068e-06,2.203523688523252e-07,8.626264126159814e-07,4.906500237555685e-06,2.2020379396074743e-07,8.626259756009751e-07
1256,0.010005072145190424,40.00027843647132,clean,20.661531976231522,0.0005689340048557367,5.44921875,0.054519826728674385,454.0,572.0,60.0,6.601850252925814e-06,0.06595158236186534,5.557743566559733e-08,0.0005690280874089692,0.005542628412275772,0.9999998381035049,1.359918841016266,3.4119569480068663e-08,20.6199577373992,-0.002012156643570624,6.928199582034722e-06,6.001220549107099e-07,1.669966742203739e-06,6.601850252925814e-06,3.9536989313549765e-07,1.3407842124792477e-06
1006,0.012491422081867964,39.997533506141224,clean,20.661343540824312,0.000463162768830314,5.44921875,0.06806849142267894,1304.0,1422.0,60.0,1.832814182400695e-05,0.11746126405629656,7.871279930616015e-09,0.0018016527237275622,0.003374331045539827,0.9999983770224146,2.411638806912795,2.482174151797948e-09,20.531354113105326,-0.00629143150648184,1.807832086342387e-05,1.3720707773531585e-06,4.1591884200128705e-06,1.832814182400695e-05,1.3704044446959221e-06,4.159181732085617e-06
838,0.014995668990882068,40.008444867673354,clean,20.66111164583294,0.0005042415222620777,5.44921875,0.08171468063390815,258.0,376.0,60.0,1.6746147807618797e-05,0.07447032159994335,6.553952523424132e-08,0.0007252281850536815,0.0054484029191717055,0.9999997370220052,1.534699838911993,2.304181688962861e-08,20.608207483733498,-0.0025605670694931427,1.6693164070602506e-05,1.5038776459019692e-06,4.1637244422282745e-06,1.6746147807618797e-05,1.5031423497935683e-06,4.163723377414496e-06
628,0.02001014429038085,40.020288580761694,clean,20.660520286898596,0.0005609514995898124,5.44921875,0.10903965345734877,200.0,318.0,60.0,4.10708564338103e-05,0.10257306160369013,1.0473015821878893e-08,0.0013745392536402288,0.008089505166792731,0.999999055320474,2.108996389934064,4.039245477123859e-09,20.560918792524287,-0.004820860897557728,4.085861291969195e-05,4.923888836671899e-06,1.1796267272996666e-05,4.10708564338103e-05,4.91932638100291e-06,1.1796256017971983e-05
420,0.029919930034188507,40.03286638574422,no_clean_track,20.65885337702763,0.7830131216434303,,,,,,,,,,,,,,,,,,,,,
