time,max_ahead_HP_over_h2
25.0,0.005566765346952967
25.02,0.005734625534467895
25.04,0.003725815365045941
25.06,0.004079205457597056
25.08,0.0036861864876025483
25.1,0.005113698445730554
25.12,0.005382771140773631
25.14,0.006228259852002421
25.16,0.005841075446220634
25.18,0.00312268535385851
25.2,0.002702202468223583
25.22,0.0027457629857627415
25.24,0.0037858804914119608
25.26,0.003967349649789042
25.28,0.0031729286160247167
25.3,0.003094479794767072
25.32,0.0038054072108253383
25.34,0.003598880199809141
25.36,0.0034834925111778578
25.38,0.0037539345021454437
25.4,0.0032270118303134206
25.42,0.0029828174188283353
25.44,0.0031060064730479694
25.46,0.0025783893688794733
25.48,0.0028162894724521716
25.5,0.005078379218722737
25.52,0.004267588491364569
25.54,0.006038059214695813
25.56,0.003591276982986305
25.58,0.005714651639076182
25.6,0.002373430852833778
25.62,0.005553394661466246
25.64,0.003145150754211468
25.66,0.007652322137557443
25.68,0.0037522486884122496
25.7,0.008217655489466423
25.72,0.002827283336240361
25.74,0.007088386924186552
25.76,0.004427543781925744
25.78,0.00798557668256801
25.8,0.005021963799168272
25.82,0.007640362977923191
25.84,0.0050416052019602664
25.86,0.007713924431881163
25.88,0.0058940345008441
25.9,0.005687167106952158
25.92,0.004146595560462547
25.94,0.005146093398688726
25.96,0.00487042889135024
25.98,0.006128561133479498
26.0,0.005538805046738874
26.02,0.005224037033904251
26.04,0.004474870398039426
26.06,0.0032211404897567212
26.08,0.0036447875624480413
26.1,0.002472068620095414
26.12,0.0028512957961563884
26.14,0.002399837771194712
26.16,0.002743900880432253
26.18,0.003183426533519213
26.2,0.0025708215210859457
26.22,0.0025292703485980277
26.24,0.0023650826920072064
26.26,0.002388791465732181
26.28,0.0027431587019300574
26.3,0.0026926095240128443
26.32,0.0023583479011655174
26.34,0.002412828362356451
26.36,0.0022525919719173304
26.38,0.00441955745278777
26.4,0.0032253569138110203
26.42,0.006446521523510349
26.44,0.0030983762533506806
26.46,0.005892267460975875
26.48,0.0023383533971063054
26.5,0.005234267475794756
26.52,0.002536218831111686
26.54,0.007791298642173773
26.56,0.002901272588483997
26.58,0.007885666471851934
26.6,0.0028256255527936234
26.62,0.007175812157239007
26.64,0.0029829342029807603
26.66,0.008128004585559312
26.68,0.004696316242073169
26.7,0.007857565995855886
26.72,0.004272131957032747
26.74,0.007482285472514686
26.76,0.003985361735370863
26.78,0.00658582471183851
26.8,0.004673278306620909
26.82,0.005543617959244733
26.84,0.004678079610441352
26.86,0.00571467461321918
26.88,0.004412765028394966
26.9,0.005863191961287416
26.92,0.00538079622581402
26.94,0.0029438333288051865
26.96,0.0033300450480209364
26.98,0.0027945546542104053
27.0,0.0027623337071093477
27.02,0.002811286571171408
27.04,0.00397582885872344
27.06,0.002602479963825677
27.08,0.002417352142488223
27.1,0.0028172809038366094
27.12,0.002271784572229545
27.14,0.0024541271630070197
27.16,0.0018797588404709674
27.18,0.0026730660488976828
27.2,0.002340328576207503
27.22,0.00258412045369937
27.240000000000002,0.002158366785005108
27.26,0.003985113521506275
27.28,0.0027591718107271494
27.3,0.004519799672258401
27.32,0.002236343992065447
27.34,0.005146103028937625
27.36,0.0020097844695177794
27.38,0.00590000295696085
27.4,0.0021738169915197763
27.42,0.006555089558997043
27.44,0.0038641949374521797
27.46,0.007776933199250569
27.48,0.0022536486350557988
27.5,0.007560154945881942
27.52,0.0036248881706159018
27.54,0.007499326787346031
27.56,0.003966941906688522
27.58,0.008450820233938415
27.6,0.003921705223088931
27.62,0.00815151614918084
27.64,0.005062004752214247
27.66,0.00558917542255672
27.68,0.004994568481494528
27.7,0.007273002517471722
27.72,0.005593973687118351
27.740000000000002,0.007221572127351056
27.76,0.005681253050632457
27.78,0.005454880461056186
27.8,0.004883941480175814
27.82,0.004343738953271025
27.84,0.003478857628010436
27.86,0.0027581015541196232
27.88,0.0031100508806338675
27.9,0.002724590229319474
27.92,0.0037450142330694306
27.94,0.003062561481890449
27.96,0.0024998892047721328
27.98,0.002650304053225126
28.0,0.0018108750440976986
28.02,0.0029451634097964075
28.04,0.002022638103502785
28.06,0.0025912300376588135
28.08,0.001929272490864076
28.1,0.00236049341077529
28.12,0.0033269257277393394
28.14,0.003883599481597571
28.16,0.002559595953923794
28.18,0.003926231232154038
28.2,0.0022895694562208705
28.22,0.004752626881655348
28.240000000000002,0.0020583164704478275
28.26,0.0042906871605736105
28.28,0.0032711079948359893
28.3,0.00689301899747925
28.32,0.0029211392983293036
28.34,0.00744341493743141
28.36,0.002291712114209274
28.38,0.006100219099793986
28.4,0.0024815584004451107
28.42,0.007478160034740641
28.44,0.003843587910787247
28.46,0.00879045696483994
28.48,0.003307281073807343
28.5,0.007645264935016883
28.52,0.002845895557770351
28.54,0.0054594432825796485
28.56,0.0047276334049006505
28.58,0.006764655620184411
28.6,0.00642709652233083
28.62,0.00798614269260025
28.64,0.005643141586015995
28.66,0.005538102607101181
28.68,0.005356123243254769
28.7,0.003962064884872264
28.72,0.004258947857664447
28.740000000000002,0.004193617038610638
28.76,0.003837270030759036
28.78,0.0035260250305869027
28.8,0.004249455531762552
28.82,0.0018736623677822746
28.84,0.002393886208803411
28.86,0.00215031190415348
28.88,0.0017400012842834424
28.9,0.0027016219878624845
28.92,0.002743733194409693
28.94,0.0014338811799577955
28.96,0.0014134205777814656
28.98,0.0019583947816562337
29.0,0.002688203762898143
29.02,0.0032154208105266524
29.04,0.0023646003685607784
29.060000000000002,0.003897816289811324
29.08,0.002901983490856718
29.1,0.0054504587508029485
29.12,0.002311025215854413
29.14,0.004218108043758149
29.16,0.004262978640623715
29.18,0.006747110706348022
29.2,0.00406279012017106
29.22,0.007474101325212909
29.240000000000002,0.0021599966675894407
29.259999999999998,0.0076901296260525245
29.28,0.004068387982424433
29.3,0.00778506986874136
29.32,0.0036494983283044506
29.34,0.007402061319591105
29.36,0.004087347603324138
29.38,0.009336482609397045
29.4,0.002822637765900779
29.42,0.00642429033205884
29.44,0.0032780082258702208
29.46,0.007384817339640632
29.48,0.006258737159219526
29.5,0.008531071359038378
29.52,0.005573741921887039
29.54,0.005646761870745762
29.560000000000002,0.004418623900599637
29.58,0.004715467418130149
29.6,0.0040407825886983415
29.62,0.004660611447662555
29.64,0.0035194004166321765
29.66,0.00388100650064728
29.68,0.003834506637139705
29.7,0.0037375653052071074
29.72,0.004193752412549559
29.740000000000002,0.0021239196614791455
29.759999999999998,0.0022197609424878953
29.78,0.002227748082791253
29.8,0.002526402584763677
29.82,0.002050070543485752
29.84,0.0021652587613408864
29.86,0.002009536133894942
29.88,0.002129271350373322
29.9,0.002401858446313213
29.92,0.0035051166065601836
29.94,0.00310748207733718
29.96,0.0026857596805243632
29.98,0.002782474101371766
30.0,0.002456974815714602
30.02,0.003860819420483877
30.04,0.004281728283830784
30.060000000000002,0.006145864759058768
30.08,0.003233022927004116
30.1,0.0058928013393593085
30.12,0.002346420427426147
30.14,0.006877919343388611
30.16,0.0033839683525821356
30.18,0.0074170831898621855
30.2,0.0031798612123291933
30.22,0.00668252609132451
30.240000000000002,0.001970483498026892
30.259999999999998,0.007657945307199949
30.28,0.003030883813650066
30.3,0.007558771741615716
30.32,0.004778816452065667
30.34,0.00731024342391116
30.36,0.004818722617107378
30.38,0.008679773167662587
30.4,0.005313284866462871
30.42,0.007099356677344106
30.44,0.0057777389698820325
30.46,0.003922104126351728
30.48,0.003892374926383706
30.5,0.005119838358615126
30.52,0.004151669217074797
30.54,0.0053519520521479414
30.560000000000002,0.004773216191944212
30.58,0.0028524615665868427
30.6,0.004025637299683761
30.62,0.0025713718810425625
30.64,0.0031268960523352213
30.66,0.0032279239572618424
30.68,0.002823872102672087
30.7,0.0017930083507057425
30.72,0.0020118888996527163
30.740000000000002,0.0017967181481866876
30.759999999999998,0.002000534506971582
30.78,0.0035717726953401123
30.8,0.0017971099792273458
30.82,0.0023728291886063835
30.84,0.0019337538357870135
30.86,0.0022226521889086312
30.88,0.0020052067936856778
30.9,0.0045053247366033805
30.92,0.0022599413348930414
30.94,0.004727777973692843
30.96,0.00327368862796503
30.98,0.0061997394994126615
31.0,0.002613555166655801
31.02,0.007430583342348205
31.04,0.004199187071863076
31.060000000000002,0.007404075316371092
31.08,0.002707733663280967
31.1,0.0069034490823630884
31.12,0.002195349140918228
31.14,0.007484276824364718
31.16,0.0022865953864228796
31.18,0.007242847030379886
31.2,0.0032326299113102346
31.22,0.008475490183832549
31.240000000000002,0.004926528125180211
31.259999999999998,0.008210133826062962
31.28,0.004813551937497869
31.3,0.0068530228407013005
31.32,0.0035588508254049767
31.34,0.005491812440039178
31.36,0.0052309896604619864
31.38,0.005160484761941786
31.4,0.0051131992818186514
31.42,0.005243276025972937
31.44,0.0037682509058829146
31.46,0.003938123928811173
31.48,0.0037166788136423377
31.5,0.0028943928657779714
31.52,0.0039322252486263575
31.54,0.0031077466547796855
31.560000000000002,0.003178382006888159
31.58,0.0028208174991875613
31.6,0.0022596839255327266
31.62,0.0024133579410485647
31.64,0.0021992184314938907
31.66,0.002759891179046566
31.68,0.001913326586404459
31.7,0.002332663554813885
31.72,0.0017261545035911704
31.740000000000002,0.0019909127131887572
31.759999999999998,0.0018397583995629673
31.78,0.002670448958790175
31.8,0.003113121002780814
31.82,0.00491372917045595
31.84,0.0022937663249034943
31.86,0.003818760577243748
31.88,0.0022083542226393918
31.9,0.0059932177702110975
31.92,0.003594529623610334
31.94,0.007977149787724194
31.96,0.0027377173673028615
31.98,0.006337798130316603
32.0,0.0024791980514597524
32.02,0.00676237855802017
32.04,0.0019550782882428908
32.06,0.007567545385546637
32.08,0.0034763377571108726
32.1,0.009011623857717395
32.12,0.005832095154574551
32.14,0.008599289677945038
32.16,0.0048908411320975455
32.18,0.006195505789274226
32.2,0.0037201046820636756
32.22,0.007058506398456685
32.24,0.005365157155641461
32.26,0.006202268861247253
32.28,0.006187890849484388
32.3,0.0046368464847251845
32.32,0.004536793601295789
32.34,0.005333319041427469
32.36,0.003620729476302924
32.38,0.004499002855663172
32.4,0.00467605097732666
32.42,0.0031915535994104936
32.44,0.003953378384297354
32.46,0.002829508353997008
32.480000000000004,0.002520413241539348
32.5,0.0022680146674575745
32.52,0.002121280066481516
32.54,0.0031435127535824788
32.56,0.002305774754961883
32.58,0.0024116730924587486
32.6,0.0019441929701990263
32.62,0.0019981545262314332
32.64,0.0020082056357312666
32.66,0.0032295467854429613
32.68,0.002056497530213069
32.7,0.004039484850429121
32.72,0.0028992607028563823
32.74,0.0039000570129095846
32.76,0.002954399659466178
32.78,0.005094453781010391
32.8,0.003209204131636002
32.82,0.007680588471350501
32.84,0.002883525011153421
32.86,0.007266064144361522
32.88,0.0022049209060030156
32.9,0.004754787450392316
32.92,0.003515862206940755
32.94,0.008785449668767684
32.96,0.0043001913845332335
32.980000000000004,0.008267085480877007
33.0,0.003857902029530249
33.019999999999996,0.008237999610115237
33.04,0.005127276363874977
33.06,0.008082649364937067
33.08,0.003381380824478146
33.1,0.005896320310790822
33.120000000000005,0.004352423107584491
33.14,0.007761847890725936
33.16,0.005883747629255049
33.18,0.004785132871525724
33.2,0.004045229789831344
33.22,0.005378446514411861
33.24,0.0052720145910083996
33.26,0.0051368406938942105
33.28,0.0041274686072734455
33.3,0.0032882008239750026
33.32,0.0040104859521118575
33.34,0.00273522314236961
33.36,0.003225361729926417
33.38,0.0020522013618897803
33.4,0.002193551789163418
33.42,0.002710312106383012
33.44,0.0025110957159318707
33.46,0.0021030518670257688
33.480000000000004,0.00226635211159026
33.5,0.0020164817841947964
33.519999999999996,0.002606398913514363
33.54,0.0022950078477618637
33.56,0.0018762771333665584
33.58,0.004539456209624102
33.6,0.002403446228317012
33.620000000000005,0.0034068686180028763
33.64,0.002062343102009049
33.66,0.003372918634259603
33.68,0.003226445250597514
33.7,0.00683590386723441
33.72,0.0029427227697507298
33.74,0.007246719657987841
33.76,0.002292740173947779
33.78,0.007072728521837021
33.8,0.002447608929346352
33.82,0.00679724908342668
33.84,0.0037591779018145764
33.86,0.008103552281904236
33.88,0.0032882892405994317
33.9,0.008619312391249303
33.92,0.0045802954887640135
33.94,0.007703564579942467
33.96,0.004249659977127801
33.980000000000004,0.007239930458870093
34.0,0.0033152677003242983
34.019999999999996,0.007870857685754318
34.04,0.005602218243081634
34.06,0.006641228783460599
34.08,0.005447895707304434
34.1,0.004754524860257459
34.120000000000005,0.00320705379508719
34.14,0.004851019020915377
34.16,0.00409012398414623
34.18,0.004455857677242286
34.2,0.005758562586783308
34.22,0.002031183649300338
34.24,0.00217403041373881
34.26,0.0025063878435754444
34.28,0.0018718832416083555
34.3,0.002245363910350165
34.32,0.0023249012094476254
34.34,0.0017474767510504922
34.36,0.0018907541589133253
34.38,0.0018829770171285287
34.4,0.0021834637059273427
34.42,0.0017399987394681776
34.44,0.0023538033056084745
34.46,0.002717130639165418
34.480000000000004,0.002198011939959142
34.5,0.003685115757619957
34.519999999999996,0.002146852809251381
34.54,0.0028201942582207692
34.56,0.0038538162824122628
34.58,0.004913028877251481
34.6,0.0032276914600713365
34.620000000000005,0.007103806647847731
34.64,0.0018754046264483819
34.66,0.006377988280259968
34.68,0.00327852790145676
34.7,0.006503111316105712
34.72,0.004255649456336384
34.74,0.008686496411012368
34.76,0.00255100384459484
34.78,0.007276542876369613
34.8,0.0034066643005776012
34.82,0.006816074086244634
34.84,0.0035513530237501877
34.86,0.008132387710300514
34.88,0.004123358270655551
34.9,0.007564093153225502
34.92,0.00537605257915227
34.94,0.006237135560285089
34.96,0.005111412877028226
34.980000000000004,0.005759418019970598
35.0,0.004372339030652636
35.019999999999996,0.005725819635149093
35.04,0.004671577459456084
35.06,0.00439991948918612
35.08,0.005323039417657253
35.1,0.0024804823702014047
35.120000000000005,0.004516676777343757
35.14,0.002951986639893159
35.16,0.0020829975983912377
35.18,0.0032317666063982477
35.2,0.003484737617021989
35.22,0.0019019498432499861
35.24,0.001881168402895087
35.26,0.001848253629784533
35.28,0.0023870487963208852
35.3,0.0024872110035968464
35.32,0.0024058159975168672
35.34,0.0027188128804537543
35.36,0.0020700057801565715
35.38,0.002615603128313804
35.4,0.002609705920765393
35.42,0.0039017141080827347
35.44,0.003413262414697121
35.46,0.004835514841398949
35.480000000000004,0.0019988129220549736
35.5,0.0056433697106422626
35.519999999999996,0.0030548024010902983
35.54,0.006439614378288218
35.56,0.0031738916848678476
35.58,0.006830291121236142
35.6,0.0036842708348964
35.620000000000005,0.008431771144838977
35.64,0.002618024189634349
35.66,0.007155163093099951
35.68,0.002124387453710718
35.7,0.0070487961449205725
35.72,0.0036629004717113776
35.74,0.008771688034587293
35.76,0.004918624986799616
35.78,0.00773771768928352
35.8,0.003940015277847407
35.82,0.006315303598367969
35.84,0.004159151359297444
35.86,0.006871452409889595
35.88,0.005013828380241906
35.9,0.006197660398384329
35.92,0.004394767423570251
35.94,0.004460305999277882
35.96,0.004402065211863707
35.980000000000004,0.003032551145632364
36.0,0.003822275124223228
36.019999999999996,0.004049674614331548
36.04,0.0032738544677093713
36.06,0.002906082555984633
36.08,0.0027764935806880555
36.1,0.001844342520846741
36.120000000000005,0.0021250797714165537
36.14,0.0021047113143564085
36.16,0.0025932406935084973
36.18,0.0021050631105126514
36.2,0.0024814543383476673
36.22,0.0023002796969864756
36.24,0.002133773430248354
36.26,0.002153629728320696
36.28,0.0023595669997669927
36.3,0.003021717112495497
36.32,0.0035551251809823902
36.34,0.00434630781772115
36.36,0.0022503536362340907
36.38,0.004103835682152585
36.4,0.0026476718825569736
36.42,0.005896645521929778
36.44,0.00452427637754259
36.46,0.006879780854422266
36.480000000000004,0.0032186434529152077
36.5,0.006411020430262955
36.519999999999996,0.002689600889674127
36.54,0.007290850489779576
36.56,0.0027386369350720537
36.58,0.007485235963382679
36.6,0.002707941990950397
36.620000000000005,0.008308899133273739
36.64,0.005299005323147765
36.66,0.007195565878352359
36.68,0.004916363029350863
36.7,0.008352189810841903
36.72,0.004586554928478308
36.74,0.006207429724375244
36.76,0.004646169227402878
36.78,0.0076010285098531815
36.8,0.005555474994927149
36.82,0.004468677788928566
36.84,0.004097620157556833
36.86,0.004263207136114797
36.88,0.004383603882000416
36.9,0.0049402208384741264
36.92,0.004718751848681585
36.94,0.002888382254224315
36.96,0.0029969591884787114
36.980000000000004,0.003688425177766452
37.0,0.003731968856365111
37.019999999999996,0.0020917472877950006
37.04,0.0019126543608029385
37.06,0.0032246435919832906
37.08,0.0022049343597040907
37.1,0.00291302815104847
37.120000000000005,0.002223585614727677
37.14,0.00249639189665407
37.16,0.0023924461555018973
37.18,0.004149134769611982
37.2,0.0029793749425901608
37.22,0.0029275405041841356
37.24,0.002306469823861785
37.26,0.004055923076960618
37.28,0.003357904590861472
37.3,0.005717894182192285
37.32,0.0026040477433453345
37.34,0.006797311207100581
