step,time,maxabs,minU,maxU,hp_global
2760,0.6900000000000001,1.3333277630631837,-4.190417280461674e-05,1.3333277630631837,0.11696655083585508
2800,0.7000000000000001,1.333333088395215,-2.578412606410909e-05,1.333333088395215,0.11116823538932452
2840,0.71,1.333327728531877,-4.653367447220077e-05,1.333327728531877,0.11530936336329461
2880,0.72,1.333333031537067,-6.107469157946358e-05,1.333333031537067,0.13207021807288988
2920,0.73,1.3333277679856512,-5.698653263514115e-05,1.3333277679856512,0.14566215531312493
2960,0.74,1.3333331013364291,-2.8707310350466763e-05,1.3333331013364291,0.13283572466544974
3000,0.75,1.3333277195469537,-5.4335266455966036e-05,1.3333277195469537,0.13791569455389793
3040,0.76,1.3333330188029118,-7.49428893710347e-05,1.3333330188029118,0.16131659471988166
3080,0.77,1.3333277753416728,-7.679373386262884e-05,1.3333277753416728,0.18344752481644044
3120,0.78,1.3333331176350853,-4.130742288671946e-05,1.3333331176350853,0.17137787300575358
3160,0.79,1.3333277093928833,-6.078827916032753e-05,1.3333277093928833,0.1631635633569666
3200,0.8,1.3333330042204863,-8.950004402542108e-05,1.3333330042204863,0.19339601320957778
3240,0.81,1.3333277793705403,-9.946247010786612e-05,1.3333277793705403,0.22759127251083464
3280,0.8200000000000001,1.3333331367079966,-7.032085130081094e-05,1.3333331367079966,0.2224698958945103
3320,0.8300000000000001,1.3333277029400004,-6.641337006226863e-05,1.3333277029400004,0.19583647150188196
3360,0.84,1.3333329871563515,-0.00010782002706515062,1.3333329871563515,0.23529245253497588
3400,0.85,1.333327778636669,-0.00012972872647056292,1.333327778636669,0.28700257808672824
3440,0.86,1.3333331606497008,-0.00011649481418959324,1.3333331606497008,0.3031898813225353
3480,0.87,1.333327698988872,-6.092665411605779e-05,1.333327698988872,0.23539700177681736
3520,0.88,1.3333329632472901,-0.00012107204544817584,1.3333329632472901,0.27573868262571344
3560,0.89,1.3333277775226846,-0.00015352647397048072,1.3333277775226846,0.3430036144477842
3600,0.9,1.3333331907159627,-0.00014640044971330846,1.3333331907159627,0.3649052523951007
3640,0.91,1.3333277038745055,-8.064346024755165e-05,1.3333277038745055,0.28929869783074835
3680,0.92,1.3333329246173427,-0.00016011855337468158,1.3333329246173427,0.3572475772045014
3720,0.93,1.3333277718604224,-0.00024050911000731952,1.3333277718604224,0.49932301808885793
3760,0.9400000000000001,1.33333322003367,-0.00047140610410381157,1.33333322003367,0.9030059481647363
3800,0.9500000000000001,1610703.3712404268,-1321476.0984505215,1610703.3712404268,2253709324.3263345
3840,0.96,49065789.56378175,-42444233.8293625,49065789.56378175,64345175254.68959
3880,0.97,39894719.03786305,-39894719.03786305,25925678.34656913,49728792846.208885
3920,0.98,50761254.02296583,-50761254.02296583,33641121.580274545,63355411533.280945
3960,0.99,98190435.33470361,-96983966.7341112,98190435.33470361,124328748852.18314
4000,1.0,100379692.43175791,-34443057.73168871,100379692.43175791,125471977116.70473
4040,1.01,75994312.11695199,-69055999.28890055,75994312.11695199,95068906856.60417
4080,1.02,18205019.204006866,-7522158.894531269,18205019.204006866,22769904477.3554
4120,1.03,7623093.422616564,-6377157.776983667,7623093.422616564,10307033441.084621
4160,1.04,23688158.454036664,-21517264.2296798,23688158.454036664,29547508779.17789
4200,1.05,185353507.50576565,-95043032.20109193,185353507.50576565,231807622308.76617
4240,1.06,81038808.22583194,-77014418.55537485,81038808.22583194,101018618692.54318
4280,1.07,26026612.794023022,-24853301.701296233,26026612.794023022,32070839535.907036
4320,1.08,442581847.8502425,-442581847.8502425,101991515.10294268,556592757877.1555
4360,1.09,21319662.081680063,-15605979.809322085,21319662.081680063,27655250997.520855
4400,1.1,11661836.21923136,-10115637.305878744,11661836.21923136,14575194851.899887
4440,1.11,11396133.131943166,-11396133.131943166,10396044.426731579,15669545353.882467
4480,1.12,16617977.291936712,-16617977.291936712,10522431.406719873,20705864246.005466
4520,1.1300000000000001,18014457.41303635,-18014457.41303635,8442583.906694964,23016323325.200485
4560,1.1400000000000001,14422775.008606926,-11254380.757328559,14422775.008606926,17837894060.14363
4600,1.1500000000000001,15882119.935781706,-15882119.935781706,11193406.567095881,19721104543.748425
4640,1.16,7762949.738949377,-7762949.738949377,7140785.185203432,9625613824.432991
4680,1.17,19635313.807955038,-18259962.146016944,19635313.807955038,24501862154.89715
4720,1.18,18888332.57271167,-18888332.57271167,14008025.671761911,21962729666.02242
4760,1.19,27180923.00639335,-27180923.00639335,12397113.021761715,34448999001.54976
4800,1.2,68490522.58457775,-60643940.14796892,68490522.58457775,85407740099.89131
4840,1.21,28470917.577066574,-13227466.268148959,28470917.577066574,36101286340.8533
4880,1.22,20562103.16498544,-20562103.16498544,14925060.3678039,23193928506.802467
4920,1.23,11251321.190243633,-10006977.470263075,11251321.190243633,14614315520.664825
4960,1.24,8220021.742128715,-6911595.948480744,8220021.742128715,10258549763.525675
5000,1.25,48150141.18885567,-27509695.57891801,48150141.18885567,60227552384.139244
5040,1.26,225644602.44031283,-225644602.44031283,145065410.1151002,276929304275.77704
5080,1.27,219635178.14128917,-219635178.14128917,191459437.48779964,275843310959.7614
5120,1.28,10360396.832987199,-10360396.832987199,9635563.127076047,12819371056.937172
5160,1.29,34504582.88723968,-19057680.89091875,34504582.88723968,43646181474.987526
5200,1.3,123985896.10213414,-123985896.10213414,122856697.13715258,153591854891.24686
5240,1.31,30589337.55481915,-30589337.55481915,16496921.09270636,38176031291.24064
5280,1.32,16220154.552092526,-12753541.25688836,16220154.552092526,20553186336.59037
5320,1.33,28304438.73460519,-28304438.73460519,19943737.58506956,35368927611.87487
5360,1.34,33261355.152663846,-33261355.152663846,22080576.731741875,41605831602.26287
5400,1.35,319292556.7204526,-319292556.7204526,295088596.2063942,392067745614.3935
5440,1.36,9989504.639830796,-9989504.639830796,9671623.723932344,12294037578.831438
5480,1.37,133315274.09732896,-129218431.55494243,133315274.09732896,181464251646.9378
5520,1.3800000000000001,215054789.37784287,-87755854.15839152,215054789.37784287,267534959131.3635
5560,1.3900000000000001,8914972.572774973,-8914972.572774973,7415936.1116872635,10907442463.228245
5600,1.4000000000000001,124074075.10396188,-124074075.10396188,67465898.27989322,156614730779.35617
5640,1.41,489305423.75387275,-489305423.75387275,304965906.45942205,617909408688.46
5680,1.42,6235887.291812682,-5964660.293821969,6235887.291812682,7832110052.098967
5720,1.43,267666766.22734338,-267666766.22734338,88753619.53283873,334571448203.1677
5760,1.44,85033650.32030219,-85033650.32030219,63020331.70774804,105836094339.96918
5800,1.45,19551219.629178956,-19551219.629178956,15493852.889395835,22922491952.891605
5840,1.46,123500148.6864397,-78836275.06367631,123500148.6864397,152444206676.5291
5880,1.47,19791521.94602415,-19791521.94602415,19597348.078612003,25191765653.776096
5920,1.48,1114548244.6672564,-608744564.8753299,1114548244.6672564,1405794907771.632
5960,1.49,582568725.2490095,-256049536.644392,582568725.2490095,730406813243.7363
6000,1.5,39913077.31367706,-15679572.701522367,39913077.31367706,50156937248.46946
6040,1.51,473847839.73163795,-309501792.9866554,473847839.73163795,596441821582.6527
6080,1.52,44131357.587182835,-44131357.587182835,32201881.688234963,58220777524.62612
6120,1.53,400312606.661361,-263245192.78454816,400312606.661361,492700195943.9845
6160,1.54,289262248.09946305,-289262248.09946305,219707395.3103083,325991080443.91003
6200,1.55,160055162.67760777,-160055162.67760777,140156966.17649817,201146371664.01068
6240,1.56,55050831.30866574,-55050831.30866574,54092293.36402199,67190888497.16185
6280,1.57,24721628.234088544,-24721628.234088544,16541716.61302593,30898048713.200626
6320,1.58,28702561.67948053,-19727259.600649193,28702561.67948053,34354763787.6869
6360,1.59,585355412.7351923,-578267119.9130836,585355412.7351923,722835892368.0377
6400,1.6,64576466.32438789,-64576466.32438789,38342697.42944175,80325963342.07307
6440,1.61,21706132.0080923,-21706132.0080923,21398721.074949585,26598983658.30108
6480,1.62,37149396.353224225,-37149396.353224225,16408372.773651995,42869766872.456825
6520,1.6300000000000001,10254189.227809068,-10254189.227809068,9797368.668567609,12586295949.156189
6560,1.6400000000000001,26820987203.340958,-25392754593.610695,26820987203.340958,32724782093077.164
6600,1.6500000000000001,500291572122.87634,-498868661183.0088,500291572122.87634,813574542531576.5
6640,1.6600000000000001,543111277443.7506,-543111277443.7506,542882433563.6669,745897598437726.9
6680,1.67,108757712170261.2,-106860827378417.81,108757712170261.2,2.2386452468781133e+17
