time,X_cells_unwrapped,A_over_h2,relL2
0.0,400.0,0.1,0.0
0.01,401.03269971835,0.10000009118919921,2.134447566974179e-05
0.02,402.0653999028645,0.10000033826417588,4.1454957558831984e-05
0.03,403.098102701071,0.10000067529832883,5.928050246373296e-05
0.04,404.13081057109974,0.10000102762429852,7.412816717470034e-05
0.05,405.16352554526054,0.10000133923018983,8.576105410885339e-05
0.06,406.1962483342289,0.10000158348797861,9.436143946539878e-05
0.07,407.2289782924903,0.10000175835248552,0.00010039126402242921
0.08,408.26171398952573,0.10000187525492606,0.0001044251619143781
0.09,409.2944538373077,0.10000194949635076,0.00010701748107836933
0.1,410.32719647155494,0.10000199487575205,0.00010862835125170808
0.11,411.3599408773456,0.1000020218375465,0.00010960217239524036
0.12,412.39268636569386,0.10000203752334036,0.00011017804849231107
0.13,413.42543249675015,0.1000020465077071,0.00011051279475760921
0.14,414.45817900140247,0.10000205159429999,0.00011070478052663168
0.15,415.49092571987217,0.10000205444928738,0.00011081371783816785
0.16,416.5236725593168,0.10000205604136392,0.00011087500473805015
0.17,417.5564194666258,0.10000205692486211,0.00011090924579783256
0.18,418.58916641176336,0.10000205741334584,0.0001109282750409708
0.19,419.6219133778863,0.10000205768267671,0.00011093880737245207
0.2,420.65466035560917,0.10000205783086222,0.00011094461943934335
0.21,421.6874073397265,0.10000205791226295,0.00011094782055414921
0.22,422.7201543273615,0.10000205795692306,0.00011094958169017667
0.23,423.7529013169286,0.1000020579814026,0.00011095054972491141
0.24,424.7856483075557,0.10000205799481073,0.00011095107698712805
0.25,425.8183952987637,0.10000205800215034,0.00011095133430732897
0.26,426.85114229028994,0.10000205800616574,0.00011095129282954588
0.27,427.8838892819904,0.10000205800836122,0.00011095028890886642
0.28,428.91663627378614,0.1000020580095605,0.00011094462661972644
0.29,429.9493832656341,0.1000020580102146,0.00011091608038520944
0.3,430.98213025751056,0.10000205801057024,0.00011078434526947157
0.31,432.0148772494026,0.10000205801076255,0.00011025834846421088
0.32,433.04762424130325,0.1000020580108653,0.00010857948561358442
0.33,434.08037123320855,0.10000205801091899,0.00010462085863899005
0.34,435.1131182251164,0.10000205801094567,9.813664426611776e-05
0.35000000000000003,436.14586521702563,0.10000205801095746,9.104389374788714e-05
0.36,437.1786122089357,0.10000205801096099,8.590913940647067e-05
0.37,438.2113592008461,0.10000205801096007,8.332628710919424e-05
0.38,439.2441061927568,0.10000205801095663,8.231453577965634e-05
0.39,440.2768531846677,0.10000205801095184,8.19651095589025e-05
0.4,441.30960017657856,0.1000020580109464,8.185070556592914e-05
0.41000000000000003,442.3423471684895,0.10000205801094071,8.181421157796793e-05
0.42,443.37509416040047,0.10000205801093502,8.180272408212973e-05
0.43,444.40784115231145,0.1000020580109296,8.179913249085532e-05
0.44,445.44058814422243,0.10000205801092453,8.179801366529128e-05
0.45,446.4733351361334,0.10000205801091999,8.179766583918703e-05
0.46,447.50608212804445,0.10000205801091616,8.179755784644227e-05
0.47000000000000003,448.53882911995544,0.10000205801091326,8.17975139380741e-05
0.48,449.5715761118664,0.10000205801091151,8.179751074108634e-05
0.49,450.60432310377746,0.10000205801091125,8.179750974388461e-05
0.5,451.63707009568844,0.10000205801091247,8.179750940900526e-05
0.51,452.6698170875994,0.10000205801091504,8.17975092607385e-05
0.52,453.70256407951047,0.1000020580109186,8.179750915297877e-05
0.53,454.73531107142145,0.10000205801092293,8.179750904160568e-05
0.54,455.76805806333243,0.10000205801092789,8.179750891552881e-05
0.55,456.8008050552434,0.10000205801093331,8.179750877416653e-05
