label,time,step,c0,kind,h,kappa,dt,compacton_speed,max_ahead_HP_over_h2,best_fit_relL2,best_fit_corr,best_fit_A_over_h2,best_fit_center_ahead
c0_equal_c,1.2,1200,1.0,abs,0.02,20.0,0.001,0.0,0.0006015287911957045,,,,
c0_equal_c,1.22,1220,1.0,abs,0.02,20.0,0.001,0.0,0.0005157168696042602,,,,
c0_equal_c,1.24,1240,1.0,abs,0.02,20.0,0.001,0.0,0.00047259937628408026,,,,
c0_equal_c,1.26,1260,1.0,abs,0.02,20.0,0.001,0.0,0.0005665565888845356,,,,
c0_equal_c,1.28,1280,1.0,abs,0.02,20.0,0.001,0.0,0.000528496185668517,,,,
c0_equal_c,1.3,1300,1.0,abs,0.02,20.0,0.001,0.0,0.0006340282924050533,,,,
c0_equal_c,1.32,1320,1.0,abs,0.02,20.0,0.001,0.0,0.0003887878649700214,,,,
c0_equal_c,1.34,1340,1.0,abs,0.02,20.0,0.001,0.0,0.00040242309883526306,,,,
c0_equal_c,1.36,1360,1.0,abs,0.02,20.0,0.001,0.0,0.000791872303453912,,,,
c0_equal_c,1.3800000000000001,1380,1.0,abs,0.02,20.0,0.001,0.0,0.000386546688014913,,,,
c0_equal_c,1.4000000000000001,1400,1.0,abs,0.02,20.0,0.001,0.0,0.00042546953947970027,,,,
c0_equal_c,1.42,1420,1.0,abs,0.02,20.0,0.001,0.0,0.00039090047615128584,,,,
c0_equal_c,1.44,1440,1.0,abs,0.02,20.0,0.001,0.0,0.0004765218788972227,,,,
c0_equal_c,1.46,1460,1.0,abs,0.02,20.0,0.001,0.0,0.000426137825639471,,,,
c0_equal_c,1.48,1480,1.0,abs,0.02,20.0,0.001,0.0,0.0004409225807559267,,,,
c0_equal_c,1.5,1500,1.0,abs,0.02,20.0,0.001,0.0,0.0004775333176605948,,,,
c0_equal_c,1.52,1520,1.0,abs,0.02,20.0,0.001,0.0,0.0006899994295629315,,,,
c0_equal_c,1.54,1540,1.0,abs,0.02,20.0,0.001,0.0,0.0007056769449940322,,,,
c0_equal_c,1.56,1560,1.0,abs,0.02,20.0,0.001,0.0,0.0005095892030919537,,,,
c0_equal_c,1.58,1580,1.0,abs,0.02,20.0,0.001,0.0,0.000522641490560426,,,,
c0_equal_c,1.6,1600,1.0,abs,0.02,20.0,0.001,0.0,0.0005620098240508865,,,,
c0_equal_c,1.62,1620,1.0,abs,0.02,20.0,0.001,0.0,0.0003508888779470797,,,,
c0_equal_c,1.6400000000000001,1640,1.0,abs,0.02,20.0,0.001,0.0,0.0003540165124993342,,,,
c0_equal_c,1.6600000000000001,1660,1.0,abs,0.02,20.0,0.001,0.0,0.0008246291382978772,,,,
c0_equal_c,1.68,1680,1.0,abs,0.02,20.0,0.001,0.0,0.0003807679005746421,,,,
c0_equal_c,1.7,1700,1.0,abs,0.02,20.0,0.001,0.0,0.000725778653836135,,,,
c0_equal_c,1.72,1720,1.0,abs,0.02,20.0,0.001,0.0,0.0005276102273152859,,,,
c0_equal_c,1.74,1740,1.0,abs,0.02,20.0,0.001,0.0,0.00033260785877625704,,,,
c0_equal_c,1.76,1760,1.0,abs,0.02,20.0,0.001,0.0,0.0005579557455373734,,,,
c0_equal_c,1.78,1780,1.0,abs,0.02,20.0,0.001,0.0,0.0005810987674400659,,,,
c0_equal_c,1.8,1800,1.0,abs,0.02,20.0,0.001,0.0,0.0005192329649176756,,,,
c0_equal_c,1.82,1820,1.0,abs,0.02,20.0,0.001,0.0,0.0005848298450431379,,,,
c0_equal_c,1.84,1840,1.0,abs,0.02,20.0,0.001,0.0,0.00047857203657551846,,,,
