j,coord_from_edge_cells,v_real,v_imag,demod_v_real,demod_v_imag,hp_abs,demod_hp_real
694,-20.25,0.00866183146751109,0.0,0.00866183146751109,0.0,0.00026727801123501045,0.00026727801123501045
695,-19.25,0.005793408112475107,0.0,-0.005793408112475107,0.0,0.00045695322645410445,-0.00045695322645410445
696,-18.25,0.001097171851622706,0.0,0.001097171851622706,0.0,0.00015761473860389,0.00015761473860389
697,-17.25,-0.004229523363645255,0.0,0.004229523363645255,-0.0,0.0002575957264233206,-0.0002575957264233206
698,-16.25,-0.010586601484606498,0.0,-0.010586601484606498,0.0,0.0002619811040567065,-0.0002619811040567065
699,-15.25,-0.015895755189340915,0.0,0.015895755189340915,-0.0,0.00026142327308174493,0.00026142327308174493
700,-14.25,-0.020159215801748353,0.0,-0.020159215801748353,0.0,0.0009982318550403385,-0.0009982318550403385
701,-13.25,-0.020429748993994436,0.0,0.020429748993994436,-0.0,0.0009387118121581984,0.0009387118121581984
702,-12.25,-0.016945434937607726,0.0,-0.016945434937607726,0.0,0.0016627456928116448,-0.0016627456928116448
703,-11.25,-0.006810138109974437,0.0,0.006810138109974437,-0.0,0.0010215536196824307,0.0010215536196824307
704,-10.25,0.007411373196388575,0.0,0.007411373196388575,0.0,0.0011300975078472244,-0.0011300975078472244
705,-9.25,0.026153274534140486,0.0,-0.026153274534140486,0.0,0.0010466596848353795,-0.0010466596848353795
706,-8.25,0.040708537132550876,0.0,0.040708537132550876,0.0,0.0021885166389086688,0.0021885166389086688
707,-7.25,0.04650973317532659,0.0,-0.04650973317532659,0.0,0.006325742542184998,-0.006325742542184998
708,-6.25,0.027007959049362314,0.0,0.027007959049362314,0.0,0.0065962395618375785,0.0065962395618375785
709,-5.25,-0.018878773323952276,0.0,0.018878773323952276,-0.0,0.007084415339624325,-0.007084415339624325
710,-4.25,-0.09310316705576417,0.0,-0.09310316705576417,0.0,0.010315884334091432,-0.010315884334091432
711,-3.25,-0.12606402345121034,0.0,0.12606402345121034,-0.0,0.03891946802309872,0.03891946802309872
712,-2.25,-0.003347007754261638,0.0,-0.003347007754261638,0.0,0.09613583409758769,-0.09613583409758769
713,-1.25,0.5039133443330378,0.0,-0.5039133443330378,0.0,0.40125552164153055,-0.40125552164153055
714,-0.25,-0.5938483901457849,0.0,-0.5938483901457849,0.0,0.5109001797242313,-0.5109001797242313
715,0.75,0.3519905942723172,0.0,-0.3519905942723172,0.0,0.3646663959611396,-0.3646663959611396
716,1.75,-0.16083600515413912,0.0,-0.16083600515413912,0.0,0.18604311001317755,-0.18604311001317755
717,2.75,0.07050983547211473,0.0,-0.07050983547211473,0.0,0.0831072219253661,-0.0831072219253661
718,3.75,-0.030573211603095764,0.0,-0.030573211603095764,0.0,0.03621481320514823,-0.03621481320514823
719,4.75,0.013202994142286636,0.0,-0.013202994142286636,0.0,0.015667823170168647,-0.015667823170168647
720,5.75,-0.005692092793005554,0.0,-0.005692092793005554,0.0,0.006759848077188113,-0.006759848077188113
721,6.75,0.0024522125804547095,0.0,-0.0024522125804547095,0.0,0.002913157054171805,-0.002913157054171805
722,7.75,-0.0010561102627722467,0.0,-0.0010561102627722467,0.0,0.0012548034691461328,-0.0012548034691461328
723,8.75,0.00045478077058532803,0.0,-0.00045478077058532803,0.0,0.0005403743424836311,-0.0005403743424836311
724,9.75,-0.00019582556599162163,0.0,-0.00019582556599162163,0.0,0.0002326876847143156,-0.0002326876847143156
725,10.75,8.431883628869116e-05,0.0,-8.431883628869116e-05,0.0,0.00010019217073511522,-0.00010019217073511522
726,11.75,-3.6305444371456955e-05,0.0,-3.6305444371456955e-05,0.0,4.314037173175053e-05,-4.314037173175053e-05
727,12.75,1.563176189539705e-05,0.0,-1.563176189539705e-05,0.0,1.8574759857468097e-05,-1.8574759857468097e-05
728,13.75,-6.730071267621337e-06,0.0,-6.730071267621337e-06,0.0,7.997260420871145e-06,-7.997260420871145e-06
729,14.75,2.897137252844856e-06,0.0,-2.897137252844856e-06,0.0,3.4427567940127322e-06,-3.4427567940127322e-06
730,15.75,-1.2466814027398798e-06,0.0,-1.2466814027398798e-06,0.0,1.4816091845351044e-06,-1.4816091845351044e-06
731,16.75,5.359366798158019e-07,0.0,-5.359366798158019e-07,0.0,6.370876256674251e-07,-6.370876256674251e-07
732,17.75,-2.2979574029821702e-07,0.0,-2.2979574029821702e-07,0.0,2.7334518008374025e-07,-2.7334518008374025e-07
733,18.75,9.785255992272528e-08,0.0,-9.785255992272528e-08,0.0,1.1659971792063261e-07,-1.1659971792063261e-07
734,19.75,-4.0898011538862866e-08,0.0,-4.0898011538862866e-08,0.0,4.896541994550513e-08,-4.896541994550513e-08
