label,time,step,c0,kind,h,kappa,dt,compacton_speed,max_ahead_HP_over_h2,best_fit_relL2,best_fit_corr,best_fit_A_over_h2,best_fit_center_ahead
kappa20p5,0.0,0,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0,,,,
kappa20p5,0.01951219512195122,20,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0007409386382216274,,,,
kappa20p5,0.03902439024390244,40,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0007659706039510409,,,,
kappa20p5,0.058536585365853655,60,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0009494669128605452,,,,
kappa20p5,0.07804878048780488,80,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0011536947082498388,,,,
kappa20p5,0.0975609756097561,100,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0013598990174555749,,,,
kappa20p5,0.11707317073170731,120,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0013553771852116982,,,,
kappa20p5,0.13658536585365855,140,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0017545354629156127,,,,
kappa20p5,0.15609756097560976,160,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0024051184637731687,,,,
kappa20p5,0.17560975609756097,180,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.002264160213376026,,,,
kappa20p5,0.1951219512195122,200,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0013897399305694206,,,,
kappa20p5,0.2146341463414634,220,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.002362691486033097,,,,
kappa20p5,0.23414634146341462,240,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0025549082029910964,,,,
kappa20p5,0.25365853658536586,260,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0012605726664652807,,,,
kappa20p5,0.2731707317073171,280,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.005065476120777526,0.6792751433481466,0.7338836962553091,0.003744531516991919,3.3976253352578976
kappa20p5,0.2926829268292683,300,0.0,abs,0.02,20.5,0.000975609756097561,1.0,0.0041025887279353855,0.7349007745075233,0.6781746468486142,0.0029044741693900387,3.3730981113798872
