ratio,epsilon,cell,time,hp_ahead_max,hp_edge
0.8,0.1527776,0,0.0,0.002273092064814973,0.0022727890541617713
0.8,0.1527776,5,0.1,0.0009843998867984799,0.000982812699129085
0.8,0.1527776,10,0.2,0.0016966590836354387,0.0016723997849903123
0.8,0.1527776,15,0.3,0.0017285299950938681,0.0017737074517931962
0.8,0.1527776,20,0.4,0.0009763228526410511,0.0008654363327368893
0.8,0.1527776,25,0.5,0.0019121374518131157,0.0011232614006120747
0.8,0.1527776,30,0.6,0.0012075535661076314,0.0016939350879886055
0.8,0.1527776,35,0.7000000000000001,0.0006981211040573822,0.00029927463992441736
0.8,0.1527776,40,0.8,0.001492677688021547,0.00046667227304043884
0.8,0.1527776,45,0.9,0.0018886606419317791,0.0024537518971513013
0.8,0.1527776,50,1.0,0.0008479573789541021,0.0003594728988949033
0.8,0.1527776,55,1.1,0.0017488998215867456,0.0002913729627066799
0.8,0.1527776,60,1.2,0.001688260122535362,0.0026283248911017397
0.8,0.1527776,65,1.3,0.0007187900945458629,0.00037651896333785735
0.8,0.1527776,70,1.4000000000000001,0.0016985777558860217,0.0011106618944805341
0.8,0.1527776,75,1.5,0.0016501747844963547,0.0022907430917569983
0.8,0.1527776,80,1.6,0.0013729369142006947,0.0010539997667254719
0.8,0.1527776,85,1.7,0.00249904481421991,0.0013701446061099955
0.8,0.1527776,90,1.8,0.0015332157732539334,0.003190166761369007
0.8,0.1527776,95,1.9000000000000001,0.000990430777672593,0.0011845768645678896
0.8,0.1527776,100,2.0,0.0027390862696989224,0.001958154518037676
0.8,0.1527776,105,2.1,0.0017163650089660116,0.0022791515104206967
0.8,0.1527776,110,2.2,0.000954808287300146,0.001198622092902322
0.8,0.1527776,115,2.3000000000000003,0.004204752596365243,0.0030760956339929875
0.8,0.1527776,120,2.4,0.0016197741095947578,0.002541575700506051
0.8,0.1527776,125,2.5,0.0016724701010517695,0.002166929584944998
0.8,0.1527776,130,2.6,0.004330889728992566,0.003995404011616732
0.8,0.1527776,135,2.7,0.0015284962854114432,0.0019578370293316816
0.8,0.1527776,140,2.8000000000000003,0.0018247478879393796,0.0014914101410552537
0.8,0.1527776,145,2.9,0.005310921164610822,0.004934327484395033
0.8,0.1527776,150,3.0,0.0023501421330883827,0.001023013035216684
0.8,0.1527776,155,3.1,0.0028382951171315217,0.0018889502048227058
0.8,0.1527776,160,3.2,0.005734994634040533,0.006814616678183249
0.8,0.1527776,165,3.3000000000000003,0.002855821405533064,0.0004891000076850064
0.8,0.1527776,170,3.4,0.003372658219225092,0.0011302900642937408
0.8,0.1527776,175,3.5,0.006278987465248803,0.007286883917287921
0.8,0.1527776,180,3.6,0.004373127644761681,0.0016153474759426866
0.8,0.1527776,185,3.7,0.004826462853399098,0.0008104714168353224
0.8,0.1527776,190,3.8000000000000003,0.00620289243510566,0.008851250818761872
0.8,0.1527776,195,3.9,0.005216436911533159,0.0035471613352436424
0.8,0.1527776,200,4.0,0.006384280402843809,0.0017948925066248263
0.8,0.1527776,205,4.1,0.006200888216234896,0.009037307988484412
0.8,0.1527776,210,4.2,0.005843095969153637,0.004816308076390041
0.8,0.1527776,215,4.3,0.009335477079128336,0.003982459991661554
0.8,0.1527776,220,4.4,0.006022285117668395,0.009082523902219442
0.8,0.1527776,225,4.5,0.005985214817324082,0.00714985441681367
0.8,0.1527776,230,4.6000000000000005,0.011607846903540182,0.0067790404122803904
0.8,0.1527776,235,4.7,0.005725824436661066,0.008140895511123198
0.8,0.1527776,240,4.8,0.006255917603727105,0.008129934436743461
0.8,0.1527776,245,4.9,0.01420006461099342,0.009395564298713268
0.8,0.1527776,250,5.0,0.005544004444378309,0.006307656774407174
0.8,0.1527776,255,5.1000000000000005,0.005851540318503268,0.009018143577990715
0.8,0.1527776,260,5.2,0.016088539653015026,0.013246483681181705
0.8,0.1527776,265,5.3,0.006584639681764017,0.003102106674755615
0.8,0.1527776,270,5.4,0.006159298056367762,0.008678612781329908
0.8,0.1527776,275,5.5,0.017459685613165046,0.015620380572446536
0.8,0.1527776,280,5.6000000000000005,0.010584491649273622,0.002086181909375233
0.8,0.1527776,285,5.7,0.008035118237929715,0.00719588829926988
0.8,0.1527776,290,5.8,0.017218126917568508,0.01842975140986421
0.8,0.1527776,295,5.9,0.013794743900369659,0.005843469041292715
0.8,0.1527776,300,6.0,0.008976843554180805,0.004375527482121128
