c0,v_fit,A_over_h2_median,profile_relL2_median
0.0,2.065493983804274,0.1000020580109588,8.179750809901229e-05
0.05,2.2853803163056843,0.10056074513987939,0.02648519269492805
0.1,2.5053177554804047,0.1009301303587069,0.05142527339660605
0.2,2.945509711412301,0.1011939260887121,0.09758476821715895
0.5,4.270487077623152,0.0992960262817634,0.21407211862748565
