epsilon,epsilon_over_eps_c,rho_F,spectral_residual,edge_fraction,max_highpass_ahead,onset_cell_0p002,onset_cell_0p005,onset_cell_0p01
0.095486,0.4998751749289126,1.046049426399073,2.1098327224532682e-14,0.9996132203731452,0.0673900667199069,0.0,44.0,60.0
0.1527776,0.7998002798862602,1.0126238703989574,3.509020672791395e-14,0.999593438619151,0.0196033032624048,0.0,145.0,216.0
0.1718748,0.8997753148720427,1.006340283340515,2.8249980531392543e-14,0.9995792916498007,0.0050927332390392,71.0,287.0,
0.1814234,0.949762832364934,1.0031820035864696,2.1262458253750415e-14,0.999572888600896,0.007149105722709,264.0,615.0,
0.190972,0.9997503498578252,1.0000158293068344,2.0501567801030343e-14,0.9995669226021964,0.0017457458154568,,,
0.2005206,1.0497378673507165,0.9968435564053628,1.8677292332962232e-14,0.999561389721614,0.0016630777342245,,,
0.2291664,1.1997004198293904,0.9876019081418352,2.0976958398796035e-14,0.9995265793227576,0.0015728867842109,,,
