label,time,step,c0,kind,h,kappa,dt,compacton_speed,max_ahead_HP_over_h2,best_fit_relL2,best_fit_corr,best_fit_A_over_h2,best_fit_center_ahead
c0_half,0.0,0,0.5,abs,0.02,20.0,0.001,0.5,0.0,,,,
c0_half,0.02,20,0.5,abs,0.02,20.0,0.001,0.5,0.002258515201990255,,,,
c0_half,0.04,40,0.5,abs,0.02,20.0,0.001,0.5,0.0010418813828412265,,,,
c0_half,0.06,60,0.5,abs,0.02,20.0,0.001,0.5,0.002621023304891117,,,,
c0_half,0.08,80,0.5,abs,0.02,20.0,0.001,0.5,0.002074188769846925,,,,
c0_half,0.1,100,0.5,abs,0.02,20.0,0.001,0.5,0.00237099599657906,,,,
c0_half,0.12,120,0.5,abs,0.02,20.0,0.001,0.5,0.0014936463138548036,,,,
c0_half,0.14,140,0.5,abs,0.02,20.0,0.001,0.5,0.0024298140080926144,,,,
c0_half,0.16,160,0.5,abs,0.02,20.0,0.001,0.5,0.0013776307721739087,,,,
c0_half,0.18,180,0.5,abs,0.02,20.0,0.001,0.5,0.0023793724161945444,,,,
c0_half,0.2,200,0.5,abs,0.02,20.0,0.001,0.5,0.00126662340393175,,,,
c0_half,0.22,220,0.5,abs,0.02,20.0,0.001,0.5,0.0031623869706738582,0.5753372437355341,0.8179162890973615,0.002270812229560295,3.43154208229827
c0_half,0.24,240,0.5,abs,0.02,20.0,0.001,0.5,0.001187824069537221,,,,
c0_half,0.26,260,0.5,abs,0.02,20.0,0.001,0.5,0.0043037813310769935,0.5981162933700458,0.8014093208874458,0.0029135358128705184,3.4397018062743285
c0_half,0.28,280,0.5,abs,0.02,20.0,0.001,0.5,0.002647344259481988,,,,
c0_half,0.3,300,0.5,abs,0.02,20.0,0.001,0.5,0.006442463120856839,0.6528459990445498,0.7574906610193447,0.0040581575868254265,3.4429615093283434
c0_half,0.32,320,0.5,abs,0.02,20.0,0.001,0.5,0.004142167747684671,0.7352104593976304,0.6778389044546833,0.002620956284737561,3.4010421815367167
c0_half,0.34,340,0.5,abs,0.02,20.0,0.001,0.5,0.007892852923737355,0.6359454933409874,0.7717339758616877,0.005428797207206936,3.4359334442914715
c0_half,0.36,360,0.5,abs,0.02,20.0,0.001,0.5,0.003437223274551333,0.8235055596927829,0.5673081994428397,0.002058096850288944,3.3768173840531173
c0_half,0.38,380,0.5,abs,0.02,20.0,0.001,0.5,0.006613167309405321,0.4742688703930182,0.8803800534860671,0.005202946168577557,3.4286486008910995
c0_half,0.4,400,0.5,abs,0.02,20.0,0.001,0.5,0.001478159821970925,,,,
c0_half,0.42,420,0.5,abs,0.02,20.0,0.001,0.5,0.004973599110649344,0.5989397565442476,0.8007940859114268,0.0034585980216736527,3.4338196196105137
c0_half,0.44,440,0.5,abs,0.02,20.0,0.001,0.5,0.0019279165058824499,,,,
c0_half,0.46,460,0.5,abs,0.02,20.0,0.001,0.5,0.005563047098772897,0.6783060724409709,0.7347794717394491,0.003758395261060748,3.4362620492320186
c0_half,0.48,480,0.5,abs,0.02,20.0,0.001,0.5,0.0026204643354469648,,,,
c0_half,0.5,500,0.5,abs,0.02,20.0,0.001,0.5,0.007568809312404682,0.6342074865400356,0.7731628961716739,0.00508571654841278,3.428180566222901
c0_half,0.52,520,0.5,abs,0.02,20.0,0.001,0.5,0.003699580124258438,0.8910532609802808,0.4538987619463262,0.0017427116463047299,3.4686479395478713
c0_half,0.54,540,0.5,abs,0.02,20.0,0.001,0.5,0.007405390539078307,0.586218965518574,0.8101526550387481,0.005286563508184323,3.422698684530678
c0_half,0.56,560,0.5,abs,0.02,20.0,0.001,0.5,0.004626145590231955,0.8056543790954324,0.5923858720836892,0.0024772356840801167,3.457692633897082
c0_half,0.58,580,0.5,abs,0.02,20.0,0.001,0.5,0.007466261820365144,0.6493757254005489,0.7604677292696324,0.004935758841226015,3.421281742159209
c0_half,0.6,600,0.5,abs,0.02,20.0,0.001,0.5,0.005390420282090882,0.8013124675732488,0.5982460441253845,0.0028746513212920596,3.4572410334303516
c0_half,0.62,620,0.5,abs,0.02,20.0,0.001,0.5,0.0077850061943576555,0.6379332150698749,0.7700916913657833,0.005121669582464394,3.4214551727226965
c0_half,0.64,640,0.5,abs,0.02,20.0,0.001,0.5,0.004735632969238059,0.7885436050271553,0.6149788475799619,0.0027401696051793972,3.454346478341156
