label,alpha,alpha_c,t_end,max_forward_HP,max_edge_HP,final_q,max_abs_q,final_unstable_subspace_norm,max_unstable_subspace_norm
h001_rank1_0.8crit,0.0434482868571,0.0543103585713276,6.5,0.0016949714885918,0.0357404466287897,0.0019964478197353,0.0081645846552526,,
h001_rank1_crit,0.0543103585713,0.0543103585713276,6.5,0.0027550143546954,0.0440701746340438,-0.0015931548578954,0.0084396876857866,,
h001_rank1_1.2crit,0.0651724302856,0.0543103585713276,6.5,0.0027676002781477,0.0438812632112025,-0.0006028240800192,0.008283208061711,,
h001_rank1_full,1.0,0.0543103585713276,6.5,0.0031252415014895,0.0518503530380003,7.1303238487197e-11,0.0023777282942242,,
h002_rank1_1.2crit,0.13894216412,0.1157851368383894,5.0,0.0842433925830357,0.0945961840908164,-0.0492150704315922,0.0494850492478711,,
h002_rank1_full,1.0,0.1157851368383894,5.0,0.2436302999991539,0.2548805952447658,-3.468478108892281e-12,0.0010285545804928,,
h002_rank3_baseline,0.0,0.1157851367663633,5.0,0.1466060553969335,0.1777630257662139,,,0.2913497889103559,0.5761992476748141
h002_rank3_1.2crit,0.13894216412,0.1157851367663633,5.0,0.0024687322133178,0.0114041748392152,,,0.0010990926395326,0.0041185427942041
h002_rank3_full,1.0,0.1157851367663633,5.0,0.0024635896030672,0.0115102719117046,,,7.873745471854448e-12,0.0041185427942041
