case,epsilon_c,baseline_forward_HP,tiny_epsilon_forward_HP,critical_forward_HP,suppression_at_critical,supercritical_forward_HP,critical_max_relative_peak_change,critical_max_relative_l2sq_change,critical_mass_drift,critical_end_profile_relL2
h001_k5,0.36874942077677353,0.1165625579656838,0.1047506290165853,0.0001463725294087,796.3417619177633,0.0001379619302065,7.37789163096636e-10,1.097800677927904e-09,1.0813885919800782e-14,1.582685591874055e-07
h002_k20,0.19097228055038235,0.1308718047049271,0.1923899948392922,0.0001033948815199,1265.7474217400088,0.0001028164110585,4.396106811910272e-09,8.427511286697138e-09,1.4842588549422181e-15,1.1394751446687033e-07
