case,regime,epsilon,t_end,max_forward_HP_over_h2,suppression_factor_vs_baseline,end_profile_relL2,max_profile_relL2,max_relative_peak_change,max_relative_l2sq_change,max_relative_mass_change
h001_k5,baseline,0.0,6.5,0.1165625579656838,1.0,1.70716230350208e-06,1.7275513639393672e-06,1.794034254487542e-09,8.978239384418219e-11,8.905553110424173e-15
h001_k5,tiny,1e-05,6.5,0.1047506290165853,1.1127623677298233,1.5869355227831282e-06,1.6139752999005394e-06,1.927774773147206e-09,8.982119661129605e-11,1.4206477580914752e-14
h001_k5,critical,0.36866,6.5,0.0001463725294087,796.3417619177633,1.582685591874055e-07,1.582685591874055e-07,7.37789163096636e-10,1.097800677927904e-09,1.0813885919800782e-14
h001_k5,supercritical,0.45,6.5,0.0001379619302065,844.8892951208653,1.582580565921188e-07,1.582580565921188e-07,8.869610046424725e-10,1.3353164441344062e-09,8.269442173965304e-15
h002_k20,baseline,0.0,6.0,0.1308718047049271,1.0,1.579140892156313e-05,1.6311879637771013e-05,6.59478586739759e-08,7.853226304709502e-10,3.816665626994276e-15
h002_k20,tiny,1e-05,6.0,0.1923899948392922,0.6802422590335185,1.6263007740687347e-05,1.6813988624996514e-05,6.79208626008787e-08,7.856160896495598e-10,2.9685177098844362e-15
h002_k20,critical,0.191,6.0,0.0001033948815199,1265.7474217400088,1.1394751446687033e-07,1.594302706625972e-07,4.396106811910272e-09,8.427511286697138e-09,1.4842588549422181e-15
h002_k20,supercritical,0.23,6.0,0.0001028164110585,1272.8688286003708,1.1835336569486675e-07,1.502421193478041e-07,5.23114151995685e-09,1.0090059099233882e-08,1.6962958342196779e-15
