label,beta,max_forward_HP,max_abs_q,final_abs_q
removed,0.0,0.1233764197068577,0.139882954197187,0.036363080708815
baseline,1.0,0.1165636225825115,0.160130174487469,0.0592544246925586
amplified,4.0,0.1230643807260319,0.1391313210360917,0.0459870390590875
