case,h,kappa,epsilon_c,epsilon_uncertainty,effective_continuum_coefficient,nyquist_damping_per_cell,baseline_rho,critical_branch,fit_R2
h001_k5,0.01,5,0.36874942077677353,0.0012500000000000011,3.6874942077677352e-09,0.44249930493212825,1.057429368,real negative,0.999938945408849
h002_k20,0.02,20,0.19097228055038235,0.0012500000000000011,3.055556488806118e-08,0.4583334733209176,1.130946834,complex conjugate,0.9999821639555149
