source_method,source_label,t,template_method,template_label,A_over_h2,profile_relL2,correlation
ismail,Ismail--Taha,6.0,ismail,Ismail--Taha,0.6525449219375389,0.00011586708548182291,0.9999999932874092
ismail,Ismail--Taha,6.0,defrutos,de Frutos,0.4623081261847765,0.3754004244384319,0.9268627305763488
ismail,Ismail--Taha,6.0,pade6,Pade-6,0.3650458563690716,0.531163503643571,0.8472693387566236
ismail,Ismail--Taha,6.0,pade8,Pade-8,0.41841752013454064,0.44753969430434654,0.8942640672765355
pade8,Pade-8,20.0,ismail,Ismail--Taha,0.1834556438857467,0.44791408668648947,0.8940766023936697
pade8,Pade-8,20.0,defrutos,de Frutos,0.15621936927675648,0.08900784219632048,0.9960309252365385
pade8,Pade-8,20.0,pade6,Pade-6,0.13458643768334008,0.11459726861722323,0.9934120323538831
pade8,Pade-8,20.0,pade8,Pade-8,0.1471261951226781,0.00034782132306932146,0.9999999395101616
