n_fit,A,A_over_h2,profile_relL2,correlation,center_index,method,label,packet,t,window_half_cells
42.56619283252212,0.00026101778565872124,0.6525444641468031,0.00011090116108744425,0.9999999938504661,1346.8161928325221,ismail,Ismail--Taha,I,4.8,3
44.72485529427263,0.00026101786738021637,0.6525446684505409,0.000113217846275041,0.9999999935908596,1351.4748552942726,ismail,Ismail--Taha,I,4.8500000000000005,3
46.883528645889555,0.00026101793166355414,0.6525448291588853,0.00011471208175253907,0.9999999934205693,1356.1335286458896,ismail,Ismail--Taha,I,4.9,3
49.0422010525258,0.0002610179305287146,0.6525448263217865,0.00011453372054092247,0.9999999934410136,1360.7922010525258,ismail,Ismail--Taha,I,4.95,3
51.20086759599053,0.00026101787222431155,0.6525446805607789,0.00011344009699500034,0.9999999935656722,1365.4508675959905,ismail,Ismail--Taha,I,5.0,3
53.35954080229112,0.0002610179409957569,0.6525448524893922,0.00011473683595553148,0.9999999934177292,1370.1095408022911,ismail,Ismail--Taha,I,5.05,3
55.51821324231105,0.0002610179256078969,0.6525448140197423,0.00011447503309978957,0.9999999934477335,1374.768213242311,ismail,Ismail--Taha,I,5.1000000000000005,3
57.676879890293094,0.0002610178865723355,0.6525447164308388,0.00011358104518159971,0.9999999935496732,1379.426879890293,ismail,Ismail--Taha,I,5.15,3
59.83555301295405,0.0002610179356777078,0.6525448391942694,0.00011477096048399022,0.9999999934138134,1384.085553012954,ismail,Ismail--Taha,I,5.2,3
61.994225474844825,0.00026101792325557296,0.6525448081389323,0.00011438877962057982,0.9999999934576035,1388.7442254748448,ismail,Ismail--Taha,I,5.25,3
64.15289222301317,0.0002610178962722612,0.652544740680653,0.00011371901669089029,0.9999999935339925,1393.4028922230132,ismail,Ismail--Taha,I,5.3,3
66.31156517830527,0.00026101794966473194,0.6525448741618298,0.00011477123118186878,0.9999999934137822,1398.0615651783053,ismail,Ismail--Taha,I,5.3500000000000005,3
68.47023765191693,0.00026101791775213796,0.6525447943803449,0.00011430925767097461,0.9999999934666969,1402.720237651917,ismail,Ismail--Taha,I,5.4,3
70.62890450119198,0.00026101789491425126,0.6525447372856281,0.00011386488525879102,0.9999999935173938,1407.378904501192,ismail,Ismail--Taha,I,5.45,3
72.78758364383157,0.0002610179434352784,0.652544858588196,0.00011484859691946988,0.9999999934049,1412.0375836438316,ismail,Ismail--Taha,I,5.5,3
74.94624989009912,0.000261017908545534,0.6525447713638349,0.00011422145666775385,0.9999999934767295,1416.6962498900991,ismail,Ismail--Taha,I,5.55,3
77.10491678319454,0.0002610179028132155,0.6525447570330387,0.00011397276355474473,0.9999999935051046,1421.3549167831945,ismail,Ismail--Taha,I,5.6000000000000005,3
79.26358431174526,0.0002610179375458593,0.6525448438646483,0.00011484294871870328,0.9999999934055487,1426.0135843117453,ismail,Ismail--Taha,I,5.65,3
81.4222621702072,0.00026101791224707584,0.6525447806176896,0.00011409152792104073,0.9999999934915614,1430.6722621702072,ismail,Ismail--Taha,I,5.7,3
83.58092904069667,0.0002610179102434236,0.652544775608559,0.00011408625036648593,0.9999999934921637,1435.3309290406967,ismail,Ismail--Taha,I,5.75,3
85.73960582104996,0.0002610179415935852,0.652544853983963,0.00011483522564395878,0.9999999934064354,1439.98960582105,ismail,Ismail--Taha,I,5.8,3
87.89827439204191,0.0002610178982002521,0.6525447455006301,0.00011402047536490482,0.9999999934996656,1444.648274392042,ismail,Ismail--Taha,I,5.8500000000000005,3
90.05694130867346,0.000261017908444521,0.6525447711113025,0.00011420321645745006,0.9999999934788129,1449.3069413086735,ismail,Ismail--Taha,I,5.9,3
92.21560582824645,0.00026101793934792816,0.6525448483698204,0.00011490313622750091,0.9999999933986347,1453.9656058282465,ismail,Ismail--Taha,I,5.95,3
94.37428668303983,0.0002610178959536834,0.6525447398842085,0.0001138782377343621,0.9999999935158737,1458.6242866830398,ismail,Ismail--Taha,I,6.0,3
96.53295352979126,0.00026101791922321734,0.6525447980580433,0.00011428762589258654,0.9999999934691693,1463.2829535297913,ismail,Ismail--Taha,I,6.05,3
98.69162603674567,0.00026101793492568857,0.6525448373142214,0.00011480335833666197,0.9999999934100947,1467.9416260367457,ismail,Ismail--Taha,I,6.1000000000000005,3
100.85029894609465,0.00026101788887699024,0.6525447221924756,0.00011376653889464612,0.9999999935285874,1472.6002989460947,ismail,Ismail--Taha,I,6.15,3
103.00896571565727,0.0002610179193407305,0.6525447983518262,0.00011438742186413044,0.9999999934577587,1477.2589657156573,ismail,Ismail--Taha,I,6.2,3
105.16763819875541,0.00026101793495433704,0.6525448373858426,0.000114787125766115,0.9999999934119579,1481.9176381987554,ismail,Ismail--Taha,I,6.25,3
107.32631122805333,0.0002610178839404099,0.6525447098510248,0.00011360777305363376,0.9999999935466368,1486.5763112280533,ismail,Ismail--Taha,I,6.3,3
109.48497794372679,0.0002610179219612378,0.6525448049030945,0.00011445973686960282,0.9999999934494845,1491.2349779437268,ismail,Ismail--Taha,I,6.3500000000000005,3
111.6436503938503,0.0002610179437611753,0.6525448594029382,0.00011473383575145273,0.9999999934180734,1495.8936503938503,ismail,Ismail--Taha,I,6.4,3
113.80232357603109,0.0002610178731144634,0.6525446827861584,0.00011346162129176127,0.9999999935632301,1500.552323576031,ismail,Ismail--Taha,I,6.45,3
115.96099016771632,0.00026101792506699447,0.6525448126674861,0.00011453298152164988,0.999999993441098,1505.2109901677163,ismail,Ismail--Taha,I,6.5,3
118.11966257813924,0.0002610179369375547,0.6525448423438868,0.00011470742989742611,0.9999999934211029,1509.8696625781392,ismail,Ismail--Taha,I,6.55,3
120.27833591423837,0.00026101786603180925,0.6525446650795231,0.00011329896983451769,0.9999999935816717,1514.5283359142384,ismail,Ismail--Taha,I,6.6000000000000005,3
122.43700238662905,0.00026101793048355723,0.6525448262088931,0.00011458660375242306,0.9999999934349554,1519.187002386629,ismail,Ismail--Taha,I,6.65,3
124.59567477025598,0.0002610179305583359,0.6525448263958397,0.0001146709501100598,0.9999999934252864,1523.845674770256,ismail,Ismail--Taha,I,6.7,3
126.75434828485959,0.00026101785499281195,0.6525446374820298,0.00011312863121417612,0.9999999936009566,1528.5043482848596,ismail,Ismail--Taha,I,6.75,3
128.9130145554002,0.000261017935004899,0.6525448375122476,0.00011464748566023562,0.9999999934279771,1533.1630145554002,ismail,Ismail--Taha,I,6.8,3
131.0716869080561,0.0002610179263951564,0.6525448159878909,0.00011462005075139402,0.9999999934311219,1537.821686908056,ismail,Ismail--Taha,I,6.8500000000000005,3
133.2303533417612,0.00026101786969120593,0.6525446742280148,0.00011324395675443867,0.9999999935879029,1542.4803533417612,ismail,Ismail--Taha,I,6.9,3
135.38902675117424,0.0002610179454569254,0.6525448636423136,0.00011467839540306034,0.9999999934244327,1547.1390267511742,ismail,Ismail--Taha,I,6.95,3
137.5476991221758,0.0002610179282449693,0.6525448206124231,0.00011456209299319137,0.9999999934377635,1551.7976991221758,ismail,Ismail--Taha,I,7.0,3
139.70636568188706,0.0002610178723487435,0.6525446808718587,0.00011338478926797137,0.9999999935719449,1556.456365681887,ismail,Ismail--Taha,I,7.05,3
141.8650389488373,0.0002610179427633526,0.6525448569083815,0.00011471569901478349,0.9999999934201542,1561.1150389488373,ismail,Ismail--Taha,I,7.1000000000000005,3
144.02371133191446,0.0002610179247393997,0.6525448118484992,0.00011446882408950324,0.9999999934484441,1565.7737113319145,ismail,Ismail--Taha,I,7.15,3
146.1823779679421,0.0002610178822222617,0.6525447055556542,0.00011355289111372927,0.9999999935528705,1570.432377967942,ismail,Ismail--Taha,I,7.2,3
148.3410510976155,0.0002610179357584687,0.6525448393961717,0.00011475899839336088,0.9999999934151862,1575.0910510976155,ismail,Ismail--Taha,I,7.25,3
150.4997235266569,0.0002610179216664228,0.652544804166057,0.00011442095436232546,0.9999999934539228,1579.749723526657,ismail,Ismail--Taha,I,7.3,3
152.65839028743744,0.00026101788188821604,0.65254470472054,0.00011370946577425088,0.9999999935350786,1584.4083902874374,ismail,Ismail--Taha,I,7.3500000000000005,3
154.8170632468964,0.0002610179457906535,0.6525448644766336,0.00011476853484402574,0.9999999934140915,1589.0670632468964,ismail,Ismail--Taha,I,7.4,3
156.97573576698528,0.00026101792073784165,0.6525448018446041,0.00011431648220580492,0.999999993465871,1593.7257357669853,ismail,Ismail--Taha,I,7.45,3
159.13440258751984,0.00026101789336926496,0.6525447334231623,0.000113825813406203,0.9999999935218421,1598.3844025875198,ismail,Ismail--Taha,I,7.5,3
161.29308240991782,0.00026101793693031615,0.6525448423257904,0.00011487341844511582,0.999999993402049,1603.0430824099178,ismail,Ismail--Taha,I,7.55,3
163.45174799529536,0.0002610179148358969,0.6525447870897423,0.00011424299095721632,0.9999999934742697,1607.7017479952954,ismail,Ismail--Taha,I,7.6000000000000005,3
165.61041490097728,0.00026101789888117864,0.6525447472029465,0.00011396169037112984,0.9999999935063663,1612.3604149009773,ismail,Ismail--Taha,I,7.65,3
