method,label,h,V_h,FWHM_cells,profile_mass,profile_mass2,integral_identity_V,integral_identity_relative_error,profile_equation_relative_residual,iterations,tail_sigma
ismail,Ismail--Taha,0.01,2.857856644401725,3.18603515625,3.371148971507647,2.408625337505467,2.8578566444008193,3.168451086089513e-13,2.7479427916360723e-13,156,
defrutos,de Frutos,0.01,20.661532318067053,5.44921875,5.985737953654384,4.122552648442352,20.661532318073025,-2.8904495572390105e-13,2.515269898803522e-13,146,0.8426329481293768
pade6,Pade-6,0.01,40.751645298407226,7.294921875,8.134806882997884,5.525204831198504,40.751645298420456,-3.2465697134368637e-13,2.838389390303426e-13,149,0.5494219755942077
pade8,Pade-8,0.01,31.991427553400655,6.1962890625,6.8340588822796065,4.685017772027431,31.991427553411615,-3.4259558066937515e-13,2.9907180226662486e-13,192,0.7081421898172938
ismail,Ismail--Taha,0.02,2.8576467195960147,3.18603515625,3.3712430508753153,2.408696280951203,2.8576467195953406,2.3590299526167337e-13,2.7050900070725725e-13,156,
defrutos,de Frutos,0.02,20.66052165424319,5.44921875,5.985792431131683,4.122594644350502,20.660521654247407,-2.0411251987290002e-13,2.516204605868782e-13,146,0.8426329481293768
pade6,Pade-6,0.02,40.749639845829144,7.294921875,8.134849199991296,5.5252379341929885,40.749639845837244,-1.9877935653691974e-13,2.8386689530757696e-13,149,0.5494219755942077
pade8,Pade-8,0.02,31.990199534078563,6.1962890625,6.834106965085317,4.685054953005297,31.990199534085395,-2.135612938911338e-13,2.9945256152572863e-13,192,0.7081421898172938
