case,nfit,tmin,tmax,v_relative_fit,v_total_fit,A_norm_median,v_theory_from_A,relative_velocity_error
CFL5,13,6,18,1.1867032967032967,2.1867032967032967,0.10076821430935044,2.0820256845355023,0.05027681115814276
CFL20,16,20,35,1.1065588235294117,2.1065588235294115,0.09748262202672875,2.014041857000914,0.04593597010255955
