case,t,W,A_over_h2,relL2,corr,xfit,Vh
CFL5,5.0,10,0.033553190211765775,0.42312967890020936,0.9060691335840799,136.28933591960737,20.66153231806912
CFL5,5.0,14,0.03355465277862167,0.42311810156520524,0.9060745400505728,136.28933591960737,20.66153231806912
CFL5,5.0,20,0.033554654598117684,0.4231550474835502,0.9060572861520372,136.28933591960737,20.66153231806912
CFL5,5.0,30,0.03355465459823084,0.42385624266410127,0.9057294770264858,136.28933591960737,20.66153231806912
CFL5,6.0,10,0.10638791493238736,0.0014789316292067786,0.9999989063800202,138.43352445510945,20.66153231806912
CFL5,6.0,14,0.10638791569296621,0.001478953884289121,0.9999989063471064,138.43352445352613,20.66153231806912
CFL5,6.0,20,0.10638791569387311,0.0014789539109650407,0.9999989063470669,138.4335244535242,20.66153231806912
CFL5,6.0,30,0.10638791569387306,0.001478953911209563,0.9999989063470661,138.4335244535242,20.66153231806912
CFL5,7.0,10,0.10638791522872802,0.001478941029702495,0.9999989063661174,140.62027436864665,20.66153231806912
CFL5,7.0,14,0.10638791569333655,0.0014789542132586707,0.9999989063466196,140.62027436860376,20.66153231806912
CFL5,7.0,20,0.10638791569388883,0.001478954228981046,0.999998906346596,140.62027436860373,20.66153231806912
CFL5,7.0,30,0.10638791569388886,0.001478954228981678,0.9999989063465963,140.62027436860373,20.66153231806912
CFL5,8.0,10,0.10638791517246057,0.001478939765396906,0.9999989063679868,142.80702428383782,20.66153231806912
CFL5,8.0,14,0.10638791569327814,0.001478954840406252,0.999998906345692,142.8070242831523,20.66153231806912
CFL5,8.0,20,0.1063879156938977,0.0014789548584034765,0.9999989063456654,142.8070242831515,20.66153231806912
CFL5,8.0,30,0.1063879156938977,0.0014789548584041878,0.9999989063456654,142.8070242831515,20.66153231806912
CFL5,9.0,10,0.10638791495703706,0.0014789342586607373,0.9999989063761313,144.99377419865618,20.66153231806912
CFL5,9.0,14,0.10638791569299652,0.001478955810256284,0.9999989063442576,144.99377419710956,20.66153231806912
CFL5,9.0,20,0.10638791569387378,0.001478955836075143,0.9999989063442191,144.9937741971077,20.66153231806912
CFL5,9.0,30,0.10638791569387382,0.0014789558360761566,0.9999989063442191,144.9937741971077,20.66153231806912
CFL5,10.0,10,0.10638791522708514,0.0014789439779364368,0.9999989063617567,147.180524110413,20.66153231806912
CFL5,10.0,14,0.10638791569318401,0.0014789571848262222,0.9999989063422248,147.18052411041097,20.66153231806912
CFL5,10.0,20,0.1063879156937381,0.001478957200584179,0.9999989063422013,147.18052411041094,20.66153231806912
CFL5,10.0,30,0.10638791569373811,0.0014789572005848477,0.9999989063422011,147.18052411041094,20.66153231806912
CFL5,11.0,10,0.10638791518153042,0.0014789441791579368,0.9999989063614594,149.36727402364951,20.66153231806912
CFL5,11.0,14,0.1063879156928567,0.0014789589743170897,0.999998906339578,149.36727402299886,20.66153231806912
CFL5,11.0,20,0.10638791569346491,0.0014789589919801522,0.9999989063395518,149.36727402299806,20.66153231806912
CFL5,11.0,30,0.10638791569346494,0.0014789589919808341,0.9999989063395519,149.36727402299806,20.66153231806912
CFL5,12.0,10,0.10638791497959812,0.0014789403426105495,0.9999989063671335,151.55402393631206,20.66153231806912
CFL5,12.0,14,0.106387915692201,0.001478961227980545,0.9999989063362451,151.5540239348059,20.66153231806912
CFL5,12.0,20,0.10638791569305035,0.001478961252990195,0.9999989063362082,151.5540239348041,20.66153231806912
CFL5,12.0,30,0.10638791569305033,0.0014789612529911512,0.9999989063362077,151.5540239348041,20.66153231806912
CFL5,13.0,10,0.10638791522351565,0.0014789507607079143,0.9999989063517254,153.74077384572135,20.66153231806912
CFL5,13.0,14,0.10638791569193089,0.0014789640126676505,0.9999989063321266,153.7407738457624,20.66153231806912
CFL5,13.0,20,0.10638791569248778,0.0014789640284674226,0.9999989063321035,153.74077384576245,20.66153231806912
CFL5,13.0,30,0.10638791569248778,0.0014789640284680662,0.9999989063321033,153.74077384576245,20.66153231806912
CFL5,14.0,10,0.10638791518852286,0.0014789528076878718,0.9999989063486981,155.9275237564186,20.66153231806912
CFL5,14.0,14,0.10638791569124734,0.001478967348375125,0.9999989063271933,155.92752375580537,20.66153231806912
CFL5,14.0,20,0.10638791569184522,0.0014789673657366273,0.9999989063271675,155.92752375580463,20.66153231806912
CFL5,14.0,30,0.10638791569184523,0.0014789673657373153,0.9999989063271673,155.92752375580463,20.66153231806912
CFL5,15.0,10,0.10638791499985914,0.0014789510355001975,0.9999989063513189,158.11427366632424,20.66153231806912
CFL5,15.0,14,0.10638791569032414,0.0014789712916012273,0.9999989063213607,158.11427366486234,20.66153231806912
CFL5,15.0,20,0.10638791569114693,0.001478971315860213,0.9999989063213252,158.11427366486058,20.66153231806912
CFL5,15.0,30,0.10638791569114696,0.0014789713158611583,0.9999989063213253,158.11427366486058,20.66153231806912
CFL5,16.0,10,0.10638791521827277,0.0014789625997043026,0.9999989063342164,160.30102357277187,20.66153231806912
CFL5,16.0,14,0.10638791568983931,0.001478975918209423,0.9999989063145187,160.30102357285818,20.66153231806912
CFL5,16.0,20,0.10638791569039997,0.0014789759340891884,0.9999989063144956,160.3010235728583,20.66153231806912
CFL5,16.0,30,0.10638791569039989,0.0014789759340898272,0.9999989063144948,160.3010235728583,20.66153231806912
CFL5,17.0,10,0.10638791519404933,0.001478966951146865,0.9999989063277808,162.4877734802979,20.66153231806912
CFL5,17.0,14,0.10638791568904718,0.0014789812624460433,0.9999989063066144,162.48777347972475,20.66153231806912
CFL5,17.0,20,0.10638791568963586,0.0014789812795270455,0.9999989063065894,162.48777347972407,20.66153231806912
CFL5,17.0,30,0.10638791568963586,0.0014789812795277216,0.9999989063065892,162.48777347972407,20.66153231806912
CFL5,18.0,10,0.10638791501848507,0.0014789677302403934,0.9999989063266285,164.67452338679786,20.66153231806912
CFL5,18.0,14,0.10638791568798957,0.001478987393663892,0.9999989062975464,164.67452338538402,20.66153231806912
CFL5,18.0,20,0.10638791568878725,0.001478987417208614,0.9999989062975118,164.67452338538232,20.66153231806912
CFL5,18.0,30,0.1063879156887873,0.0014789874172095264,0.9999989062975118,164.67452338538232,20.66153231806912
CFL20,19.0,10,0.08676108368166217,0.8432194844815802,0.5375694382966892,150.26398516093514,20.660521654243198
CFL20,19.0,14,0.08677549950063124,0.865282993004521,0.5012836941464763,150.26399636565634,20.660521654243198
CFL20,19.0,20,0.08677688688814228,0.889782052865933,0.45638569039540006,150.2639975588636,20.660521654243198
CFL20,19.0,30,0.08677688720617059,0.8898218023541481,0.45630818539142576,150.26399755920477,20.660521654243198
CFL20,20.0,10,0.1032948591285769,0.0012355678086419764,0.9999992366858036,152.3917665918457,20.660521654243198
CFL20,20.0,14,0.10329474058502877,0.03292876594509619,0.9994577011426412,152.3917668125759,20.660521654243198
CFL20,20.0,20,0.10329466205435901,0.5399312067585822,0.8417091492720162,152.39176695703958,20.660521654243198
CFL20,20.0,30,0.10329466093036711,0.6037474091726583,0.7971756807111606,152.3917669591072,20.660521654243198
CFL20,21.0,10,0.10329497210037457,8.871187784049754e-05,0.9999999960651014,154.52523437323785,20.660521654243198
CFL20,21.0,14,0.10329497485213142,8.80219411161334e-05,0.9999999961260687,154.52523404842748,20.660521654243198
CFL20,21.0,20,0.10329497485574032,8.802121384348813e-05,0.999999996126133,154.52523404800127,20.660521654243198
CFL20,21.0,30,0.10329497485574037,9.511455274959689e-05,0.999999995476611,154.52523404800124,20.660521654243198
CFL20,22.0,10,0.10067338090035487,0.22256129543916325,0.9749186990577426,156.64350666203563,20.660521654243198
CFL20,22.0,14,0.10069622221427121,0.22289769195032597,0.9748418430305594,156.64350666203563,20.660521654243198
CFL20,22.0,20,0.10069625269089025,0.2228981729952843,0.9748417330394531,156.64350666203563,20.660521654243198
CFL20,22.0,30,0.10069625269213378,0.22289817301496878,0.9748417330349526,156.64350666203563,20.660521654243198
CFL20,23.0,10,0.08067845212276331,0.6859615307700572,0.7276378070878395,158.7448648322785,20.660521654243198
CFL20,23.0,14,0.08083508065483196,0.936893036567699,0.3496161295348889,158.7448648322785,20.660521654243198
CFL20,23.0,20,0.08083525936518694,0.953960833995533,0.2999312041161222,158.7448648322785,20.660521654243198
CFL20,23.0,30,0.08083525936705463,0.9539654994505897,0.29991636477189215,158.7448648322785,20.660521654243198
CFL20,24.0,10,0.19457809432078868,0.5908379874960018,0.8067902283317975,160.6862310827173,20.660521654243198
CFL20,24.0,14,0.19485243169021094,0.5964288547650658,0.802665946209026,160.6862310827173,20.660521654243198
CFL20,24.0,20,0.19485264045436218,0.5964320708485165,0.8026635564564706,160.6862310827173,20.660521654243198
CFL20,24.0,30,0.19485264028640978,0.5964321226450561,0.8026635179682163,160.6862310827173,20.660521654243198
CFL20,25.0,10,0.09489325520190733,0.3785332150028058,0.9255877079670188,162.7875892529602,20.660521654243198
CFL20,25.0,14,0.09491432312634171,0.3789123456362872,0.9254325660600057,162.7875892529602,20.660521654243198
CFL20,25.0,20,0.094914350611081,0.3789128757364168,0.9254323490137779,162.7875892529602,20.660521654243198
CFL20,25.0,30,0.09491435061220135,0.3789128757580878,0.9254323490049046,162.7875892529602,20.660521654243198
CFL20,26.0,10,0.10153183834948387,0.14101077551415578,0.9900080611736938,164.8889474077559,20.660521654243198
CFL20,26.0,14,0.10153643490580923,0.1410746889070948,0.9899989556306444,164.8889474077559,20.660521654243198
CFL20,26.0,20,0.10153644072224426,0.14107477269152902,0.9899989436913726,164.8889474077559,20.660521654243198
CFL20,26.0,30,0.10153644072248104,0.14107477269494473,0.9899989436908858,164.8889474077559,20.660521654243198
CFL20,27.0,10,0.10256215882845258,8.572993757242052e-05,0.9999999963251888,166.9977480031109,20.660521654243198
CFL20,27.0,14,0.10256217037208167,8.60393211707241e-05,0.9999999962986182,166.99774797678631,20.660521654243198
CFL20,27.0,20,0.10256217038781053,8.603977996499327e-05,0.9999999962985782,166.99774797674903,20.660521654243198
CFL20,27.0,30,0.10256217038781117,8.603977998389385e-05,0.9999999962985783,166.99774797674903,20.660521654243198
CFL20,28.0,10,0.10256216768997878,8.602513224222104e-05,0.9999999962998384,169.11608811754505,20.660521654243198
CFL20,28.0,14,0.10256217038387475,8.609382200316195e-05,0.999999996293927,169.11608810220395,20.660521654243198
CFL20,28.0,20,0.10256217038728638,8.609391311632535e-05,0.999999996293919,169.116088102184,20.660521654243198
CFL20,28.0,30,0.10256217038728653,8.609391312046539e-05,0.9999999962939193,169.116088102184,20.660521654243198
CFL20,29.0,10,0.10256216980459383,8.603261724920812e-05,0.9999999962991943,171.23442775132676,20.660521654243198
CFL20,29.0,14,0.10256217038672173,8.604933343977453e-05,0.9999999962977559,171.2344277508992,20.660521654243198
CFL20,29.0,20,0.1025621703874336,8.604935429511404e-05,0.9999999962977544,171.23442775089867,20.660521654243198
CFL20,29.0,30,0.10256217038743362,8.604935429592303e-05,0.9999999962977544,171.23442775089867,20.660521654243198
CFL20,30.0,10,0.10256217026134277,8.627282904228075e-05,0.9999999962784994,173.35276735889198,20.660521654243198
CFL20,30.0,14,0.10256217038561763,8.627749265554245e-05,0.9999999962780973,173.35276735781756,20.660521654243198
CFL20,30.0,20,0.10256217038576687,8.627749832106004e-05,0.9999999962780965,173.35276735781622,20.660521654243198
CFL20,30.0,30,0.1025621703857669,8.627749832123886e-05,0.9999999962780968,173.35276735781622,20.660521654243198
CFL20,31.0,10,0.10256217035407585,8.607838610917358e-05,0.9999999962952557,175.47110755865998,20.660521654243198
CFL20,31.0,14,0.10256217038728939,8.608002233765382e-05,0.9999999962951147,175.47110755719117,20.660521654243198
CFL20,31.0,20,0.10256217038732897,8.608002429230955e-05,0.9999999962951149,175.47110755718944,20.660521654243198
CFL20,31.0,30,0.10256217038732898,8.608002429236154e-05,0.9999999962951149,175.47110755718944,20.660521654243198
CFL20,32.0,10,0.10256217034090473,8.762155233193334e-05,0.9999999961612317,177.589448799514,20.660521654243198
CFL20,32.0,14,0.10256217037343336,8.762204770757295e-05,0.9999999961611886,177.58944879937724,20.660521654243198
CFL20,32.0,20,0.10256217037347208,8.762204835061145e-05,0.9999999961611885,177.5894487993771,20.660521654243198
CFL20,32.0,30,0.10256217037347204,8.762204835066642e-05,0.999999996161188,177.5894487993771,20.660521654243198
CFL20,33.0,10,0.1025621702354512,8.69985475179113e-05,0.9999999962156261,179.70778676226143,20.660521654243198
CFL20,33.0,14,0.10256217037921539,8.699843412596072e-05,0.9999999962156363,179.7077867643213,20.660521654243198
CFL20,33.0,20,0.10256217037938808,8.699843396526956e-05,0.9999999962156363,179.7077867643238,20.660521654243198
CFL20,33.0,30,0.10256217037938806,8.699843396548961e-05,0.9999999962156362,179.7077867643238,20.660521654243198
CFL20,34.0,10,0.10256216977947206,8.604588354353229e-05,0.9999999962980529,181.82612771655042,20.660521654243198
CFL20,34.0,14,0.10256217038664478,8.606420822837829e-05,0.9999999962964761,181.82612771954885,20.660521654243198
CFL20,34.0,20,0.10256217038738774,8.606423113212973e-05,0.9999999962964741,181.8261277195526,20.660521654243198
CFL20,34.0,30,0.10256217038738777,8.606423113300073e-05,0.9999999962964744,181.8261277195526,20.660521654243198
CFL20,35.0,10,0.10256216788117448,8.798253476471293e-05,0.999999996129537,183.94446878241834,20.660521654243198
CFL20,35.0,14,0.10256217037462512,8.71373469923849e-05,0.9999999962035413,183.94446845369268,20.660521654243198
CFL20,35.0,20,0.10256217037789278,8.713642199417603e-05,0.999999996203622,183.94446845326257,20.660521654243198
CFL20,35.0,30,0.10256217037789292,8.713642199769674e-05,0.9999999962036219,183.94446845326257,20.660521654243198
