case,phase,tmin,tmax,n,A_over_h2,relL2_median,relL2_max,corr_median,v_fit,v_theory,velocity_rel_error
CFL5,free_clean,6,18,13,0.1063879156930503,0.0014789612529901,0.0014789874172086,0.9999989063362082,2.1867499111120234,2.1892914598526545,-0.0011609001301279979
CFL20,capture,21,21,1,0.1032949748557403,8.802121384348813e-05,8.802121384348813e-05,0.999999996126133,,2.133613323015275,
CFL20,interaction,22,26,5,0.1006962526908902,0.3789128757364168,0.953960833995533,0.925432349013778,2.0533605912122295,2.079960222956731,-0.01278852905498808
CFL20,free_clean,27,35,9,0.1025621703872863,8.609391311632535e-05,8.762204835061145e-05,0.999999996293919,2.118340003776188,2.1184840704586607,-6.800460974973754e-05
