case,n_clean,tmin,tmax,median_A_over_h2,fit_center_velocity,pred_velocity_fully_discrete,relative_velocity_error,median_relL2,max_relL2_clean,median_corr
CFL5,13,6.0,18.0,0.106387915692201,2.1867499111120177,2.1892914598353164,-0.0011609001222203116,0.0014789612279805,0.0014789873936638,0.9999989063362452
CFL20,10,21.0,35.0,0.10256217038474616,2.1040884284936916,2.1184840704062173,-0.006795256152086801,8.61856573293522e-05,8.80219411161334e-05,0.9999999962860121
