method,label,packet,n_snapshots,t_min,t_max,A_over_h2_median,A_over_h2_std,profile_relL2_median,profile_relL2_max,correlation_median,natural_velocity,natural_velocity_stderr,semidiscrete_velocity_Va,natural_vs_semidiscrete_relative_error,prepared_A_over_h2,prepared_velocity,prepared_velocity_stderr,prepared_profile_relL2_median,natural_vs_prepared_relative_speed_difference,prepared_velocity_rescaled_to_natural_A,natural_vs_rescaled_prepared_relative_speed_difference,rescaled_prepared_velocity_sigma,difference_sigma,difference_zscore
ismail,Ismail--Taha,I,95,4.8,9.5,0.6525448118484992,8.421183637351323e-07,0.0001144597368696,0.0001450982123569,0.9999999934494844,1.863468266496384,5.374156107670623e-09,1.8647425409682623,-0.0006833514245975,0.6525619312818894,1.86351677371036,1.0667328476955846e-11,0.0001157836971501,-2.602993150386224e-05,1.8634678858581122,2.042633922910455e-07,2.404831819108189e-06,2.4048378240016668e-06,0.15828022496644537
ismail,Ismail--Taha,II,98,10.15,15.0,0.7125395982016995,1.5282158005676431e-06,0.0001364916991207,0.0004295234874412,0.999999990685008,2.034528043994051,9.30593814155182e-09,2.036186445383349,-0.0008144644087275,0.7125618878718667,2.0345911605671003,1.2693695309706587e-11,0.0001380772198347,-3.102174740195346e-05,2.034527516458896,2.5929123634219043e-07,4.363542889689564e-06,4.3635528128630516e-06,0.12089578784511203
pade8,Pade-8,I,164,16.95,25.1,0.1471261962765302,1.2468912247034872e-09,0.0003478150982275,0.0006418086357465,0.9999999395123272,4.701100312461726,1.9418298684794594e-11,4.70659637557621,-0.0011677362314314,0.1471391899944138,4.701514530281645,2.2117123477356368e-14,0.0003478775525493,-8.810306067348668e-05,4.701099344134199,2.0597895441274538e-07,3.984171185696745e-08,3.9841716589072116e-08,24.304362622789213
pade8,Pade-8,II,181,17.0,26.0,0.1286200691025899,1.1742138531465167e-09,0.0002658606803832,0.0004078364694852,0.9999999646590486,4.110906218223999,3.231650278426934e-11,4.114581674678826,-0.0008932758529125,0.128628755160769,4.111183338057361,1.92243467777194e-14,0.0002658969160055,-6.740634279116657e-05,4.110905717570289,1.2178671660140788e-07,3.7529776466693635e-08,3.7529790380394395e-08,13.340168024556357
