A,v,vprep,delta,resid
0.7125396155836217,2.0345280555296985,2.0345911605766274,-6.310504692885743e-05,0.0001365837577439
0.712539599821129,2.034528044661283,2.034591160571547,-6.311591026397778e-05,0.00013653893533795
0.712539599821129,2.034528041216552,2.0345911605483535,-6.31193318016976e-05,0.0001364916991207
0.712539576045337,2.034528069765266,2.034591160568538,-6.309080327193684e-05,0.00013645772621385
0.7125395781939539,2.034528041774829,2.0345911605793754,-6.311880454656915e-05,0.0001363647515335
0.7125395969003034,2.0345280350402137,2.0345911605664755,-6.31255262617536e-05,0.0001364916991207
0.7125395941050834,2.0345280411490854,2.034591160577159,-6.311942807357696e-05,0.0001364487530514
0.7125395941050834,2.0345280249448394,2.034591160561325,-6.313561648552124e-05,0.0001365137326526
0.7125396045667507,2.0345280277638333,2.034591160548267,-6.313278443359494e-05,0.00013653059133365
0.7125395985197329,2.0345280323483803,2.034591160539916,-6.312819153553306e-05,0.0001365439159342
0.7125395789319906,2.0345280511828143,2.0345911605701654,-6.310938735110128e-05,0.0001363982977957
0.7125395793997555,2.034528047854548,2.0345911605732927,-6.311271874448465e-05,0.00013647264441309998
0.7125395803425706,2.034528050480479,2.03459116056664,-6.311008616100011e-05,0.00013638821625055
0.7125396048381859,2.0345280449819545,2.034591160541249,-6.311555929450208e-05,0.0001365137326526
0.7125395891698403,2.03452802070462,2.0345911605716527,-6.31398670325467e-05,0.0001364916991207
0.7125395815375772,2.0345280246956814,2.0345911605569023,-6.313586122086434e-05,0.00013650875205635
0.7125395995030958,2.034528025336639,2.034591160558322,-6.313522168310826e-05,0.0001365037714601
0.7125395781939539,2.0345280483739647,2.0345911605886897,-6.311221472499184e-05,0.0001364487530514
0.7125395767833739,2.034528019829209,2.0345911605712006,-6.31407419917629e-05,0.00013637555176825
0.7125395913098632,2.0345280384313855,2.034591160553702,-6.312212231662784e-05,0.0001363986258675
0.7125396102143944,2.0345280565648802,2.034591160557048,-6.310399216769014e-05,0.00013650875205635
0.7125395941050834,2.0345280121055045,2.0345911605616274,-6.314845612287456e-05,0.00013656077461525002
0.7125395954064795,2.034528051545643,2.0345911605611233,-6.310901548012282e-05,0.00013643867150625
0.7125395957245129,2.034528049230546,2.034591160562019,-6.311133147285375e-05,0.0001364487530514
0.7125396089943389,2.0345280544484483,2.034591160568387,-6.310611993853854e-05,0.0001364916991207
0.7125396170148459,2.0345280455115833,2.034591160593088,-6.311508150469436e-05,0.0001366121564842
