A,v,vprep,delta,resid
0.1286200693091989,4.110906218203697,4.111183338057388,-0.00027711985369105463,0.0002658620103872
0.1286200687453511,4.110906218200927,4.111183338057404,-0.00027711985647727033,0.0002658617756858
0.1286200693397242,4.110906218149719,4.111183338057396,-0.0002771199076772035,0.0002658602470377
0.1286200689198613,4.110906218294236,4.111183338057344,-0.00027711976310840214,0.0002658606125664
0.1286200689198613,4.110906218286995,4.111183338057381,-0.0002771197703861361,0.0002658608462711
0.1286200691064573,4.110906218208573,4.111183338057356,-0.0002771198487829807,0.0002658608281509
0.1286200690484157,4.1109062182735405,4.1111833380573595,-0.00027711978381894653,0.0002658602470377
0.1286200692130541,4.110906218254082,4.111183338057397,-0.00027711980331446284,0.0002658606803832
0.1286200687696346,4.110906218116614,4.111183338057386,-0.0002771199407725078,0.0002658606803832
0.1286200690919358,4.11090621826818,4.111183338057359,-0.0002771197891782151,0.0002658602470377
0.1286200691064573,4.110906218271166,4.111183338057348,-0.0002771197861815011,0.0002658606803832
0.128620068785716,4.11090621822094,4.11118333805734,-0.00027711983639999715,0.0002658625317353
0.1286200690919358,4.110906218171605,4.1111833380573355,-0.00027711988573031476,0.0002658602466982
0.1286200691308835,4.110906218211887,4.111183338057344,-0.0002771198454576407,0.000265860295005
0.1286200691407685,4.110906218210344,4.111183338057336,-0.000277119846992413,0.0002658608462711
0.1286200693612195,4.110906218257817,4.111183338057369,-0.00027711979955213906,0.0002658602722175
0.1286200688711321,4.110906218272804,4.111183338057347,-0.00027711978454281194,0.0002658605387104
0.1286200689095337,4.110906218110763,4.11118333805736,-0.00027711994659718187,0.0002658620103872
0.1286200689100014,4.110906218217457,4.111183338057359,-0.0002771198399011965,0.0002658606125664
0.1286200691407685,4.110906218244112,4.111183338057369,-0.00027711981325762025,0.0002658606803832
0.1286200690533391,4.110906218211568,4.111183338057385,-0.00027711984581735294,0.0002658611660287
0.1286200691308835,4.1109062182235725,4.111183338057365,-0.0002771198337923053,0.0002658610224641
0.1286200691064573,4.110906218185727,4.1111833380573675,-0.0002771198716402523,0.0002658602905383
0.1286200689095337,4.110906218254436,4.111183338057358,-0.000277119802921888,0.0002658608462711
0.1286200690322544,4.110906218227206,4.111183338057346,-0.00027711983014011565,0.0002658611098237
0.1286200687949469,4.110906218187016,4.111183338057372,-0.0002771198703559463,0.0002658606125664
0.1286200690919358,4.1109062181721825,4.111183338057358,-0.00027711988517520325,0.0002658608462711
0.1286200691025899,4.110906218243041,4.111183338057398,-0.00027711981435629696,0.0002658620103872
0.1286200688711321,4.110906218215883,4.111183338057392,-0.0002771198415096876,0.0002658600285024
0.1286200689100014,4.110906218215663,4.111183338057375,-0.0002771198417113041,0.0002658606803832
0.1286200690919358,4.110906218270529,4.111183338057356,-0.00027711978682720684,0.0002658602905383
0.1286200689095337,4.110906218253076,4.111183338057375,-0.00027711980429856453,0.0002658608462711
0.1286200690919358,4.11090621820905,4.111183338057357,-0.00027711984830691705,0.0002658610224641
0.1286200691352324,4.1109062183121985,4.111183338057356,-0.0002771197451574281,0.0002658606125664
0.1286200689198613,4.110906218246263,4.111183338057383,-0.0002771198111197748,0.0002658614600079
0.1286200691352324,4.11090621825445,4.111183338057369,-0.00027711980291922345,0.0002658625317353
0.1286200687949469,4.110906218234932,4.111183338057357,-0.0002771198224245097,0.000265860295005
0.1286200689095337,4.110906218264179,4.111183338057345,-0.0002771197931661362,0.000265860295005
0.1286200691308835,4.110906218197151,4.111183338057362,-0.0002771198602111724,0.0002658608281509
0.1286200693009225,4.110906218263987,4.111183338057364,-0.0002771197933766345,0.000265860295005
0.1286200693234346,4.110906218212449,4.11118333805734,-0.00027711984489098285,0.0002658606803832
0.1286200692750439,4.1109062181672185,4.111183338057346,-0.0002771198901276861,0.0002658608462711
0.1286200687949469,4.110906218286529,4.111183338057347,-0.0002771197708177908,0.0002658606125664
0.1286200688711321,4.1109062182479486,4.1111833380573675,-0.0002771198094189131,0.0002658608052017
0.1286200691407685,4.110906218234377,4.111183338057394,-0.0002771198230169247,0.0002658605517821
0.1286200690533391,4.1109062182656615,4.11118333805738,-0.0002771197917184054,0.0002658610359488
0.1286200690484157,4.1109062181541205,4.1111833380573755,-0.00027711990325496316,0.0002658606125664
0.1286200691064573,4.1109062181824285,4.111183338057333,-0.000277119874904308,0.0002658605517821
0.1286200692716405,4.1109062182723894,4.111183338057378,-0.0002771197849886775,0.0002658614600079
0.1286200691025899,4.110906218218094,4.1111833380573595,-0.00027711983926526074,0.0002658602722175
0.1286200687973817,4.110906218132911,4.111183338057375,-0.00027711992446377565,0.0002658613638448
0.1286200691308835,4.110906218305631,4.11118333805738,-0.00027711975174860015,0.0002658602722175
0.1286200690533391,4.110906218197778,4.111183338057372,-0.0002771198595938884,0.000265860295005
0.1286200691352324,4.110906218186659,4.111183338057364,-0.00027711987070500044,0.000265860295005
0.1286200692750439,4.110906218159117,4.111183338057361,-0.0002771198982438605,0.0002658606803832
0.1286200690484157,4.110906218234945,4.111183338057356,-0.00027711982241118704,0.0002658598834377
0.1286200691308835,4.110906218183082,4.111183338057374,-0.0002771198742914649,0.0002658602722175
0.1286200689198613,4.1109062182448115,4.111183338057345,-0.00027711981253375484,0.0002658608281509
0.1286200687973817,4.110906218220386,4.11118333805738,-0.0002771198369941885,0.0002658606803832
0.1286200690533391,4.110906218236805,4.111183338057364,-0.00027711982055933504,0.0002658608052017
0.1286200693091989,4.110906218210518,4.111183338057371,-0.000277119846852969,0.0002658610359488
0.1286200688711321,4.110906218180434,4.111183338057348,-0.00027711987691425577,0.0002658613638448
0.1286200690322544,4.110906218133199,4.1111833380573835,-0.0002771199241848876,0.0002658605387104
0.1286200689198613,4.110906218199978,4.111183338057379,-0.0002771198574009759,0.0002658623211155
0.128620068785716,4.1109062181652805,4.111183338057377,-0.0002771198920967777,0.0002658611098237
0.1286200690919358,4.110906218215722,4.111183338057374,-0.00027711984165179615,0.0002658613638448
0.1286200692750439,4.11090621820599,4.111183338057388,-0.00027711985139777795,0.0002658602470377
0.1286200692130541,4.110906218223816,4.111183338057363,-0.00027711983354716807,0.0002658611098237
0.1286200690322544,4.110906218262068,4.111183338057365,-0.00027711979529687625,0.0002658606125664
0.1286200690919358,4.11090621824755,4.111183338057371,-0.00027711980982125795,0.0002658608052017
0.1286200687603389,4.110906218278313,4.111183338057351,-0.0002771197790378821,0.0002658613638448
0.1286200692750439,4.11090621819168,4.111183338057406,-0.0002771198657258722,0.0002658598834377
0.1286200689100014,4.110906218212941,4.1111833380573755,-0.00027711984443445914,0.0002658610224641
0.1286200690533391,4.110906218145751,4.111183338057349,-0.00027711991159762306,0.0002658608052017
0.1286200690533391,4.110906218135081,4.111183338057366,-0.000277119922285074,0.0002658606803832
0.1286200691407685,4.110906218197549,4.111183338057359,-0.00027711985980971576,0.0002658605387104
0.1286200690919358,4.110906218244302,4.111183338057366,-0.00027711981306399736,0.000265860295005
0.1286200687973817,4.110906218194197,4.11118333805735,-0.00027711986315281933,0.0002658610224641
0.1286200692716405,4.110906218249211,4.11118333805739,-0.00027711980817901605,0.0002658606125664
0.1286200691025899,4.110906218259422,4.111183338057321,-0.000277119797899239,0.0002658600285024
0.1286200689100014,4.110906218193441,4.111183338057351,-0.00027711986390954735,0.0002658606803832
0.1286200687973817,4.110906218221375,4.111183338057383,-0.0002771198360074223,0.0002658608052017
0.1286200690322544,4.110906218261697,4.111183338057377,-0.0002771197956805693,0.0002658608462711
0.1286200689198613,4.110906218209434,4.111183338057375,-0.00027711984794098754,0.0002658614111018
0.1286200691064573,4.1109062182062885,4.111183338057356,-0.0002771198510673756,0.0002658606125664
0.1286200691064573,4.110906218225854,4.111183338057373,-0.00027711983151856856,0.0002658608052017
0.1286200691025899,4.110906218201088,4.111183338057351,-0.00027711985626233115,0.0002658605517821
0.1286200689100014,4.110906218202497,4.111183338057366,-0.0002771198548687792,0.0002658608052017
0.128620068785716,4.1109062181559635,4.111183338057329,-0.00027711990136580766,0.0002658610224641
0.1286200687821212,4.110906218190119,4.111183338057368,-0.0002771198672490982,0.0002658605387104
0.1286200692130541,4.110906218249152,4.111183338057348,-0.00027711980819589144,0.0002658606803832
0.1286200691352324,4.110906218144109,4.111183338057368,-0.0002771199132594049,0.0002658598834377
0.1286200690533391,4.110906218212162,4.1111833380573595,-0.0002771198451974044,0.0002658600845884
0.1286200691352324,4.110906218261503,4.111183338057352,-0.0002771197958493232,0.0002658605387104
0.1286200690919358,4.110906218206262,4.111183338057377,-0.0002771198511153372,0.0002658602470377
0.1286200691308835,4.110906218292655,4.111183338057385,-0.00027711976473021593,0.0002658613638448
0.1286200690322544,4.1109062182796245,4.111183338057352,-0.00027711977772781893,0.0002658608052017
0.1286200690484157,4.1109062182131115,4.111183338057374,-0.0002771198442621525,0.0002658608281509
0.1286200691352324,4.1109062182687115,4.11118333805735,-0.00027711978863820264,0.000265860295005
0.1286200689198613,4.110906218248847,4.111183338057384,-0.00027711980853695195,0.0002658600845884
0.1286200689100014,4.110906218215624,4.111183338057361,-0.0002771198417370613,0.0002658610224641
0.1286200691025899,4.1109062182555896,4.111183338057358,-0.0002771198017681442,0.0002658614111018
0.1286200689198613,4.110906218213685,4.111183338057339,-0.0002771198436537503,0.0002658602722175
0.1286200692716405,4.110906218205135,4.111183338057371,-0.0002771198522362184,0.0002658620310416
0.1286200691407685,4.1109062182861065,4.1111833380573515,-0.00027711977124500464,0.0002658600405576
0.1286200689095337,4.110906218162959,4.111183338057377,-0.00027711989441847606,0.0002658611660287
0.1286200692130541,4.110906218283932,4.111183338057344,-0.00027711977341216,0.0002658611660287
0.1286200692716405,4.1109062181823965,4.11118333805737,-0.0002771198749735859,0.0002658598834377
0.1286200687846308,4.110906218155511,4.11118333805735,-0.0002771199018383186,0.0002658608281509
0.1286200688711321,4.110906218261245,4.111183338057325,-0.0002771197960802496,0.0002658611098237
0.1286200687696346,4.1109062182110545,4.111183338057343,-0.0002771198462880875,0.0002658608281509
0.1286200691352324,4.110906218221332,4.111183338057332,-0.00027711983600031687,0.0002658610224641
0.1286200691308835,4.1109062182557015,4.111183338057376,-0.0002771198016748855,0.0002658602722175
0.1286200689095337,4.110906218283263,4.11118333805735,-0.0002771197740862874,0.0002658608462711
0.1286200693397242,4.110906218221983,4.111183338057349,-0.0002771198353661575,0.0002658602905383
0.1286200689198613,4.11090621823552,4.111183338057382,-0.0002771198218614046,0.0002658606125664
0.1286200687384193,4.110906218222012,4.111183338057327,-0.0002771198353146431,0.0002658610224641
0.1286200691308835,4.11090621828828,4.111183338057378,-0.0002771197690982774,0.0002658596770356
0.1286200692130541,4.110906218241538,4.111183338057352,-0.0002771198158146859,0.0002658602363048
0.1286200689100014,4.1109062182016,4.111183338057361,-0.0002771198557613985,0.0002658623965811
0.1286200691407685,4.110906218233539,4.111183338057366,-0.00027711982382694345,0.0002658620310416
0.1286200690484157,4.110906218282496,4.111183338057354,-0.00027711977485811445,0.0002658606125664
0.1286200690919358,4.1109062183014435,4.111183338057325,-0.00027711975588129434,0.0002658602905383
0.1286200693339135,4.110906218229799,4.111183338057341,-0.0002771198275421938,0.0002658600845884
0.1286200689198613,4.1109062181808325,4.1111833380573515,-0.00027711987651901637,0.0002658605387104
0.1286200693397242,4.110906218218329,4.111183338057327,-0.00027711983899791903,0.0002658602722175
0.1286200691407685,4.110906218231213,4.111183338057372,-0.0002771198261593,0.000265860295005
0.1286200692750439,4.110906218296146,4.111183338057374,-0.00027711976122724025,0.0002658610359488
0.1286200689095337,4.110906218213567,4.11118333805738,-0.00027711984381273425,0.0002658614111018
0.1286200691064573,4.11090621825349,4.111183338057376,-0.00027711980388644974,0.0002658606803832
0.1286200691352324,4.110906218249046,4.111183338057373,-0.00027711980832645366,0.0002658602905383
0.1286200690533391,4.110906218286736,4.11118333805739,-0.0002771197706534778,0.0002658611098237
0.1286200690484157,4.1109062182173615,4.111183338057367,-0.00027711984000511336,0.0002658624196473
0.1286200693009225,4.110906218247424,4.111183338057395,-0.0002771198099713601,0.0002658600285024
0.1286200691025899,4.110906218196204,4.111183338057359,-0.0002771198611544179,0.0002658602722175
0.1286200689100014,4.110906218283453,4.111183338057374,-0.0002771197739210862,0.0002658621028331
0.1286200691407685,4.110906218293796,4.111183338057361,-0.00027711976356492585,0.0002658605517821
0.1286200687973817,4.1109062182623815,4.1111833380573595,-0.0002771197949780202,0.0002658613638448
0.1286200688711321,4.110906218249311,4.111183338057322,-0.0002771198080111503,0.0002658606803832
0.1286200690484157,4.110906218233837,4.111183338057388,-0.00027711982355071996,0.0002658605517821
0.1286200687973817,4.110906218203182,4.111183338057377,-0.00027711985419553997,0.0002658605387104
0.1286200687846308,4.110906218162262,4.111183338057347,-0.0002771198950846099,0.0002658613638448
0.1286200690533391,4.110906218250262,4.11118333805738,-0.00027711980711764284,0.0002658606803832
0.1286200691025899,4.110906218244732,4.11118333805733,-0.00027711981259859186,0.0002658606125664
0.1286200692716405,4.110906218250408,4.111183338057342,-0.0002771198069337899,0.0002658600845884
0.1286200688711321,4.110906218259604,4.111183338057378,-0.00027711979777400586,0.0002658605517821
0.1286200690919358,4.110906218148459,4.111183338057365,-0.00027711990890555427,0.0002658605517821
0.1286200693339135,4.110906218271563,4.111183338057354,-0.0002771197857907026,0.0002658602470377
0.1286200693009225,4.110906218294997,4.111183338057374,-0.0002771197623765431,0.0002658600285024
0.1286200690484157,4.110906218118061,4.111183338057357,-0.0002771199392954671,0.0002658620103872
0.1286200691308835,4.110906218204319,4.111183338057349,-0.0002771198530302499,0.0002658611098237
0.1286200692130541,4.110906218271458,4.111183338057355,-0.00027711978589728403,0.0002658602722175
0.1286200690919358,4.110906218241225,4.111183338057351,-0.00027711981612554837,0.0002658605517821
0.1286200692716405,4.110906218157493,4.1111833380573515,-0.0002771198998585689,0.0002658608052017
0.1286200690919358,4.110906218244867,4.111183338057345,-0.0002771198124786878,0.0002658617756858
0.1286200688711321,4.110906218280529,4.111183338057328,-0.0002771197767996725,0.0002658606803832
0.1286200690322544,4.110906218214958,4.111183338057361,-0.0002771198424031951,0.0002658610224641
0.1286200692716405,4.1109062182239695,4.111183338057383,-0.00027711983341305313,0.0002658605387104
