W,a,v,vth,resid
10,0.1025621698045938,2.1183400229456226,2.118338888750285,8.607838610917358e-05
14,0.1025621703838747,2.118340003801069,2.11833890070754,8.609382200316195e-05
20,0.1025621703872863,2.118340003776188,2.1183389007779607,8.609391311632535e-05
30,0.1025621703872865,2.118340003776188,2.118338900777965,8.609391312046539e-05
