h,kappa,L,N,fixed_point_residual,rho_F,lambda_real,lambda_imag,eigenpair_residual,edge_fraction,runtime_s
0.02,20,14.0,700,1.8919577016163203e-10,1.130926994423393,-1.130926994423393,0.0,3.8898021310062077e-13,0.9996395299654496,8.43049669265747
0.02,20,16.0,800,1.9229784431473718e-10,1.130952126099149,-1.130952126099149,0.0,4.914506829925209e-13,0.9996035076354535,8.680600881576538
0.02,20,20.0,1000,1.923780024171151e-10,1.1309521200869732,-1.1309521200869732,0.0,8.47597518114517e-13,0.9996035077021852,7.97650933265686
