h,kappa,method,lambda_real,lambda_imag,rho_F,left_lambda_real,left_lambda_imag,right_residual,left_residual,unit_left_right_overlap,eigenvalue_condition_number,fixed_point_residual
0.01,5,midpoint,-1.0566100637046898,0.0,1.0566100637046898,-1.0566100637152391,0.0,5.161499666036087e-11,2.865659732705902e-11,0.003939768649605832,253.82201061477264,2.798551390625903e-10
0.02,20,midpoint,-1.130952126099029,0.0,1.130952126099029,-1.1309521260989899,0.0,3.931517205533258e-15,2.7764678095908874e-13,0.022080568220076938,45.288689585929305,1.9229784431473718e-10
0.01,5,gl4,-1.0851662348865485,-0.1512946879606829,1.0956622837092496,-1.0851662348864615,0.15129468796073817,5.966642978466648e-14,2.8630512478267797e-13,0.010678804798083778,93.64343846602024,1.6874082374982759e-10
