method,V_min,V_max,V_ptp,FWHM_min,FWHM_max,resid_max
defrutos,20.660521654241123,20.66052165424113,7.105427357601002e-15,5.44921875,5.460205078125,2.517404973794639e-13
ismail,2.8576467195962136,2.857646719596214,4.440892098500626e-16,3.1640625,3.197021484375,2.706021961463572e-13
pade6,40.74963984582246,40.74963984582247,1.4210854715202004e-14,7.294921875,7.3095703125,2.8399963896087396e-13
pade8,31.990199534073497,31.990199534073504,7.105427357601002e-15,6.181640625,6.1962890625,2.994964333163301e-13
