dataset,method,h,kappa,n_snapshots,A_over_h2,A_ci_low,A_ci_high,measured_velocity,v_ci_low,v_ci_high,predicted_velocity,vth_ci_low,vth_ci_high,delta_v,delta_ci_low,delta_ci_high,profile_residual,resid_ci_low,resid_ci_high,window_velocity_peak_to_peak,window_A_peak_to_peak,window_prediction_peak_to_peak,relative_velocity_difference,relative_velocity_ci_low,relative_velocity_ci_high
archived midpoint CFL5,midpoint,0.01,5,13,0.1063879156930503,0.106387915018485,0.106387915693873,2.1867499111120234,2.186749909953277,2.1867499123007446,2.186733735738731,2.186733722015622,2.186733735755468,1.6175373292348638e-05,1.6174342409713828e-05,1.6189195829618974e-05,0.0014789612529901,0.0014789410297024,0.0014789713158611,6.470379787515412e-12,5.115198958849376e-10,1.0406172812338355e-08,7.397047490504924e-06,7.3965760647350815e-06,7.403368578913827e-06
archived midpoint CFL20,midpoint,0.02,20,9,0.1025621703872863,0.1025621678811744,0.1025621703873877,2.118340003776188,2.1183398226203027,2.1183401513892,2.1183389007779607,2.1183388490479276,2.118338900780054,1.1029982274202155e-06,9.250345030298313e-07,1.2614682248779374e-06,8.609391311632535e-05,8.603261724920812e-05,8.713642199417603e-05,1.9169434484211934e-08,5.826926996466142e-10,1.2027680185155987e-08,5.206901629456642e-07,4.3667918419008025e-07,5.954987770911741e-07
GL4 packet I,gl4,0.01,5,11,0.1710966931391868,0.1710966931387481,0.171096693139484,3.5349106039327958,3.5349105708364683,3.5349106654320606,3.534910327423172,3.53491032741411,3.5349103274293108,2.7650962364234033e-07,2.4341329618593477e-07,3.3801782000075776e-07,1.2169687766596213e-05,1.2169667345951852e-05,1.2169718324588554e-05,,,,7.822252844640229e-08,6.885982207174536e-08,9.562274250027754e-08
GL4 packet II,gl4,0.01,5,5,0.0590857613075259,0.0590857612947794,0.0590857614022725,1.2208013891503204,1.2208013236749757,1.220801503443266,1.2208013197976844,1.2208013195343232,1.2208013217552858,6.935263607843467e-08,3.742862908495681e-09,1.838815024690632e-07,2.3778200201165324e-06,4.971132939512155e-07,2.747276611277837e-05,,,,5.680910968373465e-08,3.0659066694947234e-09,1.5062361048195518e-07
ismail packet I,ismail,0.02,20,95,0.6525448118484992,0.6525447871042543,0.6525448263958397,1.8634682664963833,1.8634682533158191,1.863468278396817,1.86351677371036,1.8635167736898233,1.8635167737316383,-4.850721397664515e-05,-4.852038848360274e-05,-4.8495311414847864e-05,0.0001144597368696,0.0001142797859639,0.0001145588050378,,,,-2.6029931504219697e-05,-2.6037001205519654e-05,-2.6023544353878364e-05
ismail packet II,ismail,0.02,20,98,0.7125395982016995,0.7125395688486403,0.7125396211606223,2.034528043994051,2.0345280140249415,2.034528066389103,2.0345911605671003,2.034591160541938,2.034591160592489,-6.311657304935991e-05,-6.314654194568003e-05,-6.309417469166912e-05,0.0001364916991207,0.0001362781252388,0.00013664695563225001,,,,-3.102174740195346e-05,-3.103647709158396e-05,-3.101073862627169e-05
pade8 packet I,pade8,0.02,20,164,0.1471261962765302,0.1471261960524003,0.1471261964464321,4.701100312461726,4.701100312423867,4.701100312498736,4.701514530281645,4.701514530281601,4.701514530281688,-0.000414217819918683,-0.00041421785776569743,-0.00041421778290469114,0.00034781509822744995,0.0003478138070015,0.0003478163673783,,,,-8.810306067348668e-05,-8.810306872344892e-05,-8.81030528007062e-05
pade8 packet II,pade8,0.02,20,181,0.1286200691025899,0.1286200687821212,0.128620069359937,4.110906218223999,4.1109062181228335,4.1109062183042795,4.111183338057361,4.111183338057325,4.111183338057399,-0.00027711983336242696,-0.00027711993451740025,-0.00027711975308175596,0.0002658606803832,0.0002658598834377,0.0002658620103872,,,,-6.740634279116657e-05,-6.740636739599808e-05,-6.740632326377886e-05
