A,v,vprep,delta,resid
0.14712619624227735,4.701100312454853,4.701514530281631,-0.00041421782677719676,0.0003478162989247
0.14712619639914443,4.701100312475679,4.701514530281632,-0.00041421780595296553,0.0003478156540337
0.1471261962784451,4.701100312478087,4.701514530281677,-0.00041421780358952276,0.00034781469917835
0.14712619623360285,4.701100312466975,4.701514530281655,-0.0004142178146793185,0.0003478141023163
0.1471261962646172,4.701100312497941,4.701514530281669,-0.00041421778372807694,0.00034781554340205
0.14712619622359285,4.7011003124875925,4.701514530281688,-0.00041421779409578363,0.00034781578524719996
0.14712619636578805,4.701100312489006,4.701514530281596,-0.0004142177925903212,0.00034781494044785
0.1471261962362931,4.701100312452497,4.701514530281662,-0.00041421782916462035,0.00034781483275254997
0.14712619638153096,4.701100312466665,4.701514530281612,-0.0004142178149466602,0.0003478161852725
0.1471261962646172,4.701100312456543,4.701514530281653,-0.00041421782511008587,0.00034781512109115
0.14712619618791167,4.7011003124548285,4.701514530281659,-0.00041421782683048747,0.0003478154327704
0.1471261962162731,4.701100312412006,4.701514530281634,-0.0004142178696282528,0.0003478154816324
0.1471261963756883,4.701100312462906,4.701514530281621,-0.00041421781871520125,0.00034781469248755
0.14712619611397545,4.701100312484201,4.701514530281634,-0.00041421779743355813,0.0003478151434521
0.14712619633688,4.70110031247403,4.701514530281668,-0.00041421780763784,0.000347813957883
0.14712619629503526,4.701100312482365,4.701514530281659,-0.0004142177992942919,0.00034781464959679996
0.1471261962449676,4.701100312434163,4.701514530281629,-0.0004142178474655367,0.00034781528811125
0.1471261963114234,4.701100312439372,4.701514530281612,-0.00041421784223949487,0.00034781412407135
0.1471261962785461,4.701100312445095,4.701514530281639,-0.00041421783654360667,0.00034781565207145
0.14712619630212376,4.701100312456692,4.7015145302816235,-0.000414217824931562,0.0003478142530481
0.1471261962780576,4.70110031242684,4.701514530281656,-0.0004142178548161013,0.0003478154816324
0.1471261964872143,4.701100312453155,4.701514530281646,-0.00041421782849049293,0.0003478148756433
0.1471261962786471,4.7011003124737325,4.701514530281635,-0.00041421780790251717,0.0003478154816324
0.14712619633688,4.701100312455528,4.701514530281678,-0.0004142178261492546,0.0003478149900294
0.1471261962774681,4.701100312443282,4.701514530281641,-0.00041421783835904336,0.0003478150977247
0.1471261962646172,4.701100312488498,4.701514530281627,-0.0004142177931294455,0.00034781464959679996
0.1471261962449676,4.7011003124692285,4.701514530281654,-0.0004142178124251217,0.0003478143767303
0.1471261963756883,4.701100312448104,4.701514530281624,-0.0004142178335202473,0.0003478150128931
0.1471261962785461,4.7011003124650985,4.701514530281642,-0.000414217816543605,0.00034781519772765
0.14712619630069734,4.701100312449237,4.701514530281657,-0.00041421783241979426,0.00034781509822744995
0.14712619610074812,4.701100312441163,4.701514530281644,-0.0004142178404809016,0.0003478141840158
0.1471261962646172,4.701100312461427,4.701514530281639,-0.0004142178202117819,0.00034781586948559996
0.1471261962655551,4.70110031246619,4.701514530281629,-0.00041421781543871106,0.00034781640317045
0.14712619610074812,4.701100312473265,4.701514530281664,-0.0004142178083990089,0.0003478149833386
0.1471261962785461,4.701100312461588,4.701514530281666,-0.00041421782007766694,0.0003478140468088
0.1471261960179878,4.701100312500872,4.701514530281608,-0.000414217780736692,0.0003478142530481
0.14712619613211697,4.701100312444691,4.701514530281657,-0.0004142178369663796,0.0003478163762917
0.1471261962779566,4.701100312469933,4.701514530281614,-0.00041421781168082816,0.00034781556783305
0.14712619623360285,4.701100312422394,4.701514530281631,-0.0004142178592365653,0.0003478150987302
0.147126196019987,4.701100312422505,4.701514530281655,-0.0004142178591495238,0.00034781482606175004
0.14712619623360285,4.7011003124727635,4.701514530281633,-0.00041421780886974346,0.00034781565207145
0.14712619629493423,4.7011003124547335,4.70151453028164,-0.0004142178269068708,0.00034781556783305
0.14712619630222473,4.701100312457284,4.701514530281644,-0.0004142178243595751,0.0003478154816324
0.14712619630222473,4.701100312471601,4.701514530281649,-0.00041421781004835623,0.0003478150987302
0.1471261962785461,4.70110031247669,4.701514530281608,-0.0004142178049182377,0.00034781556783305
0.1471261964872143,4.701100312456104,4.701514530281634,-0.00041421782553019426,0.00034781482606175004
0.14712619624227735,4.70110031249102,4.701514530281655,-0.00041421779063455233,0.0003478148823341
0.1471261962784451,4.701100312426244,4.7015145302817025,-0.0004142178554582543,0.0003478157382721
0.1471261963292711,4.701100312463577,4.70151453028161,-0.0004142178180330802,0.0003478142530481
0.1471261962655551,4.701100312465328,4.701514530281658,-0.0004142178163304422,0.00034781464959679996
0.1471261963933018,4.7011003124795945,4.701514530281632,-0.00041421780203787506,0.00034781565207145
0.14712619623360285,4.701100312465858,4.70151453028167,-0.000414217815811746,0.0003478141187768
0.1471261962362931,4.701100312476045,4.701514530281643,-0.00041421780559769417,0.0003478152657503
0.1471261960524003,4.701100312478356,4.70151453028162,-0.0004142178032635613,0.0003478142530481
0.14712619618791167,4.701100312457797,4.701514530281626,-0.0004142178238293326,0.00034781554340205
0.1471261961387246,4.701100312442418,4.701514530281684,-0.0004142178392658735,0.00034781399720375
0.1471261962785461,4.701100312435482,4.7015145302816315,-0.0004142178461492563,0.0003478145160226
0.1471261963258024,4.701100312468917,4.701514530281622,-0.0004142178127048979,0.0003478161852725
0.14712619623360285,4.701100312481614,4.701514530281617,-0.0004142178000030583,0.00034781498384134997
0.14712619622359285,4.701100312469473,4.701514530281666,-0.0004142178121933071,0.0003478152967251
0.14712619630222473,4.701100312469824,4.701514530281657,-0.00041421781183359485,0.0003478141023163
0.14712619596966414,4.701100312451001,4.70151453028168,-0.00041421783067896456,0.0003478158225105
0.1471261960001583,4.70110031243021,4.701514530281637,-0.00041421785142681244,0.0003478162420986
0.14712619615108752,4.701100312446057,4.701514530281652,-0.0004142178355950321,0.00034781424775355
0.1471261964618621,4.701100312468083,4.701514530281661,-0.00041421781357797727,0.0003478162420986
