dataset,v_min,v_max,v_ptp,A_min,A_max,A_ptp,resid_min,resid_max
GL4 I,3.5349106039327958,3.5349106295010895,2.5568293704480993e-08,0.1710966931390006,0.1710966931391868,1.8618440122963875e-13,1.216968084990834e-05,1.2169696573877482e-05
GL4 II,1.2208013246158083,1.2208014079829541,8.336714585333027e-08,0.0590857613018167,0.05908576133454265,3.272595389125499e-11,1.6211988752728031e-06,7.250995229115284e-06
archived CFL20,2.11833990444308,2.1183400727749513,1.6833187110876224e-07,0.1025621703857668,0.1025621703873076,1.5407952691504079e-12,8.608696870431745e-05,8.627749832106004e-05
archived CFL5,2.186749910306245,2.186749912012361,1.7061161372566858e-09,0.1063879156924877,0.1063879156934649,9.771905506994472e-13,0.0014789589919801,0.0014789640284674
ismail I,1.8634682637925148,1.863468277643625,1.3851110258755739e-08,0.652544804166057,0.6525448118484992,7.682442237921805e-09,0.0001143887796205,0.0001144597368696
ismail II,2.0345280362309572,2.0345280537266754,1.749571820752749e-08,0.7125395891698403,0.7125396001391624,1.0969322117304614e-08,0.0001363855707674,0.0001365037714601
pade8 I,4.701100312443623,4.701100312480591,3.696776218475861e-11,0.1471261962262831,0.1471261962765302,5.0247112026724494e-11,0.00034781444637645,0.00034781509822744995
pade8 II,4.110906218211734,4.110906218312521,1.0078693435389141e-10,0.1286200688903329,0.1286200691025899,2.12257017517814e-10,0.00026586058217425003,0.0002658608281509
