W,a,v,vth,resid
10,0.1063879151815304,2.186749911105553,2.1867337253325583,0.0014789441791579
14,0.106387915692201,2.1867499111120177,2.186733735721454,0.0014789612279805
20,0.1063879156930503,2.1867499111120234,2.186733735738731,0.0014789612529901
30,0.1063879156930503,2.1867499111120234,2.186733735738731,0.0014789612529911
