A,v,vth,delta,resid
0.1710966931387481,3.534910613023828,3.53491032741411,2.85609718098101e-07,1.2169667345951852e-05
0.1710966931389559,3.5349106414191453,3.5349103274184026,3.140007427404612e-07,1.2169670667701576e-05
0.1710966931392243,3.5349105746491034,3.5349103274239466,2.4722515679087564e-07,1.216968084990834e-05
0.1710966931390006,3.5349106644939385,3.5349103274193263,3.3707461222221013e-07,1.216968084990834e-05
0.1710966931392691,3.534910596978179,3.534910327424872,2.6955330678646305e-07,1.2169712297846626e-05
0.1710966931391868,3.534910572872897,3.534910327423172,2.454497249892995e-07,1.2169667345951852e-05
0.1710966931390006,3.534910569986743,3.5349103274193263,2.4256741681938365e-07,1.2169670667701576e-05
0.1710966931389559,3.534910621033082,3.5349103274184026,2.93614679236498e-07,1.2169712297846626e-05
0.1710966931391868,3.5349105741786238,3.534910327423172,2.46755451627223e-07,1.2169687766596213e-05
0.1710966931392691,3.534910591974051,3.534910327424872,2.6454917900764485e-07,1.2169712297846626e-05
0.1710966931391868,3.5349105740563442,3.534910327423172,2.4663317210738e-07,1.2169712297846626e-05
0.1710966931390006,3.53491057437733,3.5349103274193263,2.469580038244601e-07,1.2169670667701576e-05
0.1710966931391868,3.5349106046142165,3.534910327423172,2.771910443399861e-07,1.2169687766596213e-05
0.1710966931390006,3.534910661874471,3.5349103274193263,3.3445514446839297e-07,1.216968084990834e-05
0.1710966931389559,3.5349106123969234,3.5349103274184026,2.849785207814648e-07,1.216968084990834e-05
0.1710966931389559,3.534910574665255,3.5349103274184026,2.4724685232513366e-07,1.2169716169214135e-05
0.1710966931392243,3.534910636662462,3.5349103274239466,3.0923851523922963e-07,1.2169670667701576e-05
0.1710966931391868,3.534910570229883,3.534910327423172,2.428067107373977e-07,1.2169687766596213e-05
0.1710966931392243,3.5349105946351016,3.5349103274239466,2.6721115498062886e-07,1.2169718324588554e-05
0.1710966931391868,3.534910571266267,3.534910327423172,2.4384309504910107e-07,1.2169667345951852e-05
0.1710966931387481,3.5349106256688536,3.53491032741411,2.982547435692595e-07,1.2169716169214135e-05
0.1710966931389559,3.5349105755347767,3.5349103274184026,2.4811637411303877e-07,1.216968084990834e-05
0.1710966931390006,3.534910576246178,3.5349103274193263,2.48826851567685e-07,1.2169687766596213e-05
0.1710966931390006,3.5349106585224637,3.5349103274193263,3.311031373520734e-07,1.2169670667701576e-05
0.1710966931389559,3.5349105736128275,3.5349103274184026,2.4619442484663523e-07,1.2169712297846626e-05
0.1710966931391868,3.5349106178870047,3.534910327423172,2.9046383254183183e-07,1.216968084990834e-05
0.1710966931392243,3.5349106092607983,3.5349103274239466,2.818368516344094e-07,1.2169712297846626e-05
0.1710966931392243,3.534910606587904,3.5349103274239466,2.7916395728411203e-07,1.216968084990834e-05
0.171096693139484,3.5349106216472146,3.5349103274293108,2.942179038178949e-07,1.2169712297846626e-05
0.1710966931392243,3.5349106276665077,3.5349103274239466,3.0024256103544644e-07,1.216968084990834e-05
0.1710966931390006,3.5349105734155146,3.5349103274193263,2.4599618830833947e-07,1.2169712297846626e-05
0.1710966931427907,3.534910617462877,3.534910327497612,2.899652646881634e-07,1.2237732441983326e-05
0.1710966931390006,3.534910641911252,3.5349103274193263,3.14491925834659e-07,1.2169712297846626e-05
0.1710966931392243,3.5349105729860653,3.5349103274239466,2.4556211863924204e-07,1.2169687766596213e-05
0.1710966931389559,3.534910611729522,3.5349103274184026,2.843111195360848e-07,1.2169718324588554e-05
0.1710966931389559,3.5349105746069442,3.5349103274184026,2.471885416355235e-07,1.2169712297846626e-05
0.1710966931389559,3.5349105741580624,3.5349103274184026,2.4673965981492074e-07,1.216968084990834e-05
0.1710966931390006,3.5349106474949363,3.5349103274193263,3.20075610016346e-07,1.2169716169214135e-05
0.1710966931392691,3.534910631579975,3.534910327424872,3.0415510288150926e-07,1.2169712297846626e-05
0.1710966931391868,3.534910654719696,3.534910327423172,3.272965236611469e-07,1.2169716169214135e-05
0.1710966931387481,3.53491057502163,3.53491032741411,2.476075198210026e-07,1.216968084990834e-05
0.1710966931389559,3.534910612819248,3.5349103274184026,2.854008451791401e-07,1.216968084990834e-05
0.1710966931391868,3.534910605265301,3.534910327423172,2.778421288596178e-07,1.2169665225821188e-05
0.1710966931392691,3.534910593967931,3.534910327424872,2.6654305873563544e-07,1.2169687766596213e-05
0.1710966931392691,3.534910596194159,3.534910327424872,2.68769286826398e-07,1.2169687766596213e-05
0.1710966931387481,3.5349105736986357,3.53491032741411,2.462845256623325e-07,1.2169667345951852e-05
0.1710966931389559,3.534910575056219,3.5349103274184026,2.47637816475077e-07,1.216968084990834e-05
0.1710966931389559,3.534910574823293,3.5349103274184026,2.47404890352243e-07,1.216968084990834e-05
0.1710966931389559,3.534910572821976,3.5349103274184026,2.4540357346225505e-07,1.2169712297846626e-05
0.1710966931392691,3.5349105751559513,3.534910327424872,2.477310792059484e-07,1.2169718324588554e-05
0.1710966931392243,3.5349106003341215,3.5349103274239466,2.7291017490327363e-07,1.2169716169214135e-05
0.171096693139484,3.5349106140744873,3.5349103274293108,2.8664517648380183e-07,1.2169718324588554e-05
0.1710966931391868,3.5349106030920274,3.534910327423172,2.756688552985054e-07,1.2169712297846626e-05
0.1710966931392691,3.534910594221573,3.534910327424872,2.667967007319305e-07,1.2169716169214135e-05
0.1710966931391868,3.5349105961092113,3.534910327423172,2.6868603919538714e-07,1.216968084990834e-05
0.1710966931392243,3.5349106018392096,3.5349103274239466,2.7441526295746144e-07,1.216968084990834e-05
0.1710966931390006,3.534910606058414,3.5349103274193263,2.7863908780290103e-07,1.216968084990834e-05
0.1710966931389559,3.53491061408176,3.5349103274184026,2.866633574960531e-07,1.2169712297846626e-05
0.1710966931389559,3.534910615076417,3.5349103274184026,2.8765801429742055e-07,1.2169687766596213e-05
0.1710966931387481,3.534910636677309,3.53491032741411,3.092631990497807e-07,1.2169712297846626e-05
0.1710966931392243,3.5349106080082144,3.5349103274239466,2.8058426781996104e-07,1.2169712297846626e-05
0.1710966931392243,3.5349106026007995,3.5349103274239466,2.751768528597154e-07,1.2169687766596213e-05
0.1710966931389559,3.534910573549908,3.5349103274184026,2.4613150539920525e-07,1.2169712297846626e-05
0.1710966931390006,3.53491059907176,3.5349103274193263,2.7165243388083127e-07,1.2169718324588554e-05
0.1710966931389559,3.5349105731420187,3.5349103274184026,2.457236161212961e-07,1.2169687766596213e-05
0.1710966931390006,3.534910612973023,3.5349103274193263,2.855536966883676e-07,1.216968084990834e-05
0.1710966931390006,3.534910570203267,3.5349103274193263,2.4278394050725183e-07,1.2169687766596213e-05
0.1710966931389559,3.534910575560048,3.5349103274184026,2.481416454536145e-07,1.2169712297846626e-05
0.1710966931392691,3.5349105955903655,3.534910327424872,2.6816549336672324e-07,1.2169712297846626e-05
0.1710966931389559,3.534910569649328,3.5349103274184026,2.4223092554009895e-07,1.2169687766596213e-05
0.1710966931389559,3.5349106391173075,3.5349103274184026,3.11698904909008e-07,1.2169716169214135e-05
0.1710966931392243,3.5349106195811526,3.5349103274239466,2.921572059833011e-07,1.2169687766596213e-05
0.1710966931390006,3.534910608920117,3.5349103274193263,2.8150079067756906e-07,1.2169687766596213e-05
0.171096693139484,3.534910644628094,3.5349103274293108,3.171987832395473e-07,1.2169718324588554e-05
0.1710966931391868,3.534910615944172,3.534910327423172,2.885209999803351e-07,1.2169667345951852e-05
0.1710966931391868,3.5349105744140346,3.534910327423172,2.469908624291861e-07,1.2169670667701576e-05
0.1710966931391868,3.534910574082273,3.534910327423172,2.466591006999863e-07,1.2169665225821188e-05
0.1710966931392691,3.534910611682112,3.534910327424872,2.842572399686105e-07,1.2169712297846626e-05
0.1710966931391868,3.5349105737968385,3.534910327423172,2.4637366635715807e-07,1.2169687766596213e-05
0.1710966931390006,3.5349106023899806,3.5349103274193263,2.749706542459762e-07,1.2169687766596213e-05
0.1710966931392243,3.534910621440015,3.5349103274239466,2.9401606838064254e-07,1.2169712297846626e-05
0.1710966931389559,3.5349106750100914,3.5349103274184026,3.47591688765192e-07,1.216968084990834e-05
0.1710966931391868,3.534910609411202,3.534910327423172,2.819880298154942e-07,1.2169670667701576e-05
0.1710966931391868,3.53491057328898,3.534910327423172,2.458658077131304e-07,1.216968084990834e-05
0.1710966931392243,3.5349106066841482,3.5349103274239466,2.7926020162993836e-07,1.2169667345951852e-05
0.1710966931392691,3.534910593165086,3.534910327424872,2.6574021383396484e-07,1.2169687766596213e-05
0.1710966931389559,3.5349105710812214,3.5349103274184026,2.4366281881071927e-07,1.2169687766596213e-05
0.1710966931391868,3.5349105733275406,3.534910327423172,2.4590436842331087e-07,1.2169712297846626e-05
0.1710966931391868,3.53491063726704,3.534910327423172,3.0984386789612017e-07,1.216968084990834e-05
0.1710966931391868,3.5349105746362226,3.534910327423172,2.472130504749259e-07,1.2169712297846626e-05
0.1710966931392691,3.5349106732363804,3.534910327424872,3.458115083176949e-07,1.2169687766596213e-05
0.1710966931392691,3.534910594003904,3.534910327424872,2.6657903173799014e-07,1.2169687766596213e-05
0.1710966931427907,3.534910623015255,3.534910327497612,2.95517642801002e-07,1.2237732441983326e-05
0.1710966931391868,3.5349106371259142,3.534910327423172,3.0970274211838955e-07,1.2169712297846626e-05
0.171096693139484,3.53491063380327,3.5349103274293108,3.063739590913883e-07,1.2169712297846626e-05
0.1710966931390006,3.5349105738495936,3.5349103274193263,2.464302673033103e-07,1.2169670667701576e-05
0.1710966931390006,3.53491061965602,3.5349103274193263,2.9223669351097215e-07,1.216968084990834e-05
0.1710966931390006,3.5349106162251207,3.5349103274193263,2.8880579439061194e-07,1.2169712297846626e-05
0.1710966931391868,3.534910604471435,3.534910327423172,2.7704826299768115e-07,1.216968084990834e-05
0.1710966931391868,3.534910609838601,3.534910327423172,2.8241542882057047e-07,1.216968084990834e-05
0.1710966931391868,3.534910635399364,3.534910327423172,3.079761916602308e-07,1.2169712297846626e-05
0.1710966931392691,3.534910596206855,3.534910327424872,2.687819828928184e-07,1.2169716169214135e-05
0.1710966931390006,3.5349105720841196,3.5349103274193263,2.4466479331408664e-07,1.2169670667701576e-05
0.1710966931390006,3.5349106125440946,3.5349103274193263,2.851247682400526e-07,1.216968084990834e-05
0.1710966931389559,3.534910570962955,3.5349103274184026,2.435445525250657e-07,1.2169687766596213e-05
0.1710966931392691,3.5349105886268575,3.534910327424872,2.6120198537427086e-07,1.2169687766596213e-05
0.1710966931387481,3.53491057384683,3.53491032741411,2.464327200080163e-07,1.216968084990834e-05
0.1710966931392243,3.5349106235788055,3.5349103274239466,2.961548588586993e-07,1.2169716169214135e-05
0.1710966931389559,3.534910632749728,3.5349103274184026,3.053313255563239e-07,1.216968084990834e-05
0.1710966931390006,3.53491063648487,3.5349103274193263,3.0906554382426066e-07,1.216968084990834e-05
0.1710966931392691,3.5349105928289064,3.534910327424872,2.6540403430530546e-07,1.2169712297846626e-05
