A,v,vth,delta,resid
0.1025621703872865,2.118339884203144,2.118338900777965,9.834251786244863e-07,8.609391312046539e-05
0.1025621703778929,2.1183401325996893,2.118338900584067,1.2320156224099321e-06,8.713642199769674e-05
0.1025621703838747,2.118339905754561,2.11833890070754,1.0050470207190187e-06,8.609382200316195e-05
0.1025621703873877,2.118340039678316,2.118338900780054,1.1388982619209287e-06,8.606423113212973e-05
0.102562169779472,2.118340089688573,2.1183388882317318,1.2014568411267135e-06,8.607838610917358e-05
0.1025621702354512,2.1183399342135423,2.118338897643849,1.0365696931913249e-06,8.69985475179113e-05
0.1025621703873289,2.1183400785328335,2.1183389007788405,1.1777539929980207e-06,8.608002429230955e-05
0.1025621702354512,2.1183397715251724,2.118338897643849,8.738813233044596e-07,8.607838610917358e-05
0.1025621698045938,2.1183399885263134,2.118338888750285,1.0997760284681135e-06,8.603261724920812e-05
0.1025621703857669,2.1183399772223437,2.1183389007465983,1.076475745431793e-06,8.627749832123886e-05
0.1025621702613427,2.118340196265878,2.11833889817829,1.2980875880863607e-06,8.69985475179113e-05
0.1025621698045938,2.1183397835079405,2.118338888750285,8.947576555229375e-07,8.603261724920812e-05
0.1025621703792153,2.118340003373147,2.1183389006113633,1.1027617836667503e-06,8.627749265554245e-05
0.1025621703873877,2.1183400075854117,2.118338900780054,1.106805357586893e-06,8.606423113212973e-05
0.1025621703873877,2.118340042669873,2.118338900780054,1.141889818701003e-06,8.606423113212973e-05
0.102562169779472,2.1183400532245042,2.1183388882317318,1.1649927724732834e-06,8.607838610917358e-05
0.1025621703856176,2.118340029676045,2.1183389007435167,1.1289325283492246e-06,8.608002233765382e-05
0.1025621703873289,2.118340009753339,2.1183389007788405,1.1089744984538186e-06,8.608002429230955e-05
0.1025621703857669,2.1183400026584605,2.1183389007465983,1.101911862200211e-06,8.627749832123886e-05
0.1025621703746251,2.118340044347618,2.118338900516614,1.1438310036915311e-06,8.71373469923849e-05
0.1025621702613427,2.1183397662913968,2.11833889817829,8.681131067334036e-07,8.627282904228075e-05
0.1025621703857669,2.118339916580988,2.1183389007465983,1.0158343899391298e-06,8.627749832123886e-05
0.1025621703857668,2.118339951317526,2.118338900746596,1.0505709298058719e-06,8.627749832106004e-05
0.1025621703856176,2.1183400920177626,2.1183389007435167,1.1912742459152525e-06,8.627749265554245e-05
0.1025621702354512,2.11833991019072,2.118338897643849,1.0125468707933294e-06,8.607838610917358e-05
0.102562170379388,2.118340049285041,2.118338900614928,1.1486701128049503e-06,8.699843396526956e-05
0.1025621703746251,2.1183400452482095,2.118338900516614,1.144731595292825e-06,8.71373469923849e-05
0.1025621703857668,2.1183400111328003,2.118338900746596,1.1103862043171375e-06,8.627749832106004e-05
0.1025621703838747,2.1183400118320694,2.11833890070754,1.1111245292738658e-06,8.609382200316195e-05
0.1025621703838747,2.118339933630043,2.11833890070754,1.0329225026417532e-06,8.608002233765382e-05
0.1025621703838747,2.118339988546967,2.11833890070754,1.0878394269830949e-06,8.606420822837829e-05
0.1025621698045938,2.1183399420864166,2.118338888750285,1.0533361316511503e-06,8.604588354353229e-05
0.1025621703746251,2.1183399953555417,2.118338900516614,1.0948389275178272e-06,8.699843412596072e-05
0.1025621703838747,2.1183399724526315,2.11833890070754,1.0717450913411142e-06,8.609382200316195e-05
0.1025621702354512,2.118339847425253,2.118338897643849,9.497814037473518e-07,8.627282904228075e-05
0.1025621703857668,2.118339855909844,2.118338900746596,9.551632480508943e-07,8.627749832106004e-05
0.1025621703872865,2.1183400492394244,2.118338900777965,1.1484614592660591e-06,8.609391312046539e-05
0.1025621703857668,2.118339979663656,2.118338900746596,1.0789170601377407e-06,8.627749832106004e-05
0.1025621703792153,2.118339779511053,2.1183389006113633,8.78899689471524e-07,8.609382200316195e-05
