h,kappa,L,N,fixed_point_residual,rho_F,lambda_real,lambda_imag,eigenpair_residual,edge_fraction
0.01,5,14.0,1400,2.805082832679773e-10,1.0566149687047977,-1.0566149687047977,0.0,8.854752171220025e-12,0.9988766357300994
0.01,5,16.0,1600,2.798551390625903e-10,1.0566100637277567,-1.0566100637277567,0.0,5.015665585317502e-11,0.9988768137561985
0.01,5,20.0,2000,2.8008484420638524e-10,1.0566086293582224,-1.0566086293582224,0.0,9.865807567386785e-11,0.9988767045990254
