h,kappa,stage_tol,outer_ftol,fixed_point_residual,rho_F,lambda_real,lambda_imag,eigenpair_residual,edge_fraction
0.01,5,1e-10,1e-08,2.732615783743739e-09,1.056800493594747,-1.056800493594747,0.0,2.266716429315681e-09,0.9988845657471969
0.01,5,1e-12,1e-10,2.8048430245064537e-10,1.056613518979034,-1.056613518979034,0.0,2.412878193038571e-09,0.9988766088523621
0.01,5,2e-13,2e-10,2.8050806122337235e-10,1.056614964043826,-1.056614964043826,0.0,2.411763011873592e-09,0.9988766362917428
0.02,20,1e-10,1e-08,7.71801986990811e-09,1.1309056421271595,-1.1309056421271595,0.0,2.096956304625808e-12,0.9996390481569966
0.02,20,1e-12,1e-10,1.6674805980443352e-10,1.1309417626429252,-1.1309417626429252,0.0,2.0792720156114106e-12,0.9996396010061903
