h,method,order_assumed,kappa_coarse,kappa_fine,rho_coarse,rho_fine,richardson_rho_infinity,last_step_correction
0.01,midpoint,2,40,80,1.0952435185620133,1.0957328340784935,1.0958959392506535,0.0001631051721600052
0.01,gl4,4,40,80,1.0958936492896318,1.095893961508199,1.0958939823227702,2.0814571177751873e-08
0.01,gl6,6,10,20,1.0958924979650857,1.0958942854720797,1.0958943138452066,2.837312695902483e-08
0.02,midpoint,2,40,80,1.133420963285237,1.1340170257704547,1.1342157132655273,0.00019868749507256922
0.02,gl4,4,40,80,1.1342141693777494,1.1342144166820032,1.1342144331689534,1.6486950249472443e-08
0.02,gl6,6,10,20,1.134213816200215,1.1342142019700434,1.134214208093374,6.123330509311131e-09
