implementation,method,kappa,one_cell_time_s,rho_abs_error,free_wave_velocity_relative_error_a0p1
midpoint_banded,midpoint,20,0.0160563270001148,0.003267637123773426,0.0002911852287466
midpoint_banded,midpoint,40,0.0310775540001486,0.0007932223886593093,7.28361045475113e-05
midpoint_banded,midpoint,80,0.0621620199999597,0.00019715990344160161,
gl4_banded,gl4,3,0.011422064999806,,5.3401732660288815e-05
gl4_banded,gl4,5,0.0206745099999352,0.00028815529101855475,7.008321297442239e-06
gl4_banded,gl4,10,0.0380777730001682,1.6589935322386395e-05,4.402175234427242e-07
gl6_generic,gl6,2,0.0316057129998625,0.00016147033765601115,1.750405788353281e-06
gl6_generic,gl6,5,0.0585263030002352,1.866684782081407e-06,7.404043446251609e-09
