h,rho_reference,reference_min,reference_max,reference_half_range,reference_std
0.01,1.0958938053989153,1.0958924979650857,1.0958942854720797,8.937534969888361e-07,7.783448810000418e-07
0.02,1.1342141856738963,1.134213816200215,1.1342144166820032,3.0024089403557497e-07,2.487391515560776e-07
