h,kappa,method,rho_F,lambda1_real,lambda1_imag,mode_type,rho_abs_error_to_reference,lambda_residual
0.01,5,midpoint,1.05663290575344,-1.05663290575344,0.0,real,0.0392608996454753,3.7936943913142016e-11
0.01,5,gl4,1.0956649963697636,-1.0851686153145603,0.1512972590836782,complex,0.00022880902915178858,3.637018150780877e-10
0.01,5,gl6,1.0959202191988522,-1.0853852299640878,-0.1515916535455187,complex,2.6413799936841897e-05,1.0196298736575704e-11
0.02,20,midpoint,1.1309465485501229,-1.1309465485501229,0.0,real,0.003267637123773426,1.508862206095708e-11
0.02,20,gl4,1.1342151560202751,-1.1342151560202751,0.0,real,9.70346378803555e-07,7.932018330321245e-12
0.02,20,gl6,1.1342142019700434,-1.1342142019700434,0.0,real,1.629614709841576e-08,1.995694914839228e-11
