track,cell_min,cell_max,n,A_over_h2_median,A_over_h2_std,profile_residual_median,profile_residual_max,relative_slope_cells_per_cell,absolute_velocity_fit,semidiscrete_velocity_prediction,velocity_relative_error,center_fit_RMSE_cells
GL4 packet I,370,420,11,0.1710966931391868,1.2172268138525081e-11,1.2169687766596213e-05,1.9262114180879625e-05,2.5349106039327967,3.5349106039327967,3.535119854810063,-5.9192017770402607e-05,1.1057233552462026e-06
GL4 packet II,425,455,5,0.0590857613075259,4.765396284447936e-11,2.3778200201165324e-06,2.747276611277837e-05,0.22080138915032888,1.2208013891503289,1.2208023667931645,-8.00819905144649e-07,8.177378268093425e-07
