cell,xi,demodulated_normalized,Fh,residual_over_A,A_over_h2
400,-24.926637016473933,7.176196667799685e-09,7.175375641591062e-09,8.210262086236031e-13,0.17109669313861656
400,-23.926637016473933,1.666653748700204e-08,1.6664622322684622e-08,1.915164317420992e-12,0.17109669313861656
400,-22.926637016473933,3.870760584523941e-08,3.870314896139859e-08,4.4568838408197e-12,0.17109669313861656
400,-21.926637016473933,8.989740216899328e-08,8.988704647771083e-08,1.0355691282456237e-11,0.17109669313861656
400,-20.926637016473933,2.0878433327418813e-07,2.087602844374931e-07,2.40488366950286e-11,0.17109669313861656
400,-19.926637016473933,4.848959705148088e-07,4.848401268727532e-07,5.584364205574612e-11,0.17109669313861656
400,-18.926637016473933,1.1261572341722895e-06,1.1260275504673473e-06,1.2968370494205432e-10,0.17109669313861656
400,-17.926637016473933,2.615465450856643e-06,2.6151642767271227e-06,3.011741295202176e-10,0.17109669313861656
400,-16.926637016473933,6.074321575560602e-06,6.073622127507136e-06,6.994480534660417e-10,0.17109669313861656
400,-15.926637016473933,1.4107298796969977e-05,1.4105674451337725e-05,1.6243456322529966e-09,0.17109669313861656
400,-14.926637016473933,3.2763000093397056e-05,3.2759228170923984e-05,3.7719224730677775e-09,0.17109669313861656
400,-13.926637016473933,7.608672023879877e-05,7.607796320307169e-05,8.75703572707557e-09,0.17109669313861656
400,-12.926637016473933,0.00017668520555413997,0.00017666488460485433,2.0320949285646907e-08,0.17109669313861656
400,-11.926637016473933,0.00041021633033342265,0.0004101692269948552,4.710333856741818e-08,0.17109669313861656
400,-10.926637016473933,0.0009520151728158616,0.0009519062650780458,1.0890773781575735e-07,0.17109669313861656
400,-9.926637016473933,0.002207271189960436,0.0022070208302667153,2.5035969372084476e-07,0.17109669313861656
400,-8.926637016473933,0.005106343546225715,0.005105775336837104,5.682093886111159e-07,0.17109669313861656
400,-7.926637016473933,0.011754793498699798,0.01175353873639108,1.2547623087196503e-06,0.17109669313861656
400,-6.926637016473933,0.026770109229166648,0.026767486705168243,2.6225239984053335e-06,0.17109669313861656
400,-5.926637016473933,0.059632538057606314,0.059627585900284816,4.952157321494839e-06,0.17109669313861656
400,-4.926637016473933,0.12739154421160676,0.1273836544817248,7.889729881949972e-06,0.17109669313861656
400,-3.926637016473933,0.2534725516460914,0.2534629053586011,9.646287490311356e-06,0.17109669313861656
400,-2.926637016473933,0.453289345044495,0.45328170181790123,7.643226593804995e-06,0.17109669313861656
400,-1.9266370164739328,0.7033392172750823,0.7033377457011386,1.4715739437237927e-06,0.17109669313861656
400,-0.9266370164739328,0.9206798966285095,0.9206852208774162,-5.324248906807724e-06,0.17109669313861656
400,0.07336298352606718,0.9994719128281573,0.9994798570123931,-7.944184235904182e-06,0.17109669313861656
400,1.0733629835260672,0.8951944873852814,0.8951989728766827,-4.4854914013803975e-06,0.17109669313861656
400,2.073362983526067,0.6661168174845515,0.6661142746878443,2.542796707140806e-06,0.17109669313861656
400,3.073362983526067,0.41961544030693965,0.41960720182957956,8.238477360107646e-06,0.17109669313861656
400,4.073362983526067,0.2304662085450443,0.23045663598606345,9.572558980839105e-06,0.17109669313861656
400,5.073362983526067,0.1143820389250299,0.11437456506763229,7.473857397609776e-06,0.17109669313861656
400,6.073362983526067,0.05312917990838881,0.05312462814182318,4.551766565630512e-06,0.17109669313861656
400,7.073362983526067,0.023749431130542963,0.023747065212094184,2.3659184487803584e-06,0.17109669313861656
400,8.073362983526067,0.01040629477176208,0.01040517459720306,1.1201745590208794e-06,0.17109669313861656
400,9.073362983526067,0.004516062009306857,0.004515557463899496,5.045454073610948e-07,0.17109669313861656
400,10.073362983526067,0.0019512445789957632,0.0019510228386964202,2.2174029934303574e-07,0.17109669313861656
400,11.073362983526067,0.000841423506195233,0.0008413271602683931,9.634592683991515e-08,0.17109669313861656
400,12.073362983526067,0.0003625322510359015,0.0003624906022371938,4.164879870765382e-08,0.17109669313861656
400,13.073362983526067,0.0001561413235294276,0.00015612335977946746,1.7963749960162122e-08,0.17109669313861656
400,14.073362983526067,6.723874788050229e-05,6.723100740223848e-05,7.74047826379564e-09,0.17109669313861656
400,15.073362983526067,2.8952857692101823e-05,2.8949523768364516e-05,3.3339237373108637e-09,0.17109669313861656
400,16.073362983526067,1.2466666850802804e-05,1.246523114399314e-05,1.435706809662932e-09,0.17109669313861656
400,17.073362983526067,5.3678913443165115e-06,5.367273123261325e-06,6.182210551862354e-10,0.17109669313861656
400,18.073362983526067,2.3112913107455743e-06,2.3110251099179507e-06,2.6620082762349976e-10,0.17109669313861656
400,19.073362983526067,9.95186843781118e-07,9.950722227115823e-07,1.1462106953559418e-10,0.17109669313861656
400,20.073362983526067,4.2850324854759757e-07,4.28453898350605e-07,4.935019699253428e-11,0.17109669313861656
400,21.073362983526067,1.8450299022752002e-07,1.8448174732221796e-07,2.1242905302077538e-11,0.17109669313861656
400,22.073362983526067,7.94424423748341e-08,7.943330376598005e-08,9.138608854040388e-12,0.17109669313861656
400,23.073362983526067,3.4205948737066185e-08,3.420202445124469e-08,3.924285821490587e-12,0.17109669313861656
400,24.073362983526067,1.4728219129520435e-08,1.4726548946071562e-08,1.6701834488748587e-12,0.17109669313861656
400,25.073362983526067,6.341564688966057e-09,6.340889015088739e-09,6.756738773169627e-13,0.17109669313861656
