case,method,kappa,sign,rho_F,max_ahead_HP,min_fit_residual,n_fits_below_0p02,runtime_s
h002_mid_k20,midpoint,20,-1,1.130946548553021,0.17444495524351905,0.44302600771824047,0,9.922099590301514
h002_mid_k20,midpoint,20,1,1.130946548553021,0.18825039386882034,0.4223428352598781,0,9.150982141494751
