method,power,coefficient,fit_chi_max,n,rmse,fit_type
midpoint,2,-11.659750505447363,0.0360374420016715,14,2.998648358941095e-07,
midpoint,4,451.5793964946964,0.0360374420016715,14,2.998648358941095e-07,
midpoint,6,-20721.548368172465,0.0360374420016715,14,2.998648358941095e-07,
gl4,4,-44.08676346018345,0.0500006587869007,15,4.142775027545632e-09,
gl4,6,721.3395092871449,0.0500006587869007,15,4.142775027545632e-09,
gl4,8,7614.503872841614,0.0500006587869007,15,4.142775027545632e-09,
midpoint,2,-11.459127263798502,0.025,10,1.6430449422880367e-05,leading_only
gl4,4,-43.24402969394734,0.04,14,8.778607550335692e-08,leading_only
