h,kappa,method_a,method_b,Linf,relative_to_compacton_peak,Linf_over_h2,relL2
0.01,5,midpoint,gl4,1.2918536962527394e-08,9.688902721895546e-09,0.00012918536962527394,1.109946841775123e-09
0.01,5,gl4,gl6,9.045299708889006e-09,6.783974781666754e-09,9.045299708889006e-05,1.4801337776542397e-09
0.01,5,midpoint,gl6,1.2987233837533771e-08,9.740425378150328e-09,0.0001298723383753377,1.8183609565718836e-09
0.02,20,midpoint,gl4,9.565049377172714e-08,7.173787032879536e-08,0.00023912623442931785,1.1055246650671676e-08
0.02,20,gl4,gl6,4.629837287097212e-09,3.472377965322909e-09,1.157459321774303e-05,1.2226616625950725e-09
0.02,20,midpoint,gl6,9.825527345357792e-08,7.369145509018344e-08,0.0002456381836339448,1.133658022337435e-08
