h,method,observed_order,R2_loglog,kappa_min,kappa_max,n
0.01,midpoint,1.9957019915325032,0.9999977375285128,5,80,6
0.01,gl4,3.9511625081795594,0.9999020532647841,1,20,8
0.01,gl6,5.930975589191424,0.9999636481416181,1,8,6
0.02,midpoint,1.9934691099280684,0.9999970531597729,5,40,4
0.02,gl4,3.9511238084963383,0.9999066407784554,1,20,6
0.02,gl6,5.930968608325793,0.9999636776900109,1,8,6
