h,method,kappa,dt,N,x0,fixed_point_residual,fixed_point_was_solved,solve_runtime_s,spectrum_runtime_s,ritz_iterations,adjoint_relative_error,right_edge_energy_fraction,left_edge_energy_fraction,edge_energy_fraction,lambda1_real,lambda1_imag,lambda1_abs,lambda1_residual,lambda2_real,lambda2_imag,lambda2_abs,lambda2_residual,lambda3_real,lambda3_imag,lambda3_abs,lambda3_residual,lambda4_real,lambda4_imag,lambda4_abs,lambda4_residual,rho_F,mode_type
0.01,gl6,2,0.005,,,9.081244234691428e-10,,,0.922170877456665,,,,,,-1.0852123295042908,-0.1513813572838298,,4.0136149806503045e-11,,,,,,,,,,,,,1.095719907385653,
0.01,gl6,5,0.002,1600.0,7.999314692820414,1.989228761488947e-11,False,0.0,1.9411652088165283,280.0,6.706356360174617e-13,0.6613480206780546,0.3376696810268076,0.9990177017048624,-1.0853852299640878,-0.15159165354551873,1.0959202191988522,1.0196298736575705e-11,-1.0853626753788772,0.1515696139239661,1.0958948329883913,5.1012493858228654e-11,-0.8883945468016914,0.5320998915654528,1.0355554863892853,0.0002689601713921,-0.8883945468016914,-0.5320998915654528,1.0355554863892853,0.0002689601713921,1.0959202191988522,complex
0.01,gl6,10,0.001,1600.0,7.999314692820414,2.4022882726378926e-09,False,0.0,4.018321752548218,300.0,5.1230808308628734e-14,0.6613199373580881,0.3376976913955559,0.999017628753644,-1.085360251327691,-0.1515700891800456,1.0958924979650857,4.5889931807284775e-11,-1.085360251327691,0.1515700891800456,1.0958924979650857,4.5889931807284775e-11,-0.8884114167807329,0.5321185091862074,1.035579525331059,0.0004496208877304,-0.8884114167807329,-0.5321185091862074,1.035579525331059,0.0004496208877304,1.0958924979650857,complex
0.01,gl6,20,0.0005,1600.0,7.999314692820414,2.3913608461937166e-09,False,0.0,7.748075246810913,280.0,2.0867132042342282e-13,0.6613256549435973,0.3376920332532186,0.999017688196816,-1.085362033905107,-0.1515702486892738,1.0958942854720797,4.807753741919404e-11,-1.085362033905107,0.1515702486892738,1.0958942854720797,4.807753741919404e-11,-0.8883863296576402,0.5320917299228933,1.0355442432725463,0.0002632239522612,-0.8883863296576402,-0.5320917299228933,1.0355442432725463,0.0002632239522612,1.0958942854720797,complex
0.02,gl6,2,0.01,,,2.6650800221740024e-10,,,0.4298200607299804,,,,,,-1.1340527153362403,0.0,,9.169436442854064e-13,,,,,,,,,,,,,1.1340527153362403,
0.02,gl6,5,0.004,800.0,8.001814692820414,2.461056028565077e-10,False,0.0,1.0410797595977783,220.0,1.428256307753207e-14,0.7943912223270061,0.2052291787886283,0.9996204011156344,-1.1342123189891142,0.0,1.1342123189891142,3.443979169313638e-14,-0.9720778320326942,-0.4154511126063383,1.0571352508053202,7.267275676134152e-05,-0.9720778320326942,0.4154511126063383,1.0571352508053202,7.267275676134152e-05,-0.5424309899217473,-0.795837027805169,0.9631136763919678,0.4040200332456619,1.1342123189891142,real
0.02,gl6,10,0.002,800.0,8.001814692820414,3.1604036531893143e-10,False,0.0,1.7061705589294434,240.0,1.6861968905010033e-13,0.7943961491434836,0.2052242310024584,0.999620380145942,-1.134213816200215,0.0,1.134213816200215,3.459311665921865e-12,-0.9720758614451296,-0.4154531837174838,1.057134252715938,3.947485438230693e-05,-0.9720758614451296,0.4154531837174838,1.057134252715938,3.947485438230693e-05,-0.4702626225246847,-0.7373818104691873,0.8745735352471,0.4351778503341,1.134213816200215,real
0.02,gl6,20,0.001,800.0,8.001814692820414,2.8374941753731486e-10,False,0.0,3.097794532775879,220.0,1.1811275547052042e-13,0.7943963188909553,0.2052240559125938,0.999620374803549,-1.1342142019700434,0.0,1.1342142019700434,1.995694914839228e-11,-0.9720787477216676,-0.4154536567468427,1.0571370926594377,6.401331890782689e-05,-0.9720787477216676,0.4154536567468427,1.0571370926594377,6.401331890782689e-05,-0.4726476023390253,-0.4113461642104922,0.6265791432911845,0.7715775100348827,1.1342142019700434,real
