case,h,kappa,phi_right,seed_class,q0,q0_abs,mu,turn_cell_obs,turn_time_obs,turn_q_obs,turn_cell_pred_using_reference_qturn,turn_cell_error
h0.01_k5_min,0.01,5,0.9375,min,-0.00022894118795089153,0.00022894118795089153,1.0573043642614368,91,0.91,0.018167649072410995,103.0742680915832,-12.074268091583207
h0.01_k5_max,0.01,5,0.375,max,0.002456144706445344,0.002456144706445344,1.056724749080364,120,1.2,0.05106227633187762,61.0916128223447,58.9083871776553
h0.02_k20_min,0.02,20,0.9375,min,7.493227665318663e-05,7.493227665318663e-05,1.1309529835727838,62,1.24,0.08537678283269257,57.54928968033058,4.450710319669419
h0.02_k20_max,0.02,20,0.375,max,-0.001350335785548803,0.001350335785548803,1.1309527095849,39,0.78,0.09105069652191097,34.05261412630503,4.947385873694969
