case,h,kappa,phi_right,seed_class,n_fit,cell_min,cell_max,fitted_log_growth_per_cell,floquet_log_mu,relative_slope_error,R2
h0.01_k5_min,0.01,5,0.9375,min,60,14,73,0.05393980770960995,0.05572261648965464,-0.031994347939057755,0.9995829752896284
h0.01_k5_max,0.01,5,0.375,max,18,13,30,0.04971730899125119,0.05517426529435792,-0.0989040139273909,0.9983010265468564
h0.02_k20_min,0.02,20,0.9375,min,30,16,45,0.12228669372282983,0.12306062560038887,-0.00628902927953745,0.9999779886110168
h0.02_k20_max,0.02,20,0.375,max,17,6,22,0.12080302373883237,0.12306038333751755,-0.018343511839175153,0.9999313977926721
