h,kappa,map_kind,threshold_q,phi_min,phi_max,q0_min,q0_max,seed_ratio,delta_cells_observed,delta_cells_predicted,error_cells,relative_error,delta_time_observed,delta_time_predicted
0.01,5,true,0.01,0.9375,0.375,0.00022894118795089153,0.002456144706445344,10.72827798452847,43.0,42.33342914234376,0.6665708576562395,0.01574573265527186,0.43,0.4233342914234376
0.02,20,true,0.01,0.9375,0.375,7.493227665318663e-05,0.001350335785548803,18.020749480209172,23.0,23.496710561077084,-0.49671056107708367,-0.021139578656592797,0.46,0.46993421122154166
