case,max_abs_q_gauge_difference,rms_q_gauge_difference,max_hp_edge_difference
h0.01_k5_min,1.1132548152100602e-05,5.1243772543168e-06,3.0541663248199666e-05
h0.01_k5_max,6.277609189619948e-05,2.1528837746115573e-05,1.6792107235100856e-05
h0.02_k20_min,4.718410882159976e-05,1.3053388003540291e-05,7.388282016619965e-05
h0.02_k20_max,7.164416997999107e-06,3.399727661599337e-06,1.754430637919413e-05
