case,h,kappa,phi_right,seed_class,map_kind,q0_abs,mu,n_obs_q0.005,n_pred_q0.005,error_q0.005,n_obs_q0.008,n_pred_q0.008,error_q0.008,n_obs_q0.010,n_pred_q0.010,error_q0.010,n_obs_q0.012,n_pred_q0.012,error_q0.012,first_turn_cell,first_turn_q
h0.01_k5_min,0.01,5,0.9375,min,true,0.00022894118795089153,1.0573043642614368,56.0,55.34068994398116,0.659310056018839,65.0,63.775391306811024,1.2246086931889764,70.0,67.7799331853432,2.2200668146568034,74.0,71.0518821403569,2.948117859643105,87.0,0.0177667731057145
h0.01_k5_min,0.01,5,0.9375,min,residual_corrected,0.00022894118795089153,1.0573043642614368,56.0,55.34068994398116,0.659310056018839,65.0,63.775391306811024,1.2246086931889764,70.0,67.7799331853432,2.2200668146568034,74.0,71.0518821403569,2.948117859643105,87.0,0.0177638057536045
h0.01_k5_max,0.01,5,0.375,max,true,0.002456144706445344,1.056724749080364,14.0,12.883632985959265,1.1163670140407351,23.0,21.40216289729091,1.5978371027090894,27.0,25.44650404299944,1.5534959570005604,31.0,28.750971367054564,2.2490286329454356,35.0,0.0140374288058397
h0.01_k5_max,0.01,5,0.375,max,residual_corrected,0.002456144706445344,1.056724749080364,14.0,12.883632985959265,1.1163670140407351,23.0,21.40216289729091,1.5978371027090894,27.0,25.44650404299944,1.5534959570005604,31.0,28.750971367054564,2.2490286329454356,35.0,0.0140384141194435
h0.02_k20_min,0.02,20,0.9375,min,true,7.493227665318663e-05,1.1309529835727838,34.0,34.134463751290625,-0.1344637512906246,38.0,37.953748977191914,0.046251022808085906,40.0,39.76703044090572,0.23296955909427908,42.0,41.24858927342785,0.7514107265721535,62.0,0.0873437761963251
h0.02_k20_min,0.02,20,0.9375,min,residual_corrected,7.493227665318663e-05,1.1309529835727838,34.0,34.134463751290625,-0.1344637512906246,38.0,37.953748977191914,0.046251022808085906,40.0,39.76703044090572,0.23296955909427908,42.0,41.24858927342785,0.7514107265721535,62.0,0.0873458278302135
h0.02_k20_max,0.02,20,0.375,max,true,0.001350335785548803,1.1309527095849,11.0,10.637742101658944,0.36225789834105626,15.0,14.457034846397574,0.5429651536024256,17.0,16.270319879828637,0.7296801201713627,18.0,17.75188162902213,0.24811837097787048,39.0,0.0881374303536436
h0.02_k20_max,0.02,20,0.375,max,residual_corrected,0.001350335785548803,1.1309527095849,11.0,10.637742101658944,0.36225789834105626,15.0,14.457034846397574,0.5429651536024256,17.0,16.270319879828637,0.7296801201713627,18.0,17.75188162902213,0.24811837097787048,39.0,0.0881366738956475
