h,kappa,dt,phi_right,phi_left,x0,N,Ldom,fixed_point_residual,lambda_real,lambda_imag,rho_F,arg_lambda,mode_type,right_eigen_residual,left_eigen_residual,left_ritz_lambda_real,left_ritz_lambda_imag,biorthogonality_real,biorthogonality_imag,right_edge_energy_fraction,left_edge_energy_fraction,two_edge_energy_fraction,q0_real,q0_imag,q0_abs,DN_right,DN_left,DN_pair_norm,right_ritz_iterations,left_ritz_iterations,runtime_s,case
0.01,5.0,0.002,0.0,0.3629385640828673,7.996814692820415,1600,16.0,2.7778557232238654e-10,-1.0565066187726964,0.0,1.0565066187726964,3.141592653589793,real flip,3.56621184833785e-10,6.928364979660546e-10,-1.0565066190978303,0.0,0.9999999999999999,0.0,0.7911679343017078,0.2080161537070885,0.9991840880087963,0.0007405080706584238,0.0,0.0007405080706584238,-0.005555555555555556,-0.001522904843523697,0.005760506635122655,400,380.0,7.587024211883545,h0.01_k5
0.01,5.0,0.002,0.0625,0.42543856408281044,7.997439692820414,1600,16.0,2.807754029277021e-10,-1.0567329609481069,0.0,1.0567329609481069,3.141592653589793,real flip,1.446648495070021e-09,6.541196667306439e-10,-1.0567329609531746,0.0,1.0000000000000002,0.0,0.7920211395679759,0.2071756077401117,0.9991967473080876,0.0012234238173431792,0.0,0.0012234238173431792,-0.004861111111111111,-0.000828460399079884,0.0049312014628700275,380,380.0,7.666414022445679,h0.01_k5
0.01,5.0,0.002,0.125,0.4879385640827536,7.998064692820414,1600,16.0,2.8425184428471084e-10,-1.05744920084129,0.0,1.05744920084129,3.141592653589793,real flip,5.118074032284149e-10,5.315731570970345e-10,-1.057449201126131,0.0,1.0000000000000002,0.0,0.7940422984503949,0.20517589596948102,0.9992181944198759,-0.0016236350351633126,0.0,0.0016236350351633126,-0.004166666666666667,-0.0001340159546360711,0.004168821342682861,400,380.0,7.666100263595581,h0.01_k5
0.01,5.0,0.002,0.1875,0.5504385640826968,7.998689692820413,1600,16.0,2.7857849360657383e-10,-1.0566080905323116,0.0,1.0566080905323116,3.141592653589793,real flip,1.1443426978609157e-09,5.765798119814775e-10,-1.0566080908869766,0.0,0.9999999999999998,0.0,0.7919053923492475,0.20728952219514238,0.9991949145443899,-0.0019818288974763707,0.0,0.0019818288974763707,-0.003472222222222222,0.0005604284898077418,0.0035171589746103332,400,380.0,7.770414352416992,h0.01_k5
0.01,5.0,0.002,0.25,0.6129385640828104,7.999314692820414,1600,16.0,2.796065601273767e-10,-1.0566092152284294,0.0,1.0566092152284294,3.141592653589793,real flip,1.5817816863454327e-09,5.821165866218523e-10,-1.056609216104667,0.0,1.0,0.0,0.7919016528641677,0.20730650728667072,0.9992081601508385,0.0022328350270120517,0.0,0.0022328350270120517,-0.002777777777777778,0.0012548729342534493,0.003048074058128823,380,380.0,7.878988265991211,h0.01_k5
0.01,5.0,0.002,0.3125,0.6754385640827536,7.999939692820414,1600,16.0,2.7947200109679216e-10,-1.0574470875438196,0.0,1.0574470875438196,3.141592653589793,real flip,7.338197450786285e-10,4.379174063440715e-10,-1.0574470879685234,0.0,1.0,0.0,0.7938431777487636,0.2053876569418812,0.9992308346906448,0.002367786577148991,0.0,0.002367786577148991,-0.0020833333333333333,0.0019493173786972622,0.0028530888560766806,380,380.0,7.988542318344116,h0.01_k5
0.01,5.0,0.002,0.375,0.7379385640826968,8.000564692820413,1600,16.0,2.7905966426544637e-10,-1.056724748987874,0.0,1.056724748987874,3.141592653589793,real flip,7.256537184312099e-10,5.530908581500489e-10,-1.056724749448908,0.0,0.9999999999999999,0.0,0.7919481360796705,0.20728374883952685,0.9992318849191973,-0.0024561447065481663,0.0,0.0024561447065481663,-0.001388888888888889,0.002643761823141075,0.0029863839209279897,380,380.0,7.709878444671631,h0.01_k5
0.01,5.0,0.002,0.4375,0.8004385640828104,8.001189692820414,1600,16.0,2.784260599852928e-10,-1.0565118776210638,0.0,1.0565118776210638,3.141592653589793,real flip,1.6130963740825802e-09,5.870232858249524e-10,-1.0565118777335871,0.0,1.0,0.0,0.7911990937242677,0.20803604187267105,0.9992351355969387,0.0024348597177155074,0.0,0.0024348597177155074,-0.0006944444444444445,0.003338206267586783,0.0034096736165468147,360,380.0,7.57286810874939,h0.01_k5
0.01,5.0,0.002,0.5,0.8629385640827536,8.001814692820414,1600,16.0,2.778431928973646e-10,-1.0573016168973461,0.0,1.0573016168973461,3.141592653589793,real flip,1.1224210528736472e-09,4.426886971990103e-10,-1.0573016169550447,0.0,1.0,0.0,0.7927617934291389,0.2064866826766848,0.9992484761058237,0.002297328389895906,0.0,0.002297328389895906,0.0,0.0040326507120305955,0.0040326507120305955,360,380.0,7.8624162673950195,h0.01_k5
0.01,5.0,0.002,0.5625,0.9254385640826968,8.002439692820413,1600,16.0,2.7762270260467403e-10,-1.056892228044561,0.0,1.056892228044561,3.141592653589793,real flip,1.2178950800209832e-09,5.126231500953511e-10,-1.0568922280094395,0.0,1.0,0.0,0.7917458912980359,0.20749499952213746,0.9992408908201733,0.002106276633348423,0.0,0.002106276633348423,0.0006944444444444445,0.004727095156474409,0.004777832322799071,360,380.0,7.469155311584473,h0.01_k5
