h,kappa,n,rho_min,rho_max,rho_mean,rho_rel_range,q0_min,q0_max,q0_ratio,max_eig_res,min_edge_frac,real_count,complex_count
0.01,5.0,16,1.0564460720838516,1.05744920084129,1.0568786697464188,0.0009491427787818244,0.00022894118839368181,0.0024561447065481663,10.728277964228255,1.6130963740825802e-09,0.9991840880087963,16,0
0.01,20.0,16,1.0931763511963561,1.0931863555861907,1.0931816496836153,9.151626207279327e-06,,,,1.4312818035438434e-09,0.9993867076441112,0,16
0.02,20.0,16,1.1309479353601344,1.130962349938999,1.1309526461346424,1.2745519375896068e-05,7.493227664611936e-05,0.0013503357855524864,18.020749481957964,1.6644368167935056e-10,0.9996561335643837,16,0
