h,kappa,n_phase,rho_min,rho_max,rho_peak_to_peak,rho_relative_peak_to_peak,mode_type_all,min_two_edge_energy_fraction,max_right_eigen_residual,max_fixed_point_residual,q0_min,q0_max,q0_max_over_min,linear_turn_time_min,linear_turn_time_max
0.01,5.0,16,1.0564460720838516,1.05744920084129,0.001003128757438354,0.0009491427787818244,real flip,0.9991840880087964,1.61309637408258e-09,2.8425184428471084e-10,0.0002289411883936,0.0024561447065481,10.728277964231799,0.6100015906310546,1.034187106536538
0.01,20.0,16,1.093176351196356,1.0931863555861907,1.0004389834783467e-05,9.151626207482445e-06,complex pair,0.9993867076441112,1.4312818035438434e-09,1.9772564150427477e-10,,,,,
0.02,20.0,16,1.1309479353601344,1.130962349938999,1.4414578864530014e-05,1.2745519375896068e-05,real flip,0.9996561335643837,1.6644368167935056e-10,4.1481714116967686e-10,7.493227664611936e-05,0.0013503357855524,18.020749481956813,0.6810522825183009,1.15098579363327
