label,epsilon,a0,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,mismatch_l2
h002_k20_eps016,0.16,0.005,0,0.0,0.004999999999999998,6.337418461844674e-05,4.5787764856796845e-09,0.012656803712112185
h002_k20_eps016,0.16,0.005,1,0.02,0.00509578881395501,6.246809873813416e-05,4.412933226256483e-09,0.01163353236413311
h002_k20_eps016,0.16,0.005,2,0.04,0.004265156870427525,3.970717794178282e-05,1.7490467556271718e-09,0.009668502838157362
h002_k20_eps016,0.16,0.005,3,0.06,0.002588347409597217,1.8427943168004653e-05,3.638812703708435e-10,0.007921154265507041
h002_k20_eps016,0.16,0.005,4,0.08,0.0005259473097335465,1.211287268861744e-05,1.9312624661819646e-10,0.008330601384963778
h002_k20_eps016,0.16,0.005,5,0.1,0.0020403604084028456,3.830379652528346e-05,1.728709820980855e-09,0.0106247129119719
h002_k20_eps016,0.16,0.005,6,0.12,0.003882159070691605,5.944651535568342e-05,4.081064898658573e-09,0.01273713259428396
h002_k20_eps016,0.16,0.005,7,0.14,0.005165822725474447,6.651435097980443e-05,5.057868257625136e-09,0.013698022301770212
h002_k20_eps016,0.16,0.005,8,0.16,0.005498166653571343,6.985783632065638e-05,5.537708437844661e-09,0.01290929295800573
h002_k20_eps016,0.16,0.005,9,0.18,0.004814762990737014,4.708696092532689e-05,2.470233634675908e-09,0.010896625151649662
h002_k20_eps016,0.16,0.005,10,0.2,0.0031469581299417133,2.5553399563922104e-05,7.088612271950936e-10,0.008742563947872024
h002_k20_eps016,0.16,0.005,11,0.22,0.0009047451236762942,7.461438294887562e-06,8.367079595924631e-11,0.008667740865589166
h002_k20_eps016,0.16,0.005,12,0.24,0.001770445826868436,3.6019961210642305e-05,1.5385497488367704e-09,0.010887444515311756
h002_k20_eps016,0.16,0.005,13,0.26,0.003787497997790272,5.982380185145691e-05,4.14389938291042e-09,0.01327947793018918
h002_k20_eps016,0.16,0.005,14,0.28,0.005326682565014974,7.029302578182465e-05,5.660125848977959e-09,0.014608704024063848
h002_k20_eps016,0.16,0.005,15,0.3,0.005887567626832134,7.672144357415034e-05,6.692519711938498e-09,0.01409412147496863
h002_k20_eps016,0.16,0.005,16,0.32,0.00535985455833827,5.44909267085975e-05,3.3195995957221443e-09,0.012127353042444803
h002_k20_eps016,0.16,0.005,17,0.34,0.003806716412154349,3.4756834254207204e-05,1.3276745061875645e-09,0.00973077414861136
h002_k20_eps016,0.16,0.005,18,0.36,0.0015138876551852197,2.659655745350215e-06,1.299117386771484e-11,0.009061225936035679
h002_k20_eps016,0.16,0.005,19,0.38,0.0014115534092527485,3.273479465840812e-05,1.2837542104157058e-09,0.011076577106858873
h002_k20_eps016,0.16,0.005,20,0.4,0.0036198535385385537,5.954304256617677e-05,4.118029982115097e-09,0.013726715533214064
h002_k20_eps016,0.16,0.005,21,0.42,0.005416022743065911,7.334285717093496e-05,6.173306831236451e-09,0.01544907149218125
h002_k20_eps016,0.16,0.005,22,0.44,0.006244466749999588,8.338800221232709e-05,7.921423112816637e-09,0.015267532850780377
h002_k20_eps016,0.16,0.005,23,0.46,0.005893845977797699,6.20392644197909e-05,4.316903295901148e-09,0.013415856160684485
h002_k20_eps016,0.16,0.005,24,0.48,0.004428883518065638,4.359599095027164e-05,2.1030319781754944e-09,0.010780044482834882
h002_k20_eps016,0.16,0.005,25,0.5,0.0021051031732362566,4.51377085773777e-06,2.2798165163188953e-11,0.009529410023229356
h002_k20_eps016,0.16,0.005,26,0.52,0.0009977592948208214,2.81946111838877e-05,9.652091337263036e-10,0.011265489267515798
h002_k20_eps016,0.16,0.005,27,0.54,0.003436160116024251,5.82980457935686e-05,3.961708102370271e-09,0.014131728414984753
h002_k20_eps016,0.16,0.005,28,0.56,0.005470440663031852,7.627010717454544e-05,6.691744366304688e-09,0.016299376736998984
h002_k20_eps016,0.16,0.005,29,0.58,0.006595243573925005,9.024287092175463e-05,9.295726276513096e-09,0.016512491936548745
h002_k20_eps016,0.16,0.005,30,0.6,0.006472173043896458,7.059605167430332e-05,5.606831510975075e-09,0.014864972278945926
h002_k20_eps016,0.16,0.005,31,0.62,0.005127255544911067,5.3942028598288694e-05,3.2381236240406966e-09,0.012035960454414537
h002_k20_eps016,0.16,0.005,32,0.64,0.0028028239443583357,1.1829837710139966e-05,1.4309080006839462e-10,0.010183045730021672
h002_k20_eps016,0.16,0.005,33,0.66,0.0008865550737096078,2.2918867149558657e-05,6.53644568425722e-10,0.011451198994599392
h002_k20_eps016,0.16,0.005,34,0.68,0.00318964050433433,5.6402282328861326e-05,3.724447947595737e-09,0.014448814512120258
h002_k20_eps016,0.16,0.005,35,0.7000000000000001,0.005443819101235877,7.821002614660518e-05,7.05195544936678e-09,0.017025482568057616
h002_k20_eps016,0.16,0.005,36,0.72,0.006846276808686703,9.5578040161481e-05,1.044314153715957e-08,0.017631158631261776
h002_k20_eps016,0.16,0.005,37,0.74,0.006983094672561977,7.860536171051622e-05,6.970907861689689e-09,0.016265285543193446
h002_k20_eps016,0.16,0.005,38,0.76,0.005810621967178285,6.46748637038674e-05,4.677413725246364e-09,0.013377327345785159
h002_k20_eps016,0.16,0.005,39,0.78,0.003528872805883485,1.9973450635882573e-05,4.186125343445939e-10,0.011012758670724229
h002_k20_eps016,0.16,0.005,40,0.8,0.0007483435341042357,1.674675092289039e-05,3.6666592452544196e-10,0.01169425605494683
h002_k20_eps016,0.16,0.005,41,0.8200000000000001,0.002871603790885946,5.353034939048679e-05,3.372780501667634e-09,0.014745957373767254
h002_k20_eps016,0.16,0.005,42,0.84,0.005379403716667098,8.001225946967306e-05,7.398991834618557e-09,0.01778084043422832
h002_k20_eps016,0.16,0.005,43,0.86,0.007117839093019993,0.00010157787479223445,1.1817189695631027e-08,0.018871535648607097
h002_k20_eps016,0.16,0.005,44,0.88,0.007520272193262732,8.713351726436767e-05,8.58609229497059e-09,0.01780658448523525
h002_k20_eps016,0.16,0.005,45,0.9,0.006522887435287838,7.610731578395513e-05,6.500936467254304e-09,0.014871255839724823
h002_k20_eps016,0.16,0.005,46,0.92,0.004304063058914081,2.8952546130808237e-05,8.958320016676316e-10,0.012016369892246437
h002_k20_eps016,0.16,0.005,47,0.9400000000000001,0.001173533141368518,9.137280824275964e-06,1.2812291489374713e-10,0.01198645102688347
h002_k20_eps016,0.16,0.005,48,0.96,0.002459112713887083,4.9486112533740376e-05,2.903818715478459e-09,0.014929253082115271
h002_k20_eps016,0.16,0.005,49,0.98,0.005193641244385735,8.03419230032455e-05,7.48041582075288e-09,0.018352314590796073
h002_k20_eps016,0.16,0.005,50,1.0,0.007273678426031512,0.00010593329206083727,1.287390257395851e-08,0.019943860423883263
h002_k20_eps016,0.16,0.005,51,1.02,0.007986405801491287,9.518445901804513e-05,1.027087494089679e-08,0.019289952851805816
h002_k20_eps016,0.16,0.005,52,1.04,0.007234029959382208,8.822173183473332e-05,8.766256065411464e-09,0.016462442544393274
h002_k20_eps016,0.16,0.005,53,1.06,0.005110370949486261,3.882078403538376e-05,1.6311746392377215e-09,0.01320827202504806
h002_k20_eps016,0.16,0.005,54,1.08,0.0019122889437539346,3.0089733031944433e-06,1.5105256157148156e-11,0.012425308939147573
h002_k20_eps016,0.16,0.005,55,1.1,0.0020200011457454123,4.544263787840919e-05,2.472272436022388e-09,0.015153124475484708
h002_k20_eps016,0.16,0.005,56,1.12,0.00499294115029218,8.025672498264999e-05,7.484854958408041e-09,0.018940556338121153
h002_k20_eps016,0.16,0.005,57,1.1400000000000001,0.0073985226382942935,0.00010985587835758942,1.3867093679967364e-08,0.02104845514018065
h002_k20_eps016,0.16,0.005,58,1.16,0.008437555195739611,0.00010320068970512133,1.2100943853450891e-08,0.02084145129103896
h002_k20_eps016,0.16,0.005,59,1.18,0.007944108280493906,0.00010068386331955254,1.1451206651588494e-08,0.018159397362318263
h002_k20_eps016,0.16,0.005,60,1.2,0.005953596188868652,4.962928788409574e-05,2.6910434172617912e-09,0.014584267383191822
h002_k20_eps016,0.16,0.005,61,1.22,0.002754189367935106,9.853161560367068e-06,9.875945248098063e-11,0.012982997533889712
h002_k20_eps016,0.16,0.005,62,1.24,0.0014403537373180767,3.966317403335388e-05,1.911400641187597e-09,0.015268041908009547
h002_k20_eps016,0.16,0.005,63,1.26,0.004709385341424761,7.881384880451335e-05,7.243142957826092e-09,0.01935033519610538
h002_k20_eps016,0.16,0.005,64,1.28,0.007429706738415119,0.00011265109010698953,1.4608897591032137e-08,0.022022468742243943
h002_k20_eps016,0.16,0.005,65,1.3,0.008823486744196871,0.0001107061862179475,1.3954449510710048e-08,0.022331667353692547
h002_k20_eps016,0.16,0.005,66,1.32,0.008620108666795209,0.00011304938198519548,1.4473502523242534e-08,0.019881938888727253
h002_k20_eps016,0.16,0.005,67,1.34,0.0067928321885591825,6.089099704906461e-05,4.079299271992905e-09,0.016103718404559642
h002_k20_eps016,0.16,0.005,68,1.36,0.003600456669080174,2.0884897502441935e-05,4.546718168748358e-10,0.013727884693243002
h002_k20_eps016,0.16,0.005,69,1.3800000000000001,0.0012495370132067072,3.3580558833262326e-05,1.4000006539342572e-09,0.015459379576557377
h002_k20_eps016,0.16,0.005,70,1.4000000000000001,0.004368766901315957,7.654098198901958e-05,6.8568418533074575e-09,0.019735064739438077
h002_k20_eps016,0.16,0.005,71,1.42,0.007383211557026211,0.00011420844154259683,1.5041808074191548e-08,0.0229397813426675
h002_k20_eps016,0.16,0.005,72,1.44,0.009156321881371823,0.00011771243321924951,1.5810338826394317e-08,0.023828598979248636
h002_k20_eps016,0.16,0.005,73,1.46,0.009297463104236426,0.00012596190473522577,1.8013325946884968e-08,0.021722804128648663
h002_k20_eps016,0.16,0.005,74,1.48,0.007689130969604619,7.35589459080809e-05,5.989380697329321e-09,0.017845696794247346
h002_k20_eps016,0.16,0.005,75,1.5,0.004545421031031274,3.401223771889231e-05,1.2373702721068187e-09,0.014682578760213928
h002_k20_eps016,0.16,0.005,76,1.52,0.0010568687097834986,2.6151682205958768e-05,8.841454992174199e-10,0.015640789126502866
h002_k20_eps016,0.16,0.005,77,1.54,0.003920294043488375,7.29755825193273e-05,6.262669440320689e-09,0.01997979614143114
h002_k20_eps016,0.16,0.005,78,1.56,0.00723885225927439,0.00011453828429250269,1.5158841596535343e-08,0.023718300284496507
h002_k20_eps016,0.16,0.005,79,1.58,0.00940358338097552,0.00012377673284934916,1.7516758479383176e-08,0.02521194416491593
h002_k20_eps016,0.16,0.005,80,1.6,0.009891190867373665,0.00013772630636427232,2.1579588060850962e-08,0.023489982061446507
h002_k20_eps016,0.16,0.005,81,1.62,0.008527830571950723,8.595561246551349e-05,8.216124412186973e-09,0.01962318841665886
h002_k20_eps016,0.16,0.005,82,1.6400000000000001,0.005494768524166193,4.8113126630491146e-05,2.516126601239561e-09,0.01584069729315957
h002_k20_eps016,0.16,0.005,83,1.6600000000000001,0.0014060837502328912,1.782456667417246e-05,4.490664175746044e-10,0.01593561905604916
h002_k20_eps016,0.16,0.005,84,1.68,0.003394619051894468,6.820512213750286e-05,5.5037641406060325e-09,0.02018362108323768
h002_k20_eps016,0.16,0.005,85,1.7,0.0070092593925249,0.0001137311249032805,1.497902676553918e-08,0.0244276207670262
h002_k20_eps016,0.16,0.005,86,1.72,0.009597974863708968,0.00012941181629608917,1.9188318630195145e-08,0.02659575434578015
h002_k20_eps016,0.16,0.005,87,1.74,0.01048522462054437,0.00014993369490382666,2.5626940874939618e-08,0.025369848945715576
h002_k20_eps016,0.16,0.005,88,1.76,0.009404067118116704,9.938893448686146e-05,1.1031349029388834e-08,0.021601142476671345
h002_k20_eps016,0.16,0.005,89,1.78,0.0065100296401829315,6.397112513019072e-05,4.49808715329857e-09,0.017239881947252865
h002_k20_eps016,0.16,0.005,90,1.8,0.0023669041678197546,8.365433322979268e-06,1.4236727152679605e-10,0.01632414020733548
h002_k20_eps016,0.16,0.005,91,1.82,0.0027629975834146748,6.192369017768731e-05,4.576315382535277e-09,0.020268213673979574
h002_k20_eps016,0.16,0.005,92,1.84,0.006648176468691683,0.00011113595043961037,1.4342379409630067e-08,0.024933319867579573
h002_k20_eps016,0.16,0.005,93,1.86,0.009660135097720256,0.0001333845409375547,2.0429309029281353e-08,0.02777627349619149
h002_k20_eps016,0.16,0.005,94,1.8800000000000001,0.010971325998313936,0.00016052662792742582,2.9434094257750462e-08,0.027119725684919355
h002_k20_eps016,0.16,0.005,95,1.9000000000000001,0.010217939394907572,0.00011260078488190479,1.4213584907739943e-08,0.023588963978865837
h002_k20_eps016,0.16,0.005,96,1.92,0.007524517308018966,8.083332441581889e-05,7.240924154713033e-09,0.018824810692861987
