label,alpha,alpha_c,cell,time,unstable_subspace_norm,hp_edge,hp_ahead_max,hp_ahead_energy
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,0,0.0,0.004118542794204192,0.0022728876417005823,4.74930271732156e-05,2.767991624957142e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,1,0.02,0.0038241261980767826,0.002663705049854096,5.36953315904014e-05,3.544970905134231e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,2,0.04,0.003521778760068006,0.0018883084774030429,6.772291779081195e-05,5.65614909648782e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,3,0.06,0.003275911950642244,0.0018731023285102017,4.117456516124126e-05,2.127184280117331e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,4,0.08,0.003037440282069688,0.0012088889565188712,4.665545033213204e-05,2.758936511022136e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,5,0.1,0.0028337264501893593,0.0013918914882153337,2.422695935718251e-05,8.469726464860394e-10
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,6,0.12,0.0026469302066522097,0.0010279856819352456,3.356438722687421e-05,1.5530144627254313e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,7,0.14,0.0024798640713191776,0.001621096640797947,2.7715716011866498e-05,1.1441175400105806e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,8,0.16,0.0023308026012729345,0.0006801067035000492,2.5600986440112705e-05,1.0395618169472247e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,9,0.18,0.00219372872337309,0.0021676047180834465,5.7470294475131214e-05,4.343828076372338e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,10,0.2,0.002072956964151876,0.001730276896940423,2.3292199428616304e-05,1.0447549992491854e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,11,0.22,0.001960160908065408,0.0013062468801244042,1.9733495899743465e-05,9.837073333032519e-10
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,12,0.24,0.0018592865774557448,0.0013789195235688388,2.2658127025091192e-05,1.2874759296364558e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,13,0.26,0.001776572983069866,0.002166459384639354,4.474843575731052e-05,3.222327032259753e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,14,0.28,0.001693582261923818,0.00026627966826155174,1.1045971579536629e-05,8.609810925793217e-10
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,15,0.3,0.0016217621374680483,0.001675435664556755,4.547830290768038e-05,3.413931226994909e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,16,0.32,0.0015445672870272801,0.0007653567558157908,2.089070614326348e-05,1.4662128964625602e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,17,0.34,0.0014834738346757056,0.0008698252222396789,2.5836793190791153e-05,1.8857101334131967e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,18,0.36,0.0014172146518885225,0.0008817506487079054,2.763194055221261e-05,2.253675643829346e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,19,0.38,0.001367848557453665,0.0016463045970897885,4.560634909416634e-05,4.23425429583393e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,20,0.4,0.0013132492745366888,0.0011629963934428808,1.835470221135724e-05,2.443689121063554e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,21,0.42,0.0012670795650667952,0.0014013444158852302,4.6302092198733096e-05,4.931718513963183e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,22,0.44,0.0012216018638386988,0.0008852857417491521,1.835334721974663e-05,2.7787107589731122e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,23,0.46,0.0011798883034503914,0.0007083964693520935,1.8448449501615888e-05,2.4456422172659412e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,24,0.48,0.0011400380623334532,0.0009886899157446243,1.8537307521738948e-05,2.8575306711503605e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,25,0.5,0.001103754111703339,0.001720024714342564,2.381025592352149e-05,3.559258232245897e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,26,0.52,0.0010636854051427128,0.002495043296162633,3.187800499467214e-05,4.765254651603962e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,27,0.54,0.0010293466990508062,0.0008526332177464941,2.9215138179101652e-05,4.9757140865365975e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,28,0.56,0.000995964527053967,0.0018808267104012853,4.4526328471413704e-05,7.647853796886644e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,29,0.58,0.0009705282091986806,0.0011293100165600534,2.9350965315104803e-05,6.019372078415753e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,30,0.6,0.0009409728236577466,0.0004007854485641125,2.940131719504726e-05,6.017918257911491e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,31,0.62,0.0009134462373503907,0.000586283940561496,2.94521244457802e-05,6.352395445196007e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,32,0.64,0.0008841081901414684,0.0016007356169458965,4.0742116669039315e-05,8.28033632164164e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,33,0.66,0.0008588776059020609,0.000751600333521962,2.9522394167221018e-05,7.4234196530410355e-09
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,34,0.68,0.0008238490949309149,0.002673076794583271,7.249755309104925e-05,1.518687597151998e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,35,0.7000000000000001,0.0008052751740024083,0.000446294235561204,4.4780562340667245e-05,1.0720360773051655e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,36,0.72,0.0007812981410107693,0.0006742721568074357,4.480910106270889e-05,1.2608116002802792e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,37,0.74,0.0007639563564617936,0.0007375288954797152,4.483353082085588e-05,1.434717882053231e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,38,0.76,0.0007423916741089633,0.0004503738874109378,4.485794274151827e-05,1.4191393722109276e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,39,0.78,0.0007260000252912198,0.0018470642149218278,4.486896696109581e-05,1.518586229775672e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,40,0.8,0.0007032329670103749,0.0013136025439933552,4.4887866615862824e-05,1.558511075189279e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,41,0.8200000000000001,0.0006867357266483696,0.0017338688859854536,4.853671995106636e-05,1.7745808166351915e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,42,0.84,0.0006648339068882562,0.0013452918857537691,6.417410724801673e-05,2.1388673836233587e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,43,0.86,0.0006502684312260956,0.0003692594929801628,7.110237536307406e-05,2.655831751303671e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,44,0.88,0.0006319891282795965,0.0010128431596299913,7.111886612099652e-05,3.151429115059567e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,45,0.9,0.0006219818312696337,0.0019630170372035107,7.113388599488512e-05,3.454720682377426e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,46,0.92,0.0006032625624190933,0.00037022392599463376,7.114363654201024e-05,3.437962811362924e-08
h002_k20_rank3_a12,0.13894216412,0.11578513676636337,47,0.9400000000000001,0.0005885866719703856,0.002318483428436459,7.116072945916908e-05,3.8555603613877726e-08
