label,epsilon,a0,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,mismatch_l2
h002_k20_eps019,0.19,0.005,0,0.0,0.004999999999999999,6.190044951127509e-05,4.359029713500543e-09,0.0154768699444206
h002_k20_eps019,0.19,0.005,1,0.02,0.006048177676261491,7.026930915392794e-05,5.5662541617396136e-09,0.015474521957512014
h002_k20_eps019,0.19,0.005,2,0.04,0.005975062740385867,5.43733281531443e-05,3.288199277838441e-09,0.013840035864680014
h002_k20_eps019,0.19,0.005,3,0.06,0.004759564773553361,4.075143767822676e-05,1.8236207207630214e-09,0.011081318728089665
h002_k20_eps019,0.19,0.005,4,0.08,0.002662997778171589,7.5508879704351845e-06,5.7879551314155426e-11,0.00943247245127814
h002_k20_eps019,0.19,0.005,5,0.1,0.0007348518879989161,1.918982999261422e-05,4.52659306541939e-10,0.010668311697769682
h002_k20_eps019,0.19,0.005,6,0.12,0.0027508663471186323,4.416184041185777e-05,2.2600289484464193e-09,0.013332017313039892
h002_k20_eps019,0.19,0.005,7,0.14,0.004731580117922675,5.990598710260152e-05,4.094186950137796e-09,0.01547622870368857
h002_k20_eps019,0.19,0.005,8,0.16,0.00593291933685966,7.028476314786137e-05,5.579826570265749e-09,0.015722379059161396
h002_k20_eps019,0.19,0.005,9,0.18,0.0060324903573423716,5.631106681925115e-05,3.5335481995353523e-09,0.014226162946842012
h002_k20_eps019,0.19,0.005,10,0.2,0.004914657539711412,4.325041007081032e-05,2.0589663007821324e-09,0.011422795083171183
h002_k20_eps019,0.19,0.005,11,0.22,0.0029314096545068847,1.077148213964841e-05,1.18530336620248e-10,0.009497869872113283
h002_k20_eps019,0.19,0.005,12,0.24,0.0006169118178844945,1.5500303376751093e-05,3.0213636712512077e-10,0.010337516084699207
h002_k20_eps019,0.19,0.005,13,0.26,0.002439263845705812,4.079113552799648e-05,1.9346764796728085e-09,0.012899945401939051
h002_k20_eps019,0.19,0.005,14,0.28,0.004463158216606996,5.791959852704042e-05,3.83316319718643e-09,0.015180478272303118
h002_k20_eps019,0.19,0.005,15,0.3,0.005809790843562886,6.974898749330593e-05,5.502790681226447e-09,0.01570296725678174
h002_k20_eps019,0.19,0.005,16,0.32,0.006035344097220708,5.736559480167012e-05,3.672226226013665e-09,0.014411544705016625
h002_k20_eps019,0.19,0.005,17,0.34,0.005125335667733935,4.702089742249143e-05,2.4436678574227013e-09,0.011794058184569937
h002_k20_eps019,0.19,0.005,18,0.36,0.003243311039963015,1.4451949153975986e-05,2.1663575885891977e-10,0.009597666549489937
h002_k20_eps019,0.19,0.005,19,0.38,0.0006959690532270677,1.1753034020675052e-05,1.813012067442181e-10,0.010012493489606108
h002_k20_eps019,0.19,0.005,20,0.4,0.00213706904726054,3.780790066483768e-05,1.6693093529380906e-09,0.012466788537325968
h002_k20_eps019,0.19,0.005,21,0.42,0.004193405007794663,5.587869035972235e-05,3.572983770119691e-09,0.014872999162183348
h002_k20_eps019,0.19,0.005,22,0.44,0.005654600509103345,6.864007367376561e-05,5.333880176661072e-09,0.015601833743138123
h002_k20_eps019,0.19,0.005,23,0.46,0.005996007539740246,5.792574404764043e-05,3.7498730956569045e-09,0.01452005929413176
h002_k20_eps019,0.19,0.005,24,0.48,0.005256538037741039,4.962594215862758e-05,2.729176369065442e-09,0.01204070889675467
h002_k20_eps019,0.19,0.005,25,0.5,0.0034847055085115387,1.756398494845644e-05,3.237462053530926e-10,0.009660098029923047
